0textId year verbs innerVerbs sehen:perception wollen:volition müssen:moral wissen:cognition sollen:moral mögen:affect meinen:cognition hören:cognition denken:cognition lieben:affect fühlen:affect verstehen:cognition erkennen:cognition vergessen:cognition brauchen:volition vermögen:volition blicken:perception bemerken:perception 
DEU001.xml 1845 115128 14532 1713 2502 2202 1380 1815 897 621 666 378 474 354 282 312 303 153 144 99 237 
DEU002.xml 1853 8187 1126 143 261 217 105 109 38 32 64 38 7 20 18 16 18 26 6 3 5 
DEU003 1859 11103 1684 266 330 209 178 171 154 68 56 71 6 49 34 20 19 15 3 13 22 
DEU004.xml 1859 6933 961 139 151 125 119 67 60 43 51 51 14 29 12 38 25 9 12 12 4 
DEU005.xml 1855 52782 8032 950 1774 1338 774 966 430 396 248 270 42 76 116 90 74 168 44 98 178 
DEU006.xml 1847 6526 949 121 152 131 106 123 31 37 23 58 38 15 32 8 17 8 3 16 30 
DEU007.xml 1841 9715 1313 279 171 177 112 112 81 95 51 61 64 1 7 29 14 15 16 13 15 
DEU008.xml 1843 3797 566 65 119 106 57 48 22 26 23 27 16 7 15 9 2 10 1 5 8 
DEU009.xml 1859 12018 1861 300 343 210 215 214 159 74 48 71 13 57 32 35 28 22 8 15 17 
DEU010.xml 1848 7003 859 98 157 92 86 73 40 25 20 41 33 62 45 14 12 6 5 16 34 
DEU011.xml 1855 40000 5054 1109 817 638 492 538 119 139 252 237 37 185 114 85 53 80 53 47 59 
DEU012.xml 1847 3061 442 78 81 73 24 34 20 12 18 8 32 14 13 7 6 5 5 5 7 
DEU013.xml 1856 9584 1441 166 364 230 190 117 50 54 70 69 9 19 24 11 25 38 0 1 4 
DEU014.xml 1840 14263 1996 329 315 294 179 218 133 102 50 61 60 65 35 29 53 16 17 13 27 
DEU015.xml 1840 21514 3807 402 825 528 335 397 228 218 109 267 84 177 88 40 45 34 24 0 6 
DEU016.xml 1846 21701 3020 451 612 450 277 332 190 99 163 97 43 40 41 53 33 45 15 21 58 
DEU017.xml 1843 4676 647 160 69 102 64 42 26 25 22 32 38 6 5 10 9 5 8 20 4 
DEU018.xml 1845 24488 3262 598 370 414 268 228 168 130 98 146 176 138 80 52 112 10 164 50 60 
DEU019.xml 1846 6940 936 231 83 140 83 60 55 76 35 46 23 10 8 33 15 14 8 7 9 
DEU020.xml 1846 15183 2186 251 250 294 208 195 140 165 66 82 176 110 75 38 55 34 11 12 24 
DEU021.xml 1843 14191 2157 302 287 247 172 215 125 77 63 102 161 138 29 22 32 27 97 17 44 
DEU022.xml 1844 13013 2212 226 417 280 163 273 142 116 66 98 171 83 68 16 42 20 16 8 7 
DEU023.xml 1841 4924 744 159 97 109 68 54 41 44 18 32 62 13 9 7 7 3 9 7 5 
DEU024.xml 1861 192823 24999 4117 4074 4062 2292 2607 1233 487 1868 694 697 534 562 468 289 233 77 364 341 
DEU025.xml 1855 42108 4982 948 628 574 404 500 300 184 294 260 92 166 88 116 58 96 60 146 68 
DEU026.xml 1879 10505 1587 224 205 314 128 171 83 88 55 62 26 37 56 41 30 24 18 7 18 
DEU027.xml 1876 9462 1036 158 152 98 99 83 45 68 44 89 38 29 36 6 7 18 26 26 14 
DEU028.xml 1871 11426 1451 267 123 141 161 157 103 92 60 49 56 59 41 19 27 34 15 22 25 
DEU029.xml 1879 18214 2686 390 368 276 428 244 130 248 98 128 138 40 30 18 26 64 22 20 18 
DEU030.xml 1864 106872 13359 2925 1722 1218 1386 1287 591 570 639 648 315 537 291 276 225 102 258 231 138 
DEU031.xml 1870 13672 1862 298 251 221 307 186 111 76 48 43 68 47 56 13 36 38 9 43 11 
DEU032.xml 1874 17948 1542 220 296 184 184 118 74 118 60 38 22 26 20 38 30 4 8 66 36 
DEU033.xml 1855 4033 533 72 54 54 57 57 31 25 29 13 43 34 14 5 8 7 10 12 8 
DEU034.xml 1879 11264 1514 264 183 214 175 161 70 72 70 70 27 26 26 36 27 18 18 11 46 
DEU035.xml 1878 56955 7546 1442 1166 970 858 662 414 190 406 216 290 182 144 168 150 66 8 46 168 
DEU036.xml 1880 69484 8324 1785 1124 1054 718 642 451 580 289 335 143 285 196 127 164 115 95 72 149 
DEU037.xml 1872 17720 2657 587 343 346 267 180 147 264 120 89 61 57 50 14 56 30 21 4 21 
DEU038.xml 1864 17225 2006 369 318 302 204 168 103 64 54 87 58 77 26 34 50 29 19 36 8 
DEU039.xml 1861 25504 3990 611 695 489 424 344 178 147 158 176 274 117 62 41 82 38 37 46 71 
DEU040.xml 1867 13752 1940 318 283 260 164 184 129 115 76 81 53 62 30 31 39 15 20 25 55 
DEU041.xml 1868 12034 1620 302 235 230 151 175 73 90 60 68 55 37 20 12 29 16 32 26 9 
DEU042.xml 1865 51800 6482 580 808 722 480 478 388 882 176 228 306 238 170 140 120 112 302 132 220 
DEU043.xml 1869 61994 10636 1499 1585 1512 1356 1035 622 765 386 302 328 200 185 99 93 229 54 277 109 
DEU044.xml 1876 24251 2994 547 499 347 225 426 101 171 111 123 100 56 23 70 56 41 21 50 27 
DEU045.xml 1865 12444 1139 236 187 174 104 119 76 52 37 21 20 0 9 33 7 19 18 27 0 
DEU046.xml 1879 4523 825 203 157 80 101 59 28 17 60 32 17 9 6 24 21 4 0 2 5 
DEU047.xml 1862 5804 657 105 74 69 64 65 41 29 42 23 22 30 10 6 10 9 25 24 9 
DEU048.xml 1880 271205 32898 6002 5024 2252 3017 3125 1606 2028 1739 2081 649 730 571 1393 427 204 1526 435 89 
DEU049.xml 1863 15450 1915 301 356 228 194 216 118 71 62 63 56 59 28 25 30 14 20 65 9 
DEU050.xml 1867 13657 1601 181 250 184 249 169 87 112 61 65 34 56 23 14 12 22 17 53 12 
DEU051.xml 1885 4202 678 149 121 100 73 64 24 13 24 40 9 2 30 8 8 11 0 0 2 
DEU052.xml 1880 7798 1238 252 239 236 112 77 33 34 59 56 33 6 28 7 20 15 2 6 23 
DEU053.xml 1884 7581 1190 235 222 142 132 113 47 32 68 49 47 26 21 21 13 10 1 4 7 
DEU054.xml 1898 42820 6472 1148 926 890 652 700 250 376 338 324 116 114 130 98 68 168 42 26 106 
DEU055.xml 1890 6987 985 52 173 184 103 72 73 7 17 73 67 39 12 5 24 50 21 5 8 
DEU056.xml 1889 12530 1870 211 318 339 177 201 69 39 30 81 78 106 75 26 42 15 11 16 36 
DEU057.xml 1896 19966 3226 380 510 312 336 314 208 194 88 198 300 124 70 16 42 60 0 50 24 
