filename;Titel;Autor_normalisiert;Jahr;Geschlecht
k00100000001;Marie Müller;Ahlefeld, Charlotte von;1799;f
k00100000002;Erna;Ahlefeld, Charlotte von;1819;f
k00100000003;Die Hosen des Herrn von Bredow;Alexis, Willibald;1846;m
k00100000004;Ruhe ist die erste Bürgerpflicht;Alexis, Willibald;1852;m
k00100000007;Schwester Monika;Anonym;1815;m
k00100000009;Der Sternsteinhof;Anzengruber, Ludwig;1885;m
k00100000012;Goethes Briefwechsel mit einem Kinde;Arnim, Bettina von;1835;f
k00100000013;Die Günderode;Arnim, Bettina von;1840;f
k00100000014;Clemens Brentanos Frühlingskranz;Arnim, Bettina von;1844;f
k00100000015;Armut, Reichtum, Schuld und Buße der Gräfin Dolores;Arnim, Ludwig Achim von;1810;m
k00100000016;Isabella von Ägypten;Arnim, Ludwig Achim von;1812;m
k00100000017;Die Kronenwächter. Erster Band.;Arnim, Ludwig Achim von;1817;m
k00100000018;Die Kronenwächter. Zweiter Band.;Arnim, Ludwig Achim von;1854;m
k00100000019;Aus dem Leben einer Frau;Aston, Louise;1847;f
k00100000020;Lydia;Aston, Louise;1848;f
k00100000021;Revolution und Contrerevolution;Aston, Louise;1849;f
k00100000022;Ivo der Hajrle;Auerbach, Berthold;1843;m
k00100000023;Der Lautenbacher;Auerbach, Berthold;1843;m
k00100000024;Die Frau Professorin;Auerbach, Berthold;1846;m
k00100000025;Lucifer;Auerbach, Berthold;1849;m
k00100000026;Brosi und Moni;Auerbach, Berthold;1853;m
k00100000027;Die Geschichte des Diethelm von Buchenberg;Auerbach, Berthold;1853;m
k00100000028;Der Lehnhold;Auerbach, Berthold;1854;m
k00100000029;Barfüßele;Auerbach, Berthold;1856;m
k00100000030;Die gute Schule;Bahr, Hermann;1890;m
k00100000031;Flammetti;Ball, Hugo;1918;m
k00100000038;Evremont;Bernhardi, Sophie;1822;f
k00100000039;Stilpe. Ein Roman aus der Froschperspektive;Bierbaum, Otto Julius;1897;m
k00100000040;Größenwahn;Bleibtreu, Karl;1888;m
k00100000041;Fanny Förster;Boy-Ed, Ida;1889;f
k00100000042;Vor der Ehe;Boy-Ed, Ida;1915;f
k00100000043;Lebenssucher;Braun, Lily;1915;f
k00100000044;Godwi oder Das steinerne Bild der Mutter;Brentano, Clemens;1801;m
k00100000046;Mittheilungen aus den geheimen Memoiren einer deutschen Sängerin;Bruckbräu, Friedrich Wilhelm;1829;m
k00100000048;Robinson, der Jüngere 1;Campe, Johann Heinrich;1779;m
k00100000049;Robinson, der Jüngere 2;Campe, Johann Heinrich;1779;m
k00100000052;Mathias Bichler;Christ, Lena;1914;f
k00100000053;Die Rumplhanni;Christ, Lena;1916;f
k00100000054;Madam Bäurin;Christ, Lena;1920;f
k00100000055;Jungfer Mutter;Christen, Ada;1892;f
k00100000056;Liebe und Irrthum ;Clauren;1827;m
k00100000058;Was die Isar rauscht;Conrad, Michael Georg;1888;m
k00100000059;Adam Mensch;Conradi, Hermann;1889;m
k00100000062;Kampf um Rom;Dahn, Felix;1876;m
k00100000070;Wie Frauen werden;Dohm, Hedwig;1894;f
k00100000071;Sibilla Dalmar;Dohm, Hedwig;1896;f
k00100000072;Schicksale einer Seele;Dohm, Hedwig;1899;f
k00100000073;Christa Ruland;Dohm, Hedwig;1902;f
k00100000077;Großstadt;Duncker, Dora;1900;f
k00100000078;Bozena;Ebner-Eschenbach, Marie von;1876;f
k00100000079;Lotti, die Uhrmacherin;Ebner-Eschenbach, Marie von;1880;f
k00100000080;Das Gemeindekind;Ebner-Eschenbach, Marie von;1887;f
k00100000081;Ein kleiner Roman;Ebner-Eschenbach, Marie von;1889;f
k00100000082;Unsühnbar;Ebner-Eschenbach, Marie von;1890;f
k00100000083;Agave;Ebner-Eschenbach, Marie von;1903;f
k00100000084;Amalie. Eine wahre Geschichte in Briefen;Ehrmann, Marianne;1788;f
k00100000085;Ninas Briefe an ihren Geliebten;Ehrmann, Marianne;1788;f
k00100000086;Ahnung und Gegenwart;Eichendorff, Joseph von;1815;m
k00100000087;Dichter und ihre Gesellen;Eichendorff, Joseph von;1834;m
k00100000088;Herr Lorenz Stark;Engel, Johann Jakob;1795;m
k00100000090;Der Taifun;Essig, Hermann;1919;m
k00100000091;Reich und arm;Felder, Franz Michael;1868;m
k00100000094;Vierzehn Tage in Paris;Fischer, Caroline Auguste;1801;f
k00100000095;Gustavs Verirrungen;Fischer, Caroline Auguste;1801;f
k00100000096;Die Honigmonathe;Fischer, Caroline Auguste;1802;f
k00100000097;Der Günstling;Fischer, Caroline Auguste;1808;f
k00100000098;Margarethe;Fischer, Caroline Auguste;1812;f
k00100000099;Hannchens Hin- und Herzüge;Fischer, Christian August;1807;m
k00100000102;Seefahrt ist not!;Fock, Gorch;1913;m
k00100000103;Vor dem Sturm;Fontane, Theodor;1878;m
k00100000104;Grete Minde;Fontane, Theodor;1879;m
k00100000105;L Adultera;Fontane, Theodor;1880;m
k00100000106;Ellernklipp;Fontane, Theodor;1881;m
k00100000107;Schach von Wuthenow;Fontane, Theodor;1882;m
k00100000108;Graf Petöfy;Fontane, Theodor;1884;m
k00100000109;Unterm Birnbaum;Fontane, Theodor;1885;m
k00100000110;Cécile;Fontane, Theodor;1887;m
k00100000111;Irrungen, Wirrungen;Fontane, Theodor;1887;m
k00100000112;Stine;Fontane, Theodor;1890;m
k00100000113;Quitt;Fontane, Theodor;1890;m
k00100000114;Unwiederbringlich;Fontane, Theodor;1892;m
k00100000115;Frau Jenny Treibel;Fontane, Theodor;1892;m
k00100000116;Effi Briest;Fontane, Theodor;1894;m
k00100000117;Die Poggenpuhls;Fontane, Theodor;1895;m
k00100000118;Der Stechlin;Fontane, Theodor;1897;m
k00100000119;Mathilde Möhring;Fontane, Theodor;1906;m
k00100000120;Rodrich;Fouqué, Caroline de la Motte;1807;f
k00100000121;Die Frau des Falkensteins;Fouqué, Caroline de la Motte;1810;f
k00100000122;Magie der Natur;Fouqué, Caroline de la Motte;1812;f
k00100000123;Der Spanier und der Freiwillige in Paris;Fouqué, Caroline de la Motte;1814;f
