;Unnamed: 0;0TextId;year;author-gender;verbs;innerVerbs;sehen:perception;wollen:volition;müssen:moral;wissen:cognition;sollen:moral;mögen:affect;meinen:cognition;hören:perception;denken:cognition;lieben:affect;fühlen:affect;verstehen:cognition;erkennen:cognition;vergessen:cognition;brauchen:volition;vermögen:volition;blicken:perception;bemerken:perception
0;0;k00200002395;1775;m;8198;699;249;38;0;132;8;11;13;85;115;45;33;18;10;22;32;7;2;5
1;1;k00100000095;1801;f;2810;268;77;14;1;41;2;7;3;20;31;38;17;9;3;13;3;5;11;9
2;2;k00100000081;1889;f;3666;317;90;3;0;62;0;14;16;53;30;21;18;14;7;5;12;7;14;7
3;3;k00200000743;1908;m;14941;1130;460;12;3;142;7;25;33;196;97;23;71;59;22;13;43;6;53;3
4;4;k00100000268;1909;m;22355;1738;667;56;5;262;5;24;60;309;166;49;77;67;68;11;89;16;10;42
5;5;k00200002140;1881;m;8939;728;327;25;0;81;22;19;17;113;92;21;36;12;24;17;18;11;41;5
6;6;k00200000031;1871;m;7952;732;201;21;0;177;1;5;21;115;63;22;36;39;42;28;16;1;4;6
7;7;k00100000254;1896;m;22396;1871;678;29;3;305;7;50;108;315;144;18;60;68;73;21;95;38;110;81
8;8;k00100000240;1908;m;7375;548;234;12;2;92;1;19;12;94;39;25;11;28;17;16;16;0;3;17
9;9;k00200002197;1900;m;8626;734;188;27;2;203;2;11;55;140;81;25;26;20;12;6;33;4;18;14
10;10;k00200003289;1882;m;5604;452;160;8;1;72;2;11;20;70;27;21;27;20;10;13;15;5;31;3
11;11;k00100000297;1773;m;14514;1008;342;21;1;250;4;16;26;126;147;83;25;55;19;34;45;8;30;27
12;12;k00200000964;1908;m;8405;586;180;6;0;112;1;20;10;62;116;34;29;27;16;11;8;9;29;17
13;13;k00200000970;1891;m;11352;786;230;25;0;150;2;36;39;128;68;54;53;41;12;14;17;22;14;8
14;14;k00100000308;1781;m;10216;716;256;73;3;161;1;14;3;84;69;6;6;20;8;23;70;7;0;1
15;15;k00200000145;1906;f;8594;666;357;19;13;22;3;5;52;97;91;9;13;18;7;8;22;0;1;5
16;16;k00200002752;1903;m;5806;396;155;7;1;19;1;13;24;61;35;21;36;25;19;12;13;3;17;13
17;17;k00100000446;1795;f;9717;809;191;15;0;86;0;9;0;121;66;133;86;12;38;51;13;9;78;28
