0textId year verbs innerVerbs lát:perception néz:perception hall:perception szeret:affect érez:affect tetszik:affect akar:volition kíván:volition remél:volition tud:cognition gondol:cognition ért:cognition kell:moral megenged:moral engedelmeskedik:volition 
HU00011 1854 8524 701 122 20 49 136 40 7 51 17 5 127 26 20 77 1 3 
HU00012 1859 7646 677 121 20 23 113 46 64 56 21 8 100 19 28 56 1 1 
HU00600 1916 7228 993 101 103 36 57 126 21 85 6 1 242 75 25 113 2 0 
HU00628 1898 8572 1064 107 101 25 116 60 16 144 9 3 224 43 33 178 1 4 
HU00642 1845 32718 3059 582 106 182 140 147 34 397 135 10 708 184 76 335 15 8 
HU00662 1901 13761 1423 352 203 79 49 70 17 67 30 3 236 107 60 144 6 0 
HU00666 1857 4327 400 44 37 21 21 15 9 63 6 2 107 11 15 48 0 1 
HU00719 1916 3238 421 37 43 7 7 24 5 42 1 0 106 14 38 96 1 0 
HU00726 1878 3609 400 109 21 13 47 25 7 40 11 1 56 8 12 47 2 1 
HU00730 1855 13711 1236 142 58 73 143 44 17 204 31 16 233 44 38 187 2 4 
HU00731 1876 3687 378 50 18 10 52 13 11 59 13 3 73 18 6 48 0 4 
HU00763 1919 2702 232 30 31 11 16 13 2 29 2 0 46 23 3 26 0 0 
HU00879 1880 1896 287 27 7 8 31 5 21 23 13 2 59 18 0 72 1 0 
HU00898 1889 4013 328 48 27 27 18 5 7 37 10 0 51 17 6 71 1 3 
HU00949 1908 23003 2306 272 116 128 144 73 73 294 40 6 528 146 84 391 9 2 
HU00954 1895 9054 856 124 70 41 52 40 35 98 5 2 191 32 27 138 0 1 
HU00977 1910 3635 366 57 36 18 19 6 11 43 6 0 77 28 12 53 0 0 
HU01009 1846 5288 659 123 27 44 90 10 19 82 14 17 133 34 10 53 3 0 
HU01115 1858 16080 1838 242 72 97 86 30 44 310 46 16 389 118 83 281 6 18 
HU01116 1856 18055 1996 333 135 117 72 32 51 280 59 20 465 111 60 240 10 11 
HU02028 1911 10514 1393 166 133 43 67 124 18 122 17 1 335 131 31 203 2 0 
HU02143 1860 11685 1180 115 31 39 93 27 15 266 0 22 271 69 60 157 5 10 
HU02204 1852 5654 501 112 32 38 15 4 13 68 20 0 96 28 14 59 2 0 
HU03130 1842 21090 2311 425 130 58 307 227 14 203 67 51 359 174 77 212 4 3 
HU04774 1847 30780 2617 494 148 98 154 133 28 371 106 30 464 140 70 344 7 30 
HU05060 1911 9586 1076 120 166 41 68 134 12 115 9 2 206 59 26 118 0 0 
HU05286 1906 25200 3211 452 179 128 264 177 91 339 51 35 725 237 56 448 19 10 
HU05572 1854 23674 2467 405 110 143 185 86 73 285 75 7 504 87 80 418 7 2 
HU05573 1873 29968 2762 380 121 120 160 90 89 347 60 3 678 82 111 498 17 6 
HU05620 1862 18270 1588 208 73 83 111 42 27 282 34 32 305 66 41 268 8 8 
HU05964 1919 27705 3232 457 273 179 195 263 36 255 32 10 796 236 58 435 7 0 
HU06784 1899 6380 535 100 74 46 20 14 13 58 8 1 107 5 26 55 5 3 
HU06982 1895 2781 291 34 28 13 26 12 9 29 6 3 66 26 3 33 3 0 
HU07119 1913 5656 616 73 16 5 18 42 15 57 5 1 230 14 16 121 2 1 
HU07551 1845 31159 2835 394 51 185 264 102 75 343 42 5 560 111 89 603 5 6 
HU07552 1846 29747 2294 347 190 57 144 61 46 365 8 26 531 59 61 390 5 4 
HU07629 1854 8217 900 131 34 31 136 119 18 120 7 24 196 28 16 34 6 0 
HU07693 1861 9486 961 178 49 38 99 46 13 130 3 3 205 37 39 112 3 6 
HU07694 1872 8226 1079 138 39 26 179 87 12 101 7 14 271 50 24 122 8 1 
HU07703 1860 10128 1121 132 76 62 168 50 26 131 1 7 241 83 15 125 3 1 
HU07718 1875 23356 2268 347 135 187 160 94 75 280 4 8 550 104 51 259 9 5 
HU07729 1887 18271 1869 247 174 66 138 113 23 261 8 17 385 91 65 264 11 6 
HU08163 1855 6641 429 91 9 15 46 11 17 33 0 0 115 17 27 43 5 0 
HU08358 1920 24229 2263 489 217 181 191 79 60 154 0 4 379 122 74 308 3 2 
HU09105 1918 15120 1803 239 161 99 131 158 63 174 8 5 402 167 40 150 5 1 
HU10230 1852 36711 3408 643 88 194 219 135 84 497 2 45 824 174 86 391 8 18 
HU10428 1920 4581 369 22 49 12 10 26 11 54 7 1 96 33 12 30 5 1 
HU11129 1918 7867 967 112 23 98 83 28 17 86 23 12 269 57 34 123 2 0 
HU11795 1912 5931 409 58 46 30 35 28 14 33 2 3 87 19 21 33 0 0 
HU11968 1894 16609 1135 229 77 70 46 63 24 152 0 5 232 13 23 191 3 7 
HU12028 1892 3972 521 58 60 24 46 31 19 76 0 3 110 31 20 41 2 0 
HU12359 1902 9888 796 144 88 42 59 41 20 124 0 6 137 46 23 63 2 1 
HU12750 1903 5785 536 84 37 68 11 39 12 58 2 1 124 23 12 60 2 3 
HU13316 1911 8826 741 55 34 30 39 32 25 138 1 4 167 27 43 141 1 4 
HU13387 1901 24435 2151 410 326 85 65 62 30 254 2 4 363 126 78 333 4 9 
HU13445 1895 5412 605 61 43 22 84 31 19 75 2 1 140 48 13 55 8 3 
HU13462 1897 5950 565 76 65 30 62 40 8 59 0 12 109 33 19 46 6 0 
HU13606 1907 21620 1870 284 167 85 168 87 34 191 0 11 439 99 53 231 13 8 
HU13802 1886 9576 1171 171 101 61 85 31 20 111 0 3 329 113 11 133 2 0 
HU14125 1892 4856 525 81 35 31 37 18 12 86 8 7 115 16 14 60 5 0 
HU14197 1888 8439 721 112 21 36 35 43 13 84 0 18 195 33 16 107 7 1 
HU14261 1895 4067 566 72 95 16 95 44 7 64 0 2 96 21 9 45 0 0 
HU14315 1898 11435 1127 230 91 79 122 47 11 143 0 1 209 26 46 116 0 6 
HU14548 1881 11487 1510 193 110 38 91 118 12 284 0 6 379 38 58 169 6 8 
HU14564 1897 4000 408 67 39 22 51 18 4 30 0 3 118 8 10 36 1 1 
HU14664 1867 8669 976 112 75 24 108 26 38 84 0 2 271 86 29 112 9 0 
HU14689 1895 5520 737 98 11 25 41 14 44 116 0 5 133 30 34 186 0 0 
HU14745 1866 11837 1471 209 120 41 133 142 15 137 0 21 363 90 15 176 9 0 
HU14769 1878 10789 1267 194 85 37 120 76 11 152 0 33 345 64 25 118 6 1 
HU16123 1896 16280 1902 251 184 84 118 150 46 286 0 1 393 93 43 231 11 11 
HU16124 1896 6608 711 91 59 20 98 30 21 88 0 17 137 28 33 86 1 2 
HU16127 1896 4715 378 37 32 17 22 26 10 71 0 3 52 15 12 75 4 2 
HU16243 1892 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
HU16243 1892 5685 649 95 34 22 124 21 4 91 0 11 96 33 22 84 9 3 
HU16328 1891 4519 418 55 32 19 16 15 11 71 0 0 122 15 9 40 3 10 
HU16344 1909 17961 1789 194 64 89 52 41 23 197 7 1 537 46 57 473 6 2 
HU16355 1893 3466 402 55 38 33 30 23 4 47 0 0 98 28 17 28 1 0 
HU16359 1893 6314 854 128 113 40 89 36 15 120 0 4 135 25 25 118 4 2 
HU16361 1856 2381 248 45 11 20 27 13 7 22 0 0 54 16 5 27 0 1 
HU16529 1914 9983 1241 191 216 38 85 84 14 82 0 2 288 128 24 85 2 2 
HU16600 1908 5405 507 53 41 20 34 20 25 44 0 8 112 27 31 86 3 3 
HU16672 1869 3776 291 26 12 12 26 18 3 39 5 0 84 7 8 46 5 0 
HU16824 1908 8558 1286 123 115 35 142 182 15 170 6 5 258 114 29 90 1 1 
HU17048 1908 9736 1388 148 114 59 158 121 45 167 0 2 314 65 22 170 3 0 
HU17435 1920 28225 2438 296 235 161 84 196 37 368 25 1 441 132 47 399 5 11 
HU17606 1919 9857 1239 169 142 89 65 50 24 87 4 19 330 82 45 122 11 0 
HU17653 1908 6750 764 127 94 26 62 36 13 87 0 0 187 59 15 52 2 4 
HU17694 1906 5885 774 103 114 14 73 63 13 82 0 5 159 53 28 65 2 0 
HU17873 1864 4621 496 48 14 27 63 27 15 51 0 10 171 22 6 41 0 1 
HU17910 1872 2154 269 36 5 12 38 23 4 19 0 6 66 7 9 40 3 1 
HU17960 1866 4101 286 65 21 14 21 6 12 32 1 5 65 5 4 33 0 2 
HU17999 1863 9400 1198 128 55 29 167 77 26 69 0 3 323 57 42 214 3 5 
HU18153 1848 7417 774 110 11 58 55 20 17 76 38 7 155 31 19 173 3 1 
HU18411 1860 7610 623 65 28 66 28 14 4 109 20 4 102 47 11 110 6 9 
HU18535 1882 8702 1011 129 114 56 88 54 61 145 0 1 213 35 30 80 4 1 
HU18964 1862 9981 1028 140 33 49 138 61 29 108 7 15 295 38 25 77 6 7 
HU18993 1860 11819 1541 166 84 66 119 102 52 206 9 1 444 53 41 190 6 2 
HU19000 1878 6754 966 144 43 23 71 68 16 129 0 11 278 43 21 114 2 3 
HU19006 1846 10091 928 185 40 45 95 59 20 80 21 15 176 33 13 138 1 7 
HU19018 1857 9698 956 129 45 34 125 68 8 93 44 21 220 29 27 112 1 0 
HU19040 1844 22804 2055 258 36 166 191 63 43 267 55 0 315 112 50 485 12 2 
