textId year verbs innerVerbs ver saber querer sentir conhecer esperar pensar amar achar julgar
POR0001 1868 29002 2206  693 460 359 159 112 110 75 29 116 93

POR0002 1908 3151 234  55 45 33 46 15 7 13 15 3 2

POR0003 1848 23065 1251  388 284 152 85 71 68 44 51 96 12

POR0004 1846 11906 1085  295 242 148 96 51 42 39 108 55 9

POR0005 1888 37868 2405  630 463 416 190 196 133 121 43 194 19

POR0006 1855 9321 590  127 102 63 50 54 48 14 57 64 11

POR0007 1868 23858 1853  547 460 235 115 114 91 107 25 64 95

POR0008 1900 15018 643  65 177 95 60 75 62 73 12 21 3

POR0009 1875 26043 1727  495 303 322 205 71 70 124 42 69 26

POR0010 1862 9687 795  203 195 160 26 43 54 41 32 31 10

POR0011 1858 7765 578  143 141 117 26 39 30 8 39 20 15

POR0012 1854 37242 3464  817 717 705 267 332 192 90 122 146 76

POR0013 1906 8603 611  155 140 108 66 34 17 26 45 19 1

POR0014 1906 9557 637  188 115 141 56 27 44 27 14 7 18

POR0015 1867 28384 2550  635 553 428 235 128 124 145 100 100 102

POR0016 1865 15922 968  307 194 145 62 58 74 1 29 69 29

POR0017 1874 9087 541  181 83 67 73 17 29 27 27 17 20

POR0018 1908 9635 535  132 114 66 41 48 33 31 8 44 18

POR0019 1914 4639 376  83 108 46 37 33 10 23 15 11 10

POR0020 1917 11476 650  201 131 129 73 43 25 17 1 24 6

POR0021 1888 4239 378  124 52 61 52 15 20 19 1 22 12

POR0022 1892 6305 382  100 76 57 29 37 21 19 10 28 5

POR0023 1844 10016 425  145 62 38 42 29 36 8 24 39 2

POR0024 1873 5148 398  107 65 49 49 13 41 19 23 10 22

POR0025 1870 11296 1041  242 207 173 73 41 62 31 157 24 31

POR0026 1883 20806 1371  343 235 202 182 132 53 79 45 51 49

POR0027 1873 9497 686  131 155 134 36 73 38 18 53 24 24

POR0028 1875 4457 281  44 65 36 24 7 23 17 57 3 5

POR0029 1876 3882 233  45 61 44 16 17 14 6 12 3 15

POR0030 1861 7167 379  99 91 31 34 34 15 20 41 9 5

POR0031 1897 8461 346  123 75 42 18 16 32 11 12 12 5

POR0032 1899 14686 1011  245 185 204 126 43 72 65 20 8 43

POR0033 1904 24331 2054  407 488 365 104 175 105 113 153 67 77

POR0034 1874 11060 745  191 172 108 44 25 48 56 53 21 27

POR0035 1900 8267 662  192 139 67 37 47 30 43 83 0 24

POR0036 1881 9367 653  186 108 89 93 46 29 51 19 24 8

POR0037 1905 38960 2333  564 711 484 106 113 178 57 46 27 47

POR0038 1843 9942 600  150 124 70 35 51 42 19 37 63 9

POR0039 1846 3322 261  71 34 39 14 22 13 11 25 6 26

POR0040 1857 6705 405  167 62 88 21 11 9 20 5 13 9

POR0041 1916 10955 645  118 116 109 70 55 17 63 51 14 32

POR0042 1904 10158 500  140 97 63 29 69 31 16 20 29 6

POR0043 1886 6416 490  135 74 78 66 26 28 34 11 29 9

POR0044 1877 2564 233  35 62 23 23 19 10 16 20 14 11

POR0045 1870 14326 891  214 240 162 52 78 38 17 47 16 27

POR0046 1875 10222 701  181 137 138 34 36 38 26 16 58 37

POR0047 1863 9937 593  178 108 56 31 49 36 38 3 56 38

POR0048 1864 2284 191  45 43 13 31 13 11 6 14 9 6

POR0049 1891 12891 1178  311 318 123 37 162 82 71 17 41 16

POR0050 1866 15131 1073  305 216 88 72 55 75 12 64 119 67

POR0051 1917 12058 676  177 159 147 99 12 36 22 9 5 10

POR0052 1903 8752 559  159 103 114 88 15 37 16 13 9 5

POR0053 1891 16804 943  293 164 201 74 49 37 37 34 38 16

POR0054 1901 22092 1302  462 250 290 74 67 29 49 21 43 17

POR0055 1873 11004 717  183 167 106 55 58 29 42 40 18 19

POR0056 1892 3972 326  58 48 62 27 8 24 18 52 20 9

POR0057 1849 5737 423  135 50 47 63 22 14 5 67 7 13

POR0058 1895 12924 813  206 167 136 48 68 42 61 27 27 31

POR0059 1875 8797 666  171 139 78 25 117 39 13 23 48 13

POR0060 1881 4124 296  98 62 53 37 13 6 8 8 9 2

POR0061 1871 9428 862  185 185 110 107 72 31 50 42 57 23

POR0062 1908 3333 276  70 62 42 35 13 7 23 4 15 5

POR0063 1870 12947 1059  264 192 175 116 65 41 45 56 92 13

POR0064 1873 8129 591  165 130 74 19 87 49 7 4 36 20

POR0065 1914 9377 770  243 113 130 65 33 32 56 36 25 37

POR0066 1916 2420 124  42 32 25 6 2 3 11 0 3 0

POR0067 1867 12822 1089  388 181 173 60 47 49 50 70 36 35

POR0068 1899 9176 573  120 89 92 69 34 33 35 50 18 33

POR0069 1867 4233 402  103 61 94 12 24 12 28 40 18 10

POR0070 1857 7026 450  110 53 65 16 42 32 28 23 68 13

POR0071 1881 4515 209  76 39 12 17 19 14 14 2 7 9

POR0072 1900 12284 686  184 113 119 30 55 67 33 14 54 17

POR0073 1867 14607 1017  279 184 162 155 61 59 35 27 13 42

POR0074 1900 18450 1059  327 199 160 125 17 63 92 40 11 25

POR0075 1906 15523 1207  292 245 252 83 62 60 85 36 25 67

POR0076 1894 8458 341  87 47 55 7 13 20 5 3 75 29

POR0077 1857 9093 624  166 109 71 29 38 29 42 51 61 28

POR0078 1908 12623 474  118 83 84 36 57 41 17 20 11 7

POR0079 1879 16136 910  255 117 91 277 29 34 58 16 28 5

POR0080 1903 38021 3129  732 776 611 232 131 178 207 96 105 61

POR0081 1878 10898 748  219 188 81 37 38 43 6 33 82 21

POR0082 1858 15767 1270  337 222 202 68 125 50 33 126 38 69

POR0083 1908 2470 172  45 36 34 12 14 17 8 0 2 4

POR0084 1866 8897 498  122 82 88 46 35 26 9 48 31 11

POR0085 1863 12959 959  262 203 168 62 46 45 50 49 20 54

POR0086 1912 5435 548  119 68 75 91 15 12 59 70 21 18

POR0087 1908 25837 1666  503 378 232 121 107 111 90 41 55 28

POR0088 1864 27767 2157  680 384 314 90 195 121 66 110 135 62

POR0089 1868 2406 200  54 55 31 22 10 6 3 10 1 8

POR0090 1892 2127 95  35 20 7 11 8 0 5 0 3 6

POR0091 1876 16881 1053  245 189 207 97 70 32 52 89 56 16

POR0092 1878 10941 786  218 150 152 31 35 61 44 31 42 22

POR0093 1874 10800 968  313 176 120 80 61 37 32 72 21 56

POR0094 1862 7584 553  151 105 70 42 38 26 34 51 15 21

POR0095 1905 9723 669  149 175 131 27 57 25 27 4 56 18

