textId year verbs innerVerbs querer sentir conhecer pensar amar julgar crer desejar duvidar entender
POR0001 1868 29002 965  359 159 112 75 29 93 33 30 25 50

POR0002 1908 3151 131  33 46 15 13 15 2 0 5 0 2

POR0003 1848 23065 545  152 85 71 44 51 12 57 13 20 40

POR0004 1846 11906 519  148 96 51 39 108 9 47 14 7 0

POR0005 1888 37868 1136  416 190 196 121 43 19 53 44 27 27

POR0006 1855 9321 295  63 50 54 14 57 11 4 18 15 9

POR0007 1868 23858 861  235 115 114 107 25 95 26 28 63 53

POR0008 1900 15018 405  95 60 75 73 12 3 21 44 10 12

POR0009 1875 26043 903  322 205 71 124 42 26 26 42 21 24

POR0010 1862 9687 363  160 26 43 41 32 10 24 5 9 13

POR0011 1858 7765 332  117 26 39 8 39 15 35 8 6 39

POR0012 1854 37242 1816  705 267 332 90 122 76 87 42 34 61

POR0013 1906 8603 310  108 66 34 26 45 1 18 1 2 9

POR0014 1906 9557 324  141 56 27 27 14 18 12 11 9 9

POR0015 1867 28384 1392  428 235 128 145 100 102 77 44 56 77

POR0016 1865 15922 406  145 62 58 1 29 29 26 23 14 19

POR0017 1874 9087 271  67 73 17 27 27 20 11 11 5 13

POR0018 1908 9635 265  66 41 48 31 8 18 15 17 18 3

POR0019 1914 4639 193  46 37 33 23 15 10 15 8 3 3

POR0020 1917 11476 309  129 73 43 17 1 6 18 5 5 12

POR0021 1888 4239 167  61 52 15 19 1 12 0 6 0 1

POR0022 1892 6305 193  57 29 37 19 10 5 1 14 12 9

POR0023 1844 10016 189  38 42 29 8 24 2 21 5 9 11

POR0024 1873 5148 232  49 49 13 19 23 22 17 9 29 2

POR0025 1870 11296 607  173 73 41 31 157 31 52 32 13 4

POR0026 1883 20806 867  202 182 132 79 45 49 21 84 16 57

POR0027 1873 9497 409  134 36 73 18 53 24 24 20 12 15

POR0028 1875 4457 176  36 24 7 17 57 5 10 12 4 4

POR0029 1876 3882 123  44 16 17 6 12 15 4 4 1 4

POR0030 1861 7167 204  31 34 34 20 41 5 9 8 10 12

POR0031 1897 8461 152  42 18 16 11 12 5 10 18 15 5

POR0032 1899 14686 577  204 126 43 65 20 43 16 13 41 6

POR0033 1904 24331 1254  365 104 175 113 153 77 92 83 64 28

POR0034 1874 11060 405  108 44 25 56 53 27 26 42 16 8

POR0035 1900 8267 345  67 37 47 43 83 24 8 27 5 4

POR0036 1881 9367 367  89 93 46 51 19 8 7 26 13 15

POR0037 1905 38960 1077  484 106 113 57 46 47 68 31 18 107

POR0038 1843 9942 266  70 35 51 19 37 9 26 5 2 12

POR0039 1846 3322 142  39 14 22 11 25 26 2 1 2 0

POR0040 1857 6705 173  88 21 11 20 5 9 5 2 1 11

POR0041 1916 10955 431  109 70 55 63 51 32 16 22 4 9

POR0042 1904 10158 230  63 29 69 16 20 6 8 5 2 12

POR0043 1886 6416 262  78 66 26 34 11 9 10 6 3 19

POR0044 1877 2564 131  23 23 19 16 20 11 7 6 2 4

POR0045 1870 14326 457  162 52 78 17 47 27 12 24 15 23

POR0046 1875 10222 340  138 34 36 26 16 37 8 10 18 17

POR0047 1863 9937 281  56 31 49 38 3 38 10 9 16 31

POR0048 1864 2284 91  13 31 13 6 14 6 1 5 1 1

POR0049 1891 12891 510  123 37 162 71 17 16 23 20 16 25

POR0050 1866 15131 467  88 72 55 12 64 67 12 64 28 5

POR0051 1917 12058 350  147 99 12 22 9 10 32 5 2 12

POR0052 1903 8752 268  114 88 15 16 13 5 5 3 2 7

POR0053 1891 16804 441  201 74 49 37 34 16 12 6 1 11

POR0054 1901 22092 594  290 74 67 49 21 17 16 6 19 35

POR0055 1873 11004 373  106 55 58 42 40 19 12 13 15 13

POR0056 1892 3972 187  62 27 8 18 52 9 3 2 4 2

POR0057 1849 5737 241  47 63 22 5 67 13 8 12 3 1

POR0058 1895 12924 435  136 48 68 61 27 31 12 17 16 19

POR0059 1875 8797 331  78 25 117 13 23 13 19 12 17 14

POR0060 1881 4124 134  53 37 13 8 8 2 2 2 0 9

POR0061 1871 9428 482  110 107 72 50 42 23 37 11 14 16

POR0062 1908 3333 141  42 35 13 23 4 5 8 7 0 4

POR0063 1870 12947 516  175 116 65 45 56 13 25 9 6 6

POR0064 1873 8129 266  74 19 87 7 4 20 18 8 23 6

POR0065 1914 9377 421  130 65 33 56 36 37 15 24 11 14

POR0066 1916 2420 54  25 6 2 11 0 0 0 1 0 9

POR0067 1867 12822 528  173 60 47 50 70 35 42 17 10 24

POR0068 1899 9176 374  92 69 34 35 50 33 4 10 16 31

POR0069 1867 4233 225  94 12 24 28 40 10 7 5 2 3

POR0070 1857 7026 225  65 16 42 28 23 13 2 28 7 1

POR0071 1881 4515 90  12 17 19 14 2 9 5 5 2 5

POR0072 1900 12284 350  119 30 55 33 14 17 9 37 21 15

POR0073 1867 14607 585  162 155 61 35 27 42 31 36 31 5

POR0074 1900 18450 489  160 125 17 92 40 25 3 11 12 4

POR0075 1906 15523 671  252 83 62 85 36 67 16 34 6 30

POR0076 1894 8458 128  55 7 13 5 3 29 1 8 2 5

POR0077 1857 9093 340  71 29 38 42 51 28 13 33 23 12

POR0078 1908 12623 291  84 36 57 17 20 7 7 33 19 11

POR0079 1879 16136 525  91 277 29 58 16 5 6 19 13 11

POR0080 1903 38021 1516  611 232 131 207 96 61 32 64 56 26

POR0081 1878 10898 285  81 37 38 6 33 21 15 13 20 21

POR0082 1858 15767 719  202 68 125 33 126 69 24 38 14 20

POR0083 1908 2470 88  34 12 14 8 0 4 6 3 4 3

POR0084 1866 8897 290  88 46 35 9 48 11 17 9 19 8

POR0085 1863 12959 493  168 62 46 50 49 54 24 13 6 21

POR0086 1912 5435 386  75 91 15 59 70 18 18 28 5 7

POR0087 1908 25837 768  232 121 107 90 41 28 37 33 60 19

POR0088 1864 27767 1002  314 90 195 66 110 62 29 60 49 27

POR0089 1868 2406 96  31 22 10 3 10 8 4 2 6 0

POR0090 1892 2127 48  7 11 8 5 0 6 3 4 1 3

POR0091 1876 16881 631  207 97 70 52 89 16 30 14 21 35

POR0092 1878 10941 370  152 31 35 44 31 22 30 12 5 8

POR0093 1874 10800 506  120 80 61 32 72 56 20 19 30 16

POR0094 1862 7584 300  70 42 38 34 51 21 13 23 3 5

POR0095 1905 9723 313  131 27 57 27 4 18 8 15 10 16

POR0096 1858 8295 284  77 21 32 12 9 27 22 40 6 38

POR0097 1906 26288 1118  517 93 60 113 94 14 55 29 71 72

POR0098 1901 8321 321  114 27 62 12 24 29 3 8 32 10

POR0099 1903 14964 679  216 96 87 79 50 41 43 29 25 13

POR0100 1889 16279 435  138 81 69 27 17 12 19 15 26 31
