textId year verbs innerVerbs ști vrea crede iubi simți cunoaște gândi aștepta înțelege plăcea
ROM001 1894 1599 68  14 31 4 2 5 1 6 0 4 1

ROM002 1894 5745 160  59 18 16 2 11 17 14 13 5 5

ROM003 1870 4939 226  65 29 24 35 20 16 13 5 8 11

ROM004 1908 19998 946  222 193 87 29 62 93 44 60 124 32

ROM005 1883 4904 340  76 58 20 99 9 19 29 15 11 4

ROM006 1873 16579 1104  255 275 97 114 64 96 55 59 42 47

ROM007 1892 5136 268  68 31 35 41 13 21 21 16 19 3

ROM008 1892 4978 179  26 53 15 10 13 21 12 6 4 19

ROM009 1906 4189 171  43 17 24 19 27 6 10 16 6 3

ROM010 1894 10806 850  169 112 76 72 151 48 98 48 55 21

ROM011 1872 5199 319  72 12 47 73 38 25 3 31 11 7

ROM012 1887 9349 559  169 60 63 41 43 37 19 56 62 9

ROM013 1865 9011 1162  223 118 145 404 54 58 41 35 48 36

ROM014 1865 3042 189  57 24 24 17 5 11 14 12 16 9

ROM015 1861 3748 250  53 16 35 59 10 21 11 18 18 9

ROM016 1855 6309 565  132 78 67 126 20 43 20 24 37 18

ROM017 1862 12488 981  162 70 165 249 50 71 48 44 62 60

ROM018 1864 10597 677  159 66 106 86 38 56 49 28 76 13

ROM019 1920 6545 464  102 57 55 25 40 43 46 44 33 19

ROM020 1920 6972 441  105 63 38 19 38 52 48 42 25 11

ROM021 1920 4128 312  60 38 42 21 42 23 39 17 23 7

ROM022 1894 5075 289  100 61 22 14 10 15 19 27 15 6

ROM023 1892 3984 215  40 60 18 16 16 9 14 22 8 12

ROM024 1912 18085 918  259 151 87 36 76 88 61 72 73 15

ROM025 1862 26259 1834  468 108 289 156 76 219 136 167 152 63

ROM026 1899 6328 340  82 72 19 60 15 12 37 16 19 8

ROM027 1896 7087 333  64 84 64 14 22 32 0 7 39 7

ROM028 1898 9872 511  47 34 45 41 137 37 85 28 36 21

ROM029 1881 7962 441  125 113 35 14 19 18 23 47 32 15

ROM030 1903 7028 590  119 48 64 159 72 24 47 37 8 12

ROM031 1861 16952 1089  172 130 165 245 82 126 51 51 28 39

ROM032 1890 3722 287  63 69 25 19 6 30 25 24 16 10

ROM033 1920 2227 109  36 11 21 1 6 8 2 18 6 0

ROM034 1855 7024 348  84 20 48 24 27 42 18 47 21 17

ROM035 1908 5163 229  52 37 14 21 28 12 21 15 23 6

ROM036 1902 7668 635  104 43 110 194 87 16 44 14 13 10

ROM037 1893 8760 447  77 131 60 34 25 35 40 13 20 12

