textId year verbs innerVerbs moči morati pozabiti spoznati molčati razumeti skrbeti opaziti odločiti nameravati
SLV00024 1891 11957 468  163 181 19 35 6 19 29 14 2 0

SLV00048 1896 6766 278  108 96 17 10 15 17 10 2 2 1

SLV00058 1883 5338 207  85 58 14 12 16 2 3 7 0 10

SLV00072 1897 8747 367  134 117 20 33 37 1 11 9 5 0

SLV00090 1894 6329 233  85 58 34 11 17 4 14 9 1 0

SLV00092 1892 5228 169  70 25 23 5 12 14 8 8 4 0

SLV00094 1881 9812 323  105 108 24 30 9 4 22 11 8 2

SLV00098 1883 5937 218  68 66 9 17 15 16 12 14 1 0

SLV00099 1877 9522 385  129 133 44 13 29 6 14 15 2 0

SLV00103 1883 4521 226  75 76 29 17 10 4 5 9 1 0

SLV00111 1891 10200 378  122 115 24 28 15 19 28 6 16 5

SLV00112 1885 6986 209  79 80 13 19 4 1 3 2 6 2

SLV00122 1870 11889 452  172 151 28 42 17 15 15 5 5 2

SLV00126 1892 5749 251  102 71 11 17 22 3 15 4 2 4

SLV00132 1895 5230 184  72 38 19 25 6 8 3 12 1 0

SLV00135 1894 13919 531  251 103 24 45 11 5 38 21 33 0

SLV00136 1891 4929 167  54 55 6 14 14 0 1 21 2 0

SLV00172 1883 10780 555  227 150 29 53 24 16 16 15 20 5

SLV00174 1893 12403 576  262 193 30 42 13 3 13 3 17 0

SLV00187 1885 3919 164  61 48 21 3 17 1 4 4 3 2

SLV00194 1876 4881 182  62 60 15 4 16 9 7 3 4 2

SLV00216 1881 7426 300  120 85 26 24 16 9 4 10 4 2

SLV00217 1886 6128 293  115 90 8 18 16 20 5 11 4 6

SLV00227 1887 4371 214  95 73 18 4 8 2 9 0 2 3

SLV00231 1885 6246 257  96 88 15 10 14 16 14 1 3 0

SLV00234 1896 3771 170  84 50 4 13 4 3 6 3 2 1

SLV00240 1897 8419 341  150 92 27 35 7 6 7 5 9 3

SLV00273 1899 6334 267  76 115 11 22 25 3 10 0 5 0

SLV00278 1897 13120 490  143 204 14 24 20 47 19 1 15 3

SLV00279 1877 8171 362  142 128 21 21 13 13 13 9 1 1

SLV00310 1903 5581 168  81 33 18 23 4 5 2 1 1 0

SLV00324 1917 4116 181  66 53 10 9 18 0 1 24 0 0

SLV00325 1916 5024 200  62 73 9 11 7 23 5 5 4 1

SLV00345 1909 6846 253  98 65 19 17 19 20 4 6 5 0

SLV00352 1910 9722 298  78 98 58 11 16 22 7 2 6 0

SLV00355 1917 10693 470  151 172 25 25 21 49 3 0 23 1

SLV00363 1882 9911 336  130 145 16 11 17 9 5 1 1 1

SLV00364 1908 7551 257  69 96 18 21 14 23 11 2 2 1

SLV00373 1900 10094 483  198 144 32 30 20 10 40 4 4 1

SLV00391 1909 11243 589  226 166 63 22 41 15 14 21 11 10

SLV00398 1906 6120 183  51 35 14 26 19 25 2 5 2 4

SLV00401 1902 9086 210  75 32 22 21 13 17 15 12 0 3

SLV00406 1905 13590 518  191 181 20 8 29 2 10 68 6 3

SLV00410 1901 5774 189  63 31 14 20 15 21 7 17 0 1

SLV00417 1915 12131 299  124 70 18 11 31 18 13 12 1 1

SLV00421 1895 4668 208  77 69 11 23 8 0 3 6 5 6

SLV00425 1901 4537 137  43 59 7 10 1 3 5 4 4 1

SLV00452 1903 8936 343  127 109 9 26 30 12 6 19 4 1

SLV00454 1904 9687 441  141 198 8 27 23 9 6 8 10 11

SLV00455 1904 9258 386  152 121 13 48 8 14 8 2 15 5

SLV00456 1910 4875 238  103 52 19 27 6 15 2 1 8 5

SLV00458 1904 9328 425  172 124 18 36 10 21 21 3 13 7

SLV00459 1907 13715 664  275 217 28 55 12 22 16 2 25 12

SLV00460 1909 7618 462  202 124 43 40 4 14 10 9 14 2

SLV00461 1909 6214 354  150 89 36 25 12 19 7 2 10 4

SLV00473 1895 8855 315  86 111 26 22 18 20 7 11 7 7

SLV00476 1917 4930 175  61 64 12 8 6 8 4 8 1 3

SLV00478 1918 6619 207  73 48 19 11 24 20 8 2 2 0

SLV00483 1913 18421 794  283 249 41 67 22 61 11 47 11 2

SLV00496 1904 9750 290  89 105 12 26 23 21 11 1 0 2

SLV00497 1903 4787 143  47 47 14 12 4 8 6 3 1 1

SLV00498 1912 8440 255  60 55 20 16 23 36 16 18 8 3

SLV00502 1905 5504 158  39 62 13 6 22 5 6 2 1 2

SLV00506 1909 16207 443  118 124 51 17 58 44 20 1 8 2

SLV00526 1911 15919 552  197 210 29 25 28 18 9 18 3 15

SLV10001 1904 4319 85  39 4 9 7 6 12 4 4 0 0

SLV10002 1876 5700 179  51 81 7 1 13 7 11 0 4 4

SLV10004 1905 5468 216  61 86 13 5 4 35 5 2 0 5

SLV10005 1907 23124 578  137 172 54 51 67 51 19 11 13 3

SLV10006 1910 5992 388  158 95 16 34 15 17 5 35 12 1

SLV10007 1866 10854 509  202 161 36 29 21 26 20 7 6 1

SLV10008 1876 3424 184  66 62 7 9 13 17 4 5 1 0

SLV10009 1876 5235 290  112 111 17 6 13 16 2 7 5 1

SLV10010 1873 3162 174  72 53 5 4 6 10 6 11 2 5

SLV10011 1877 3614 166  65 52 15 3 11 7 6 5 2 0

SLV10012 1884 5532 212  66 58 21 16 19 10 4 12 5 1

SLV10013 1904 3966 130  43 36 7 7 14 4 9 3 3 4

SLV10014 1907 6049 230  69 69 21 10 21 23 5 10 2 0

SLV10015 1914 9003 392  137 120 27 25 26 28 16 8 5 0

SLV10016 1886 10952 367  122 163 7 24 6 18 17 0 3 7

SLV10017 1903 44507 2493  772 1006 106 91 195 115 52 84 22 50

SLV10018 1913 26876 943  318 337 39 81 36 42 30 15 12 33

SLV10019 1917 12615 377  75 152 38 20 21 24 29 2 8 8

SLV10020 1898 6316 281  107 103 12 15 16 14 8 4 2 0

SLV10021 1896 3491 145  59 36 14 14 9 7 3 1 2 0

SLV10022 1910 5123 232  74 44 12 22 30 16 4 21 3 6

SLV10023 1870 4369 251  149 66 11 7 5 1 11 0 1 0

SLV10024 1875 8136 427  178 138 17 13 36 4 33 0 4 4

SLV10025 1876 8358 361  207 65 27 14 26 1 19 0 1 1

SLV10026 1919 8941 394  121 145 19 20 16 0 16 51 6 0

SLV10027 1911 5360 222  67 83 8 8 7 19 10 3 14 3

SLV10028 1889 8374 364  105 118 32 32 13 18 9 21 14 2

SLV10029 1889 4728 174  78 46 7 6 15 2 7 3 3 7

SLV10031 1911 21369 970  386 239 90 72 36 74 20 11 40 2

SLV10032 1900 13907 711  308 233 43 9 22 28 20 21 14 13

SLV20001 1859 4418 158  54 55 11 13 8 3 6 2 1 5

SLV20002 1884 4838 257  108 61 11 30 13 6 8 5 13 2

SLV30001 1913 4403 208  62 76 8 11 8 30 1 11 1 0
