textId year verbs innerVerbs веровати волети желети заборавити знати мислити надати осетити осећати помислити
SRP18520 1893 6809 293  14 3 6 20 173 41 13 3 2 18

SRP18590 1859 15519 516  19 21 6 19 272 131 14 4 15 15

SRP18620 1862 3639 221  10 11 8 7 121 52 3 0 9 0

SRP18630 1863 15118 760  49 68 1 23 400 178 22 2 8 9

SRP18631 1863 11105 512  21 7 7 58 237 80 17 18 15 52

SRP18680 1868 3257 180  16 1 1 5 95 26 1 10 3 22

SRP18690 1869 5218 207  8 2 3 13 111 30 6 10 12 12

SRP18691 1869 4735 171  7 16 0 7 87 42 3 1 0 8

SRP18730 1874 10253 269  1 0 0 11 137 91 7 0 0 22

SRP18740 1874 2360 102  7 5 1 4 59 18 2 3 0 3

SRP18741 1875 1801 66  2 1 0 9 24 16 0 4 8 2

SRP18750 1875 8003 270  17 20 5 26 144 41 0 3 10 4

SRP18751 1875 2005 60  0 0 0 2 40 15 1 0 0 2

SRP18752 1875 4654 269  14 6 2 6 119 71 17 3 19 12

SRP18760 1876 4603 223  11 10 1 14 135 35 8 3 3 3

SRP18780 1878 9110 414  15 6 0 17 245 89 13 5 16 8

SRP18790 1879 2798 60  4 0 2 3 29 13 4 1 2 2

SRP18791 1879 4632 106  2 4 0 5 54 23 8 5 2 3

SRP18792 1879 2140 67  1 0 1 6 36 15 6 0 0 2

SRP18793 1879 1706 76  4 2 0 1 30 27 2 3 6 1

SRP18800 1880 7171 287  25 11 0 16 158 41 16 8 0 12

SRP18840 1884 2986 158  6 10 0 10 71 32 8 4 12 5

SRP18860 1886 5166 148  0 1 0 9 77 44 13 0 0 4

SRP18870 1887 3195 167  2 20 1 19 64 32 4 5 19 1

SRP18871 1887 9601 418  22 10 2 14 256 76 4 17 3 14

SRP18880 1888 6939 305  11 3 6 11 180 55 4 9 7 19

SRP18881 1888 5292 300  6 2 0 9 167 67 3 19 20 7

SRP18882 1888 9185 411  12 17 4 13 235 64 9 12 30 15

SRP18883 1888 19388 902  31 44 8 30 512 175 23 4 64 11

SRP18890 1889 8288 558  46 44 0 24 216 150 16 1 43 18

SRP18891 1889 6571 297  16 6 7 4 170 65 6 8 11 4

SRP18892 1889 21760 856  56 32 9 24 399 149 16 50 98 23

SRP18910 1891 3562 79  2 1 1 5 46 14 1 2 4 3

SRP18911 1891 4889 156  12 3 2 10 65 33 9 4 17 1

SRP18921 1892 1889 51  3 0 4 6 24 10 0 1 1 2

SRP18922 1892 9667 247  0 0 0 6 164 53 10 0 0 14

SRP18923 1892 18607 636  48 5 7 15 278 126 26 29 89 13

SRP18930 1893 5673 233  20 2 3 11 107 53 16 8 10 3

SRP18932 1893 7712 190  4 4 1 8 95 47 2 8 5 16

SRP18933 1892 12237 419  45 7 13 4 202 94 10 11 24 9

SRP18934 1893 5962 236  12 3 2 13 140 31 5 18 4 8

SRP18935 1893 4726 115  0 8 3 2 65 15 2 1 8 11

SRP18940 1894 6969 348  11 21 1 11 206 40 5 18 25 10

SRP18941 1894 14989 783  54 41 8 39 439 145 13 11 12 21

SRP18942 1894 7075 221  22 12 3 11 109 37 2 8 11 6

SRP18950 1895 7165 278  28 3 0 11 184 40 2 3 6 1

SRP18951 1895 11014 390  19 9 9 15 139 86 6 30 55 22

SRP18961 1896 3484 192  3 10 0 9 85 66 1 5 8 5

SRP18963 1896 18328 856  35 44 9 20 421 178 18 51 53 27

SRP18964 1896 8003 324  11 6 8 9 183 56 18 19 11 3

