0textId year verbs innerVerbs know:perception see:perception think:cognition seem:perception feel:affect hear:perception mean:cognition believe:cognition want:volition like:affect love:affect try:volition wish:volition suffer:physiology sleep:physiology blush:physiology 
ENG18400 1840 37878 2951 593 443 487 245 265 268 74 117 92 121 49 13 118 33 27 6 
ENG18410 1841 31727 2255 263 312 295 441 241 191 48 123 15 49 60 26 138 34 7 12 
ENG18411 1844 5536 402 75 81 43 30 19 53 7 12 2 4 36 6 20 7 6 1 
ENG18440 1844 26732 1442 170 255 226 203 132 112 36 76 51 58 13 10 82 6 5 7 
ENG18450 1845 28087 1642 256 284 292 138 75 130 56 98 98 79 24 12 80 7 6 7 
ENG18460 1846 151331 7434 1559 1357 1025 641 569 608 299 361 204 155 152 45 188 107 121 43 
ENG18470 1847 31598 2672 457 238 506 316 345 123 40 155 22 72 129 82 127 34 19 7 
ENG18471 1847 24588 1467 175 292 224 91 103 151 38 46 59 59 61 24 87 31 20 6 
ENG18480 1848 49488 2939 557 696 563 104 126 222 62 82 101 137 55 31 69 28 43 63 
ENG18481 1848 63516 4208 936 833 689 316 256 278 140 199 108 88 52 52 158 50 41 12 
ENG18482 1848 31344 2844 528 590 542 202 192 230 67 99 85 77 56 62 52 19 36 7 
ENG18490 1849 6799 410 59 77 61 64 57 26 11 27 0 2 5 2 9 7 3 0 
ENG18500 1850 8202 432 61 115 49 48 18 53 14 16 12 10 8 7 11 6 1 3 
ENG18510 1851 15563 1389 255 288 199 118 86 106 58 86 56 24 37 18 20 4 19 15 
ENG18530 1853 66027 5012 1212 977 869 335 242 365 227 163 185 141 48 49 139 21 33 6 
ENG18531 1853 48542 4209 691 805 927 241 206 344 150 188 120 185 22 40 197 26 50 17 
ENG18540 1854 18889 1435 378 294 186 86 40 138 61 71 64 30 14 20 34 5 9 5 
ENG18551 1855 13090 848 190 144 182 25 77 61 30 28 23 25 23 1 27 4 6 2 
ENG18552 1856 9416 806 170 153 137 54 94 48 20 6 33 24 15 10 18 6 18 0 
ENG18560 1856 62131 5596 983 968 1290 374 268 385 217 240 181 244 28 95 234 28 40 21 
ENG18570 1857 15611 1078 177 220 206 90 98 77 25 31 13 61 19 12 32 11 5 1 
ENG18600 1860 11761 925 191 147 162 52 67 60 44 48 37 40 17 9 36 10 2 3 
ENG18610 1861 13675 1011 208 187 155 67 102 56 33 30 50 56 13 12 28 6 6 2 
ENG18621 1862 26377 2020 376 360 400 139 78 135 57 114 93 60 43 26 78 34 26 1 
ENG18630 1862 20050 1561 261 252 275 162 147 78 72 51 49 72 33 21 42 17 22 7 
ENG18632 1863 48344 2994 527 757 419 249 170 217 109 88 78 63 110 79 42 25 37 24 
ENG18640 1864 34270 2935 690 624 370 209 165 178 152 154 85 64 86 42 59 13 33 11 
ENG18641 1864 7688 571 105 121 49 30 65 68 10 17 23 14 34 14 8 9 3 1 
ENG18650 1865 64905 5669 1320 757 1279 204 326 257 278 263 240 230 168 63 232 27 18 7 
ENG18651 1865 35562 3156 594 577 686 162 209 202 114 163 95 111 17 47 130 26 14 9 
ENG18652 1865 5330 526 95 95 121 40 31 44 18 9 11 27 0 12 21 0 2 0 
ENG18660 1866 34092 2632 446 509 390 298 249 158 91 109 105 120 21 22 86 8 13 7 
ENG18661 1866 39255 3287 896 519 645 100 330 191 183 69 108 127 6 30 55 17 6 5 
ENG18670 1867 40417 2750 676 530 457 141 210 237 55 85 60 62 72 23 39 62 39 2 
ENG18700 1870 13499 1110 206 155 223 90 125 68 27 55 58 34 20 12 24 4 2 7 
ENG18702 1871 4999 249 43 53 46 16 8 18 14 12 3 11 3 9 10 2 1 0 
ENG18720 1872 6562 479 82 85 66 40 27 32 27 45 29 13 8 8 6 10 0 1 
ENG18721 1872 60965 5202 924 807 878 480 510 242 266 206 194 332 52 64 201 11 14 21 
ENG18740 1874 9425 953 206 212 165 53 54 49 29 26 61 25 28 15 15 3 11 1 
ENG18741 1874 43389 2499 441 435 361 266 247 233 88 112 66 47 83 12 70 18 10 10 
ENG18742 1874 7948 596 130 100 130 22 40 37 30 8 30 20 5 6 14 3 20 1 
ENG18760 1876 16737 1163 157 345 135 47 106 115 40 53 28 19 35 28 21 20 13 1 
ENG18770 1877 13338 1280 211 206 312 120 79 65 71 42 57 30 22 21 31 5 6 2 
ENG18800 1880 30721 2200 338 293 429 283 146 98 58 129 107 146 32 18 105 2 7 9 
ENG18820 1882 18469 1620 333 345 224 99 109 110 89 52 104 56 2 27 59 6 2 3 
ENG18830 1883 26426 1528 246 272 284 158 55 141 73 40 47 52 20 33 86 7 13 1 
ENG18831 1883 30995 1993 430 425 303 219 103 168 51 62 35 9 41 13 15 43 74 2 
ENG18840 1884 27602 2879 435 423 526 312 430 88 103 138 120 75 100 29 70 11 13 6 
ENG18850 1885 7008 486 102 80 78 38 29 43 15 41 2 9 17 10 2 10 10 0 
ENG18860 1886 21715 1459 230 360 187 151 79 140 47 34 58 56 11 12 72 13 8 1 
ENG18870 1887 43009 3089 618 597 445 394 179 202 114 118 90 83 61 19 73 41 38 17 
ENG18871 1887 24931 1724 294 273 324 114 91 110 103 58 54 75 52 52 83 10 18 13 
ENG18872 1887 2587 225 53 28 46 17 16 25 6 16 1 5 2 1 4 3 2 0 
ENG18880 1888 47852 3365 586 647 455 474 354 164 122 122 113 100 72 46 42 30 30 8 
ENG18890 1889 19092 1830 365 286 309 219 143 110 85 71 59 59 18 27 49 12 18 0 
ENG18900 1890 7805 533 105 144 97 37 22 54 5 12 17 14 2 8 9 2 5 0 
ENG18901 1890 27698 2083 343 449 376 203 118 142 120 62 45 65 20 32 91 5 11 1 
ENG18910 1891 4478 341 66 64 43 60 19 21 6 6 4 21 10 7 8 0 5 1 
ENG18911 1891 36985 3245 616 519 674 290 210 200 144 87 73 119 67 70 116 43 16 1 
ENG18920 1892 8605 647 96 102 146 64 68 42 31 14 19 35 3 4 15 3 5 0 
ENG18930 1893 18314 1925 374 322 384 105 212 66 71 61 93 119 30 24 54 2 8 0 
ENG18931 1893 7962 657 134 108 111 72 35 29 21 23 32 24 24 8 22 8 5 1 
ENG18940 1894 9927 753 123 166 128 65 50 60 20 11 35 41 8 14 14 10 4 4 
ENG18941 1894 29160 2274 331 310 383 349 258 120 102 108 65 65 31 47 70 28 7 0 
ENG18950 1895 4291 374 55 74 67 67 51 11 14 5 6 3 4 3 8 3 2 1 
