textId year verbs innerVerbs tud akar szeret tart hisz érez gondol talál ért tetszik
HU00011 1854 8524 550  127 51 136 57 53 40 26 33 20 7

HU00012 1859 7646 543  100 56 113 27 49 46 19 41 28 64

HU00600 1916 7228 724  242 85 57 30 41 126 75 22 25 21

HU00628 1898 8572 731  224 144 116 25 46 60 43 24 33 16

HU00642 1845 32718 2537  708 397 140 261 257 147 184 333 76 34

HU00662 1901 13761 718  236 67 49 67 16 70 107 29 60 17

HU00666 1857 4327 294  107 63 21 19 14 15 11 20 15 9

HU00719 1916 3238 286  106 42 7 15 19 24 14 16 38 5

HU00726 1878 3609 250  56 40 47 23 15 25 8 17 12 7

HU00730 1855 13711 1002  233 204 143 103 94 44 44 82 38 17

HU00731 1876 3687 324  73 59 52 40 26 13 18 26 6 11

HU00763 1919 2702 158  46 29 16 10 10 13 23 6 3 2

HU00879 1880 1896 196  59 23 31 28 4 5 18 7 0 21

HU00898 1889 4013 194  51 37 18 22 13 5 17 18 6 7

HU00949 1908 23003 1696  528 294 144 142 114 73 146 98 84 73

HU00954 1895 9054 618  191 98 52 48 52 40 32 43 27 35

HU00977 1910 3635 232  77 43 19 8 6 6 28 22 12 11

HU01009 1846 5288 464  133 82 90 37 28 10 34 21 10 19

HU01115 1858 16080 1367  389 310 86 63 169 30 118 75 83 44

HU01116 1856 18055 1394  465 280 72 128 116 32 111 79 60 51

HU02028 1911 10514 959  335 122 67 46 69 124 131 16 31 18

HU02143 1860 11685 1027  271 266 93 60 86 27 69 80 60 15

HU02204 1852 5654 337  96 68 15 29 25 4 28 45 14 13

HU03130 1842 21090 1796  359 203 307 93 129 227 174 213 77 14

HU04774 1847 30780 2064  464 371 154 257 180 133 140 267 70 28

HU05060 1911 9586 697  206 115 68 34 26 134 59 17 26 12

HU05286 1906 25200 2529  725 339 264 162 218 177 237 260 56 91

HU05572 1854 23674 1813  504 285 185 193 140 86 87 180 80 73

HU05573 1873 29968 2021  678 347 160 170 106 90 82 188 111 89

HU05620 1862 18270 1272  305 282 111 178 115 42 66 105 41 27

HU05964 1919 27705 2198  796 255 195 136 118 263 236 105 58 36

HU06784 1899 6380 306  107 58 20 29 11 14 5 23 26 13

HU06982 1895 2781 229  66 29 26 9 42 12 26 7 3 9

HU07119 1913 5656 470  230 57 18 19 41 42 14 18 16 15

HU07551 1845 31159 2156  560 343 264 264 209 102 111 139 89 75

HU07552 1846 29747 1710  531 365 144 150 187 61 59 106 61 46

HU07629 1854 8217 876  196 120 136 82 108 119 28 53 16 18

HU07693 1861 9486 710  205 130 99 39 49 46 37 53 39 13

HU07694 1872 8226 904  271 101 179 41 89 87 50 50 24 12

HU07703 1860 10128 918  241 131 168 53 98 50 83 53 15 26

HU07718 1875 23356 1746  550 280 160 192 114 94 104 126 51 75

HU07729 1887 18271 1468  385 261 138 128 116 113 91 148 65 23

HU08163 1855 6641 382  115 33 46 59 32 11 17 25 27 17

HU08358 1920 24229 1338  379 154 191 72 131 79 122 76 74 60

HU09105 1918 15120 1391  402 174 131 78 108 158 167 70 40 63

HU10230 1852 36711 2763  824 497 219 318 240 135 174 186 86 84

HU10428 1920 4581 334  96 54 10 37 39 26 33 16 12 11

HU11129 1918 7867 681  269 86 83 45 39 28 57 23 34 17

HU11795 1912 5931 292  87 33 35 23 13 28 19 19 21 14

HU11968 1894 16609 800  232 152 46 90 62 63 13 95 23 24

HU12028 1892 3972 427  110 76 46 21 48 31 31 25 20 19

HU12359 1902 9888 605  137 124 59 84 46 41 46 25 23 20

HU12750 1903 5785 342  124 58 11 24 21 39 23 18 12 12

HU13316 1911 8826 623  167 138 39 74 45 32 27 33 43 25

HU13387 1901 24435 1219  363 254 65 126 38 62 126 77 78 30

HU13445 1895 5412 475  140 75 84 21 25 31 48 19 13 19

HU13462 1897 5950 429  109 59 62 32 24 40 33 43 19 8

HU13606 1907 21620 1365  439 191 168 144 99 87 99 51 53 34

HU13802 1886 9576 822  329 111 85 52 25 31 113 45 11 20

HU14125 1892 4856 401  115 86 37 54 22 18 16 27 14 12

HU14197 1888 8439 571  195 84 35 67 39 43 33 46 16 13

HU14261 1895 4067 391  96 64 95 16 23 44 21 16 9 7

HU14315 1898 11435 888  209 143 122 84 112 47 26 88 46 11

HU14548 1881 11487 1202  379 284 91 75 92 118 38 55 58 12

HU14564 1897 4000 294  118 30 51 16 27 18 8 12 10 4

HU14664 1867 8669 828  271 84 108 59 78 26 86 49 29 38

HU14689 1895 5520 468  133 116 41 19 26 14 30 11 34 44

HU14745 1866 11837 1158  363 137 133 64 103 142 90 96 15 15

HU14769 1878 10789 1049  345 152 120 66 128 76 64 62 25 11

HU16123 1896 16280 1394  393 286 118 51 102 150 93 112 43 46

HU16124 1896 6608 517  137 88 98 33 24 30 28 25 33 21

HU16127 1896 4715 293  52 71 22 43 19 26 15 23 12 10

HU16243 1892 5685 467  96 91 124 28 34 21 33 14 22 4

HU16328 1891 4519 335  122 71 16 27 19 15 15 30 9 11

HU16344 1909 17961 1251  537 197 52 134 67 41 46 97 57 23

HU16355 1893 3466 302  98 47 30 26 9 23 28 20 17 4

HU16359 1893 6314 586  135 120 89 36 57 36 25 48 25 15

HU16361 1856 2381 196  54 22 27 14 20 13 16 18 5 7

HU16529 1914 9983 854  288 82 85 55 49 84 128 45 24 14

HU16600 1908 5405 408  112 44 34 50 40 20 27 25 31 25

HU16672 1869 3776 269  84 39 26 23 24 18 7 37 8 3

HU16824 1908 8558 1075  258 170 142 50 68 182 114 47 29 15

HU17048 1908 9736 1049  314 167 158 29 84 121 65 44 22 45

HU17435 1920 28225 1579  441 368 84 141 63 196 132 70 47 37

HU17606 1919 9857 859  330 87 65 55 80 50 82 41 45 24

HU17653 1908 6750 543  187 87 62 30 30 36 59 24 15 13

HU17694 1906 5885 576  159 82 73 36 44 63 53 25 28 13

HU17873 1864 4621 449  171 51 63 29 33 27 22 32 6 15

HU17910 1872 2154 219  66 19 38 7 30 23 7 16 9 4

HU17960 1866 4101 196  65 32 21 24 14 6 5 13 4 12

HU17999 1863 9400 1001  323 69 167 94 67 77 57 79 42 26

HU18153 1848 7417 519  155 76 55 60 51 20 31 35 19 17

HU18411 1860 7610 463  102 109 28 80 33 14 47 35 11 4

HU18535 1882 8702 731  213 145 88 38 36 54 35 31 30 61

HU18964 1862 9981 919  295 108 138 61 86 61 38 78 25 29

HU18993 1860 11819 1296  444 206 119 114 83 102 53 82 41 52

HU19000 1878 6754 801  278 129 71 42 64 68 43 69 21 16

HU19006 1846 10091 633  176 80 95 50 44 59 33 63 13 20

HU19018 1857 9698 740  220 93 125 47 72 68 29 51 27 8

HU19040 1844 22804 1438  315 267 191 178 124 63 112 95 50 43
