0textId year verbs innerVerbs vedeti:cognition misliti:cognition zdeti:cognition hoteti:volition želeti:volition upati:volition pričakovati:volition moči:moral morati:moral smeti:moral skleniti:cognition videti:perception gledati:perception pogledati:perception slišati:perception ljubiti:affect bati:affect skrbeti:affect skrbeti:affect trpeti:affect 
SLV00024 1891 11957 1541 233 132 65 167 30 16 12 163 181 61 26 153 67 37 49 37 43 29 29 11 
SLV00048 1896 6766 728 81 37 20 89 22 5 5 108 96 24 5 72 22 23 8 65 17 10 10 9 
SLV00058 1883 5338 680 144 36 11 87 15 5 14 85 58 17 1 66 45 28 2 47 13 3 3 0 
SLV00072 1897 8747 960 77 80 2 157 6 14 18 134 117 18 16 87 29 32 55 52 21 11 11 23 
SLV00090 1894 6329 840 213 68 39 52 13 16 4 85 58 15 7 106 34 40 15 6 38 14 14 3 
SLV00092 1892 5228 600 127 80 26 75 13 14 4 70 25 14 11 49 24 23 7 7 11 8 8 4 
SLV00094 1881 9812 1350 176 94 14 227 33 31 52 105 108 38 31 125 99 31 69 25 30 22 22 18 
SLV00098 1883 5937 638 131 41 1 123 3 26 17 68 66 8 17 47 18 14 5 9 16 12 12 4 
SLV00099 1877 9522 1219 254 55 5 176 9 19 9 129 133 51 9 115 61 99 4 27 23 14 14 13 
SLV00103 1883 4521 570 100 40 0 78 4 10 10 75 76 21 6 61 20 17 1 30 4 5 5 7 
SLV00111 1891 10200 1101 140 94 66 83 22 19 14 122 115 33 30 91 77 35 30 12 53 28 28 9 
SLV00112 1885 6986 701 85 46 28 76 12 20 14 79 80 19 15 65 50 33 31 19 20 3 3 3 
SLV00122 1870 11889 1599 275 142 82 157 25 71 34 172 151 26 44 195 33 37 36 25 41 15 15 23 
SLV00126 1892 5749 889 126 57 23 160 15 18 17 102 71 19 10 85 29 30 29 13 38 15 15 17 
SLV00132 1895 5230 649 106 46 38 86 10 3 8 72 38 9 2 65 56 35 47 6 16 3 3 0 
SLV00135 1894 13919 1957 207 155 69 250 100 70 49 251 103 57 79 167 111 46 71 29 50 38 38 17 
SLV00136 1891 4929 445 42 17 5 76 7 2 10 54 55 38 6 63 40 11 4 2 7 1 1 4 
