textId year verbs innerVerbs moči morati pozabiti spoznati molčati razumeti pričakovati skrbeti trpeti opaziti
SLV00024 1891 11957 489  163 181 19 35 6 19 12 29 11 14

SLV00048 1896 6766 289  108 96 17 10 15 17 5 10 9 2

SLV00058 1883 5338 211  85 58 14 12 16 2 14 3 0 7

SLV00072 1897 8747 403  134 117 20 33 37 1 18 11 23 9

SLV00090 1894 6329 239  85 58 34 11 17 4 4 14 3 9

SLV00092 1892 5228 173  70 25 23 5 12 14 4 8 4 8

SLV00094 1881 9812 383  105 108 24 30 9 4 52 22 18 11

SLV00098 1883 5937 238  68 66 9 17 15 16 17 12 4 14

SLV00099 1877 9522 405  129 133 44 13 29 6 9 14 13 15

SLV00103 1883 4521 242  75 76 29 17 10 4 10 5 7 9

SLV00111 1891 10200 380  122 115 24 28 15 19 14 28 9 6

SLV00112 1885 6986 218  79 80 13 19 4 1 14 3 3 2

SLV00122 1870 11889 502  172 151 28 42 17 15 34 15 23 5

SLV00126 1892 5749 279  102 71 11 17 22 3 17 15 17 4

SLV00132 1895 5230 191  72 38 19 25 6 8 8 3 0 12

SLV00135 1894 13919 564  251 103 24 45 11 5 49 38 17 21

SLV00136 1891 4929 179  54 55 6 14 14 0 10 1 4 21

SLV00172 1883 10780 597  227 150 29 53 24 16 51 16 16 15

SLV00174 1893 12403 609  262 193 30 42 13 3 32 13 18 3

SLV00187 1885 3919 170  61 48 21 3 17 1 11 4 0 4

SLV00194 1876 4881 188  62 60 15 4 16 9 8 7 4 3

SLV00216 1881 7426 299  120 85 26 24 16 9 5 4 0 10

SLV00217 1886 6128 293  115 90 8 18 16 20 8 5 2 11

SLV00227 1887 4371 225  95 73 18 4 8 2 6 9 10 0

SLV00231 1885 6246 278  96 88 15 10 14 16 6 14 18 1

SLV00234 1896 3771 186  84 50 4 13 4 3 3 6 16 3

SLV00240 1897 8419 363  150 92 27 35 7 6 13 7 21 5

SLV00273 1899 6334 283  76 115 11 22 25 3 4 10 17 0

SLV00278 1897 13120 509  143 204 14 24 20 47 16 19 21 1

SLV00279 1877 8171 370  142 128 21 21 13 13 5 13 5 9

SLV00310 1903 5581 174  81 33 18 23 4 5 4 2 3 1

SLV00324 1917 4116 191  66 53 10 9 18 0 5 1 5 24

SLV00325 1916 5024 204  62 73 9 11 7 23 8 5 1 5

SLV00345 1909 6846 255  98 65 19 17 19 20 2 4 5 6

SLV00352 1910 9722 319  78 98 58 11 16 22 11 7 16 2

SLV00355 1917 10693 461  151 172 25 25 21 49 10 3 5 0

SLV00363 1882 9911 347  130 145 16 11 17 9 1 5 12 1

SLV00364 1908 7551 280  69 96 18 21 14 23 8 11 18 2

SLV00373 1900 10094 501  198 144 32 30 20 10 9 40 14 4

SLV00391 1909 11243 622  226 166 63 22 41 15 25 14 29 21

SLV00398 1906 6120 180  51 35 14 26 19 25 2 2 1 5

SLV00401 1902 9086 222  75 32 22 21 13 17 13 15 2 12

SLV00406 1905 13590 546  191 181 20 8 29 2 23 10 14 68

SLV00410 1901 5774 198  63 31 14 20 15 21 5 7 5 17

SLV00417 1915 12131 311  124 70 18 11 31 18 2 13 12 12

SLV00421 1895 4668 200  77 69 11 23 8 0 3 3 0 6

SLV00425 1901 4537 146  43 59 7 10 1 3 10 5 4 4

