textId year verbs innerVerbs aimer connaître croire entendre regarder savoir sembler trouver voir vouloir 
FRA00101 1860 3889 310  17 9 28 22 18 52 5 47 83 29

FRA00102 1883 5499 465  112 21 38 16 17 55 32 30 77 67

FRA00201 1910 7577 682  26 20 41 75 96 63 49 93 128 91

FRA00301 1858 16808 929  35 52 69 62 46 153 77 122 143 170

FRA00302 1894 25832 1613  101 120 134 105 79 262 97 212 269 234

FRA00401 1902 5818 386  15 44 43 28 7 69 12 47 76 45

FRA00501 1853 7013 625  72 27 37 31 35 107 9 67 121 119

FRA00502 1851 18918 1497  94 115 100 87 95 194 20 199 336 257

FRA00503 1854 15418 1064  49 47 58 68 84 146 44 155 257 156

FRA00601 1881 19582 1481  72 145 140 80 61 303 35 109 304 232

FRA00602 1886 21013 1430  55 117 152 113 57 245 53 181 242 215

FRA00701 1852 10877 1006  79 19 55 54 31 120 18 114 238 278

FRA00801 1843 8715 730  88 29 68 48 46 92 25 75 134 125

FRA00901 1868 14870 1342  90 51 104 131 130 170 36 112 303 215

FRA01002 1919 6261 455  36 19 22 26 57 88 24 32 96 55

FRA01101 1890 9315 804  105 33 78 44 49 141 22 67 145 120

FRA01102 1889 4568 303  37 13 24 15 24 40 8 40 59 43

FRA01201 1868 25167 1656  105 96 111 127 151 261 100 129 330 246

FRA01202 1857 18700 1223  41 58 79 152 53 210 70 104 254 202

FRA01203 1845 14089 898  39 42 96 70 49 154 56 89 158 145

FRA01301 1869 25514 1626  99 108 143 103 106 188 111 197 305 266

FRA01302 1857 20331 1364  89 64 95 130 136 162 112 154 250 172

FRA01303 1862 17198 845  16 31 75 83 87 75 81 111 149 137

FRA01401 1877 6653 455  18 10 17 28 43 64 24 44 96 111

FRA01402 1874 7638 531  52 22 32 47 38 57 15 52 148 68

FRA01403 1881 12145 1011  87 79 65 73 59 173 30 76 205 164

FRA01501 1912 11901 805  75 58 80 63 38 96 33 95 171 96

FRA01601 1887 21095 1378  130 43 144 125 136 145 89 59 277 230

FRA01602 1893 9400 584  44 19 47 51 46 79 42 28 128 100

FRA01603 1900 5251 320  20 13 25 28 11 44 25 17 75 62

FRA01701 1847 6897 431  40 20 33 20 30 51 23 52 103 59

FRA01801 1844 34881 2489  192 143 332 155 41 449 67 241 529 340

FRA01902 1869 51157 3085  106 164 288 276 86 596 147 328 588 506

FRA02001 1912 4024 252  27 12 14 25 13 16 14 28 54 49

FRA02101 1854 13800 1375  296 59 104 58 96 169 66 100 205 222

FRA02201 1888 8713 679  58 35 50 34 18 111 24 84 176 89

FRA02202 1867 8069 643  29 29 47 51 32 63 35 69 191 97

FRA02203 1876 8320 592  52 42 50 38 13 70 31 63 149 84

FRA02301 1888 11680 1014  178 46 76 29 78 159 52 86 164 146

FRA02302 1878 10692 878  134 34 65 42 92 116 40 96 134 125

FRA02303 1878 9997 759  62 32 57 48 61 108 22 93 143 133

FRA02401 1904 4162 212  11 13 14 5 23 27 10 34 34 41

FRA02501 1883 12168 852  39 33 35 78 101 105 61 86 234 80

FRA02601 1869 13695 1069  27 33 81 109 78 129 62 118 221 211

FRA02602 1878 24246 1936  58 74 134 184 164 282 68 275 344 353

FRA02603 1888 21307 1613  62 83 163 82 92 199 41 246 332 313

FRA02701 1885 21029 1677  116 89 76 102 189 201 121 189 300 294

FRA02702 1883 14083 1024  64 51 64 57 111 112 155 83 155 172

FRA02802 1883 9767 683  68 36 51 49 25 144 16 42 148 104

FRA02901 1903 9864 903  135 44 49 40 98 99 93 59 176 110

FRA03001 1885 21898 1442  63 59 94 116 96 194 80 159 342 239

FRA03002 1890 10041 689  83 31 57 32 63 90 50 56 124 103

FRA03003 1894 9476 600  20 45 46 31 32 97 15 72 140 102

FRA03101 1852 12349 918  133 26 92 54 63 78 40 92 167 173

FRA03201 1887 14384 819  26 43 55 83 32 143 9 130 128 170

FRA03302 1865 9819 692  73 51 62 35 38 78 36 66 118 135

FRA03401 1855 7176 446  16 20 33 42 51 66 26 57 87 48

FRA03601 1913 32131 2969  226 294 264 187 98 383 225 338 630 324

FRA03701 1872 20879 2026  160 110 180 114 82 376 58 178 393 375

FRA03702 1867 17901 1761  287 68 203 59 57 298 70 112 274 333

FRA03704 1840 24589 2045  204 87 222 100 78 328 97 200 398 331

FRA03802 1846 12355 930  54 39 97 64 46 136 49 110 214 121

FRA03903 1878 9169 759  61 27 43 58 46 106 37 99 161 121

FRA04001 1878 21756 1139  18 65 97 98 65 172 97 161 196 170

FRA04002 1898 9891 612  16 46 61 76 20 106 39 50 119 79

FRA04102 1863 10439 988  36 30 53 100 183 90 56 36 295 109

FRA04202 1912 107801 9241  1181 555 684 642 759 1272 547 812 1389 1400

FRA04301 1847 32868 2272  196 96 156 203 181 286 116 165 521 352

FRA04401 1916 22238 1462  9 45 85 112 160 239 85 77 499 151

FRA04501 1908 4826 366  21 23 32 18 20 35 23 30 107 57

FRA04601 1907 15953 1038  82 68 82 85 85 134 22 60 234 186

FRA04701 1919 8219 576  58 39 44 45 44 93 10 42 118 83

FRA04801 1909 6305 514  65 35 41 34 12 88 29 37 81 92

FRA04901 1845 41867 3079  207 103 303 255 234 429 148 264 645 491

FRA05101 1904 7532 406  29 20 42 33 12 46 23 47 91 63

FRA05201 1856 5485 452  36 16 64 41 19 75 43 27 78 53

FRA05301 1906 9585 623  3 28 70 67 73 45 57 72 147 61

FRA05401 1849 20794 2136  223 115 187 93 168 240 136 197 356 421

FRA05501 1910 8512 467  6 34 26 42 19 85 47 83 83 42

