filename	xmlid	author-name	author-gender	title	subgenre	pub-year-ref	firstEdition	digitalSource	printSource
Simenon_Temps	Simenon_Temps	Simenon, Georges	M	Le Temps d'Anaïs	blanche	1951	1951	nan	NA
Webb_Merci	Webb_Merci	Webb, Anthony	M	Merci, Monsieur Pendlebury	policier	1951	nan	1951	1951
Beckett_Malone	Beckett_Malone	Beckett, Samuel	M	Malone meurt	blanche	1951	1951	nan	NA
Simenon_Grande	Simenon_Grande	Simenon, Georges	M	Maigret et la Grande Perche	policier	1951	1951	nan	NA
Beckett_Molloy	Beckett_Molloy	Beckett, Samuel	M	Molloy	blanche	1951	1951	nan	NA
Giono_Hussard	Giono_Hussard	Giono, Jean	M	Hussard Toit	blanche	1951	1951	nan	NA
Giono_Grands	Giono_Grands	Giono, Jean	M	Grands Chemins	blanche	1951	1951	nan	NA
BoileauNarcejac_Celle	BoileauNarcejac_Celle	Boileau-Narcejac	M	Celle Qui n'était plus (Les Diaboliques)	policier	1952	1952	nan	NA
Duras_Marin	Duras_Marin	Duras, Marguerite	F	Le Marin de Gibraltar	blanche	1952	1952	nan	NA
Malet_Gang	Malet_Gang	Malet, Léo	M	Le Gang Mysterieux (suivi de Aux mains des réducteurs de têtes)	policier	1952	1952	nan	NA
Simenon_Belle	Simenon_Belle	Simenon, Georges	M	La Mort de Belle	policier	1952	1952	nan	NA
Simenon_Marie	Simenon_Marie	Simenon, Georges	M	Marie Qui Louche	blanche	1952	1952	nan	NA
Vian_Arrache	Vian_Arrache	Vian, Boris	M	Arrache Coeur	blanche	1953	1953	nan	NA
Simenon_Peur	Simenon_Peur	Simenon, Georges	M	Maigret a Peur	policier	1953	1953	nan	NA
Simenon_Antione	Simenon_Antione	Simenon, Georges	M	Antoine et Julie	blanche	1953	1953	nan	NA
Duras_Petits	Duras_Petits	Duras, Marguerite	F	Les Petits Chevaux de Tarquinia	blanche	1953	1953	nan	NA
Oelrichs_Mort	Oelrichs_Mort	Oelrichs, Inès	F	Mort d'une sorcière blanche	policier	1953	nan	1953	1953
Dard_Clientes	Dard_Clientes	Dard, Frédéric	M	Des Clientes pour la Morgue	policier	1953	1953	nan	NA
Dard_Plomb	Dard_Plomb	Dard, Frédéric	M	Du Plomb dans les Tripes	policier	1953	1953	nan	NA
