0textId year verbs innerVerbs ver:perception saber:cognition poder:ability querer:ability ouvir:perception dever:moral olhar:perception sentir:affect conhecer:cognition esperar:affect pensar:cognition amar:affect julgar:moral desejar:ability dormir:physiology gostar:affect comer:physiology estremecer:physiology 
POR0001 1868 29002 2871 645 449 284 342 193 156 174 123 101 103 75 26 86 29 37 15 17 16 
POR0002 1908 3151 307 49 44 56 32 10 15 8 29 15 6 13 14 0 5 6 2 2 1 
POR0003 1848 23065 1666 327 273 274 149 120 102 79 64 60 64 43 41 9 13 24 4 13 7 
POR0004 1846 11915 1313 260 234 176 137 61 71 21 78 45 40 39 87 7 14 17 5 11 10 
POR0005 1888 37868 3038 559 456 269 393 117 166 216 154 175 128 121 35 13 43 78 82 24 9 
POR0006 1855 9321 754 103 102 118 63 41 68 4 32 47 45 14 49 10 18 21 13 4 2 
POR0007 1868 23858 2557 498 453 331 228 150 112 172 96 110 86 107 22 91 27 24 13 8 29 
POR0008 1900 15018 902 65 177 61 95 15 31 50 60 75 62 73 12 3 44 12 40 20 7 
POR0009 1875 26043 2254 431 292 230 286 109 116 172 157 65 66 124 35 21 40 43 38 23 6 
POR0010 1862 9687 1044 183 195 147 151 78 42 35 19 39 50 41 29 8 5 5 1 11 5 
POR0011 1858 7765 739 133 133 118 116 35 34 12 14 34 29 8 33 11 8 5 4 11 1 
POR0012 1854 37242 4511 698 685 680 686 215 340 140 204 280 176 90 87 57 39 42 29 25 38 
POR0013 1906 8603 821 136 138 61 106 76 15 64 47 29 16 26 39 1 1 27 13 17 9 
POR0014 1906 9557 851 162 111 117 129 36 38 50 35 22 42 27 9 16 10 5 15 17 10 
POR0015 1867 28384 3461 597 545 432 410 164 150 231 189 114 120 145 89 96 43 38 48 20 30 
POR0016 1865 15925 1265 280 188 184 145 71 45 52 53 52 72 1 21 25 21 26 6 11 12 
POR0017 1874 9087 790 161 83 124 63 51 39 46 69 16 28 26 13 20 11 16 12 6 6 
POR0018 1908 9635 689 116 111 96 63 30 34 32 27 44 23 31 8 13 16 13 16 8 8 
POR0019 1914 4639 474 76 102 63 41 16 24 22 29 33 8 23 12 7 7 6 4 0 1 
POR0020 1917 11476 780 174 129 89 127 20 37 22 49 33 21 17 1 6 5 3 7 26 14 
POR0021 1888 4239 422 100 51 43 53 19 20 26 29 11 18 19 1 10 6 5 9 2 0 
POR0022 1892 6305 546 90 70 64 57 66 20 21 17 36 20 19 10 4 14 8 13 16 1 
POR0023 1844 10016 591 108 60 125 37 32 46 28 38 27 33 6 20 2 5 21 0 0 3 
POR0024 1873 5148 519 93 65 57 45 24 25 27 41 11 39 19 21 21 9 10 6 2 4 
POR0025 1870 11296 1337 196 197 220 164 63 55 51 54 37 57 31 111 25 31 4 9 3 29 
POR0026 1883 20806 1967 296 221 311 193 115 99 102 123 118 49 78 41 42 82 23 48 24 2 
POR0027 1873 9497 987 117 152 199 127 47 82 13 31 67 38 18 41 22 20 5 1 2 5 
POR0028 1875 4457 381 36 63 50 31 11 19 25 16 6 21 17 49 4 12 5 3 11 2 
POR0029 1876 3882 296 39 60 32 44 12 22 4 13 13 12 6 11 12 4 5 3 0 4 
POR0030 1861 7167 536 90 89 109 27 34 18 3 30 29 15 20 38 5 7 9 1 6 6 
POR0031 1897 8461 504 105 72 98 42 24 43 5 16 14 30 11 8 5 18 3 4 5 1 
POR0032 1899 14686 1398 215 182 184 197 84 52 54 92 40 69 65 18 35 13 45 35 15 3 
POR0033 1904 24338 2866 379 481 523 358 131 177 43 81 159 100 113 129 64 83 8 13 17 7 
POR0034 1874 11060 1111 178 168 155 106 41 55 80 36 24 45 56 48 20 42 11 7 27 12 
POR0035 1900 8267 881 168 137 113 66 37 65 11 34 42 29 43 71 20 27 0 2 2 14 
POR0036 1881 9367 835 160 108 107 88 31 30 56 50 36 24 51 12 7 26 8 23 15 3 
POR0037 1905 38965 3531 521 690 690 481 268 121 173 81 96 158 57 44 44 30 46 7 13 11 
POR0038 1843 9942 783 123 118 114 70 66 61 35 32 48 37 19 33 7 5 8 0 2 5 
POR0039 1846 3322 388 69 34 72 39 19 30 9 14 21 12 11 23 24 1 7 0 3 0 
POR0040 1857 6705 537 150 62 65 82 39 22 30 21 10 9 20 5 8 2 4 0 5 3 
POR0041 1916 10958 831 93 114 104 108 24 32 41 52 52 15 63 48 24 20 23 8 8 2 
POR0042 1904 10162 613 123 94 78 63 43 25 17 18 64 30 16 18 6 5 8 3 2 0 
POR0043 1886 6416 551 119 70 53 76 11 16 40 38 23 25 33 9 6 6 8 6 10 2 
POR0044 1877 2564 288 31 60 41 20 9 5 17 15 18 9 16 13 8 6 3 12 2 3 
POR0045 1870 14326 1330 207 231 247 153 57 74 62 41 75 36 17 43 27 23 6 23 6 2 
POR0046 1875 10222 930 170 137 103 134 54 47 44 23 34 36 26 15 31 10 11 17 35 3 
POR0047 1863 9937 770 161 103 173 54 34 21 18 27 47 33 38 3 31 9 7 5 2 4 
POR0048 1864 2284 252 33 42 37 13 7 14 13 25 12 11 6 13 5 5 5 2 1 8 
POR0049 1891 12891 1525 294 308 209 121 78 56 38 28 154 80 69 17 12 19 14 6 19 3 
POR0050 1866 15131 1424 280 213 180 88 101 52 76 58 54 74 12 59 54 64 14 8 14 23 
POR0051 1917 12058 996 144 153 213 146 85 16 55 69 9 35 22 4 7 5 15 2 9 7 
POR0052 1903 8752 833 129 102 123 105 104 5 48 67 14 36 16 9 3 3 11 13 31 14 
POR0053 1891 16804 1197 253 157 152 183 57 32 87 47 39 33 36 29 11 5 13 24 21 18 
POR0054 1901 22097 1729 429 238 167 274 90 64 139 55 58 26 49 21 12 6 13 13 54 21 
POR0055 1873 11004 1047 168 165 180 104 75 46 42 42 54 28 42 34 16 13 15 3 4 16 
POR0056 1892 3972 370 45 48 49 60 13 15 22 15 8 20 18 34 9 2 2 5 1 4 
POR0057 1849 5737 676 122 50 166 47 29 33 29 56 22 13 5 62 13 11 8 1 2 7 
POR0058 1895 12924 1146 185 163 200 136 66 55 40 31 65 41 61 24 25 17 13 15 6 3 
POR0059 1875 8797 869 165 137 138 78 52 39 9 20 113 37 13 21 13 12 12 1 9 0 
POR0060 1881 4124 382 78 60 22 53 16 7 41 23 11 6 8 7 2 2 21 7 17 1 
POR0061 1871 9428 1088 164 182 172 105 55 89 17 88 61 31 50 31 18 11 4 4 1 5 
POR0062 1908 3333 333 62 60 38 40 12 7 14 32 12 7 23 3 2 7 0 8 3 3 
POR0063 1870 12947 1234 210 186 143 171 70 47 56 84 55 37 45 41 10 9 35 6 11 18 
POR0064 1873 8129 806 150 130 143 72 57 49 9 16 86 44 7 4 19 8 4 3 5 0 
POR0065 1914 9377 1002 208 111 117 124 35 45 50 51 33 30 56 29 35 24 9 25 17 3 
POR0066 1916 2420 174 39 31 11 22 10 2 23 4 1 3 11 0 0 1 6 4 4 2 
POR0067 1867 12822 1246 318 173 146 169 53 39 40 42 39 47 47 58 30 17 4 7 4 13 
