0textId year verbs innerVerbs vedea:perception ști:cognition putea:volition trebui:moral vrea:volition părea:perception uita:perception crede:cognition iubi:affect auzi:perception simți:physiology afla:cognition cunoaște:cognition gândi:cognition înțelege:cognition privi:perception voi:volition asculta:perception plânge:physiology plăcea:affect mulțumi:moral alege:moral suferi:physiology ferici:affect hotărî:moral 
ROM001 1894 1599 217 24 14 19 14 31 9 7 4 2 25 5 10 1 6 4 8 2 11 3 1 4 2 6 1 4 
ROM002 1894 5745 619 163 59 19 22 18 11 15 16 2 27 11 76 17 14 5 12 34 16 10 5 22 13 5 1 26 
ROM003 1870 4939 693 112 65 48 22 29 126 48 24 35 33 20 5 16 13 8 25 0 11 16 11 6 1 7 12 0 
ROM004 1908 19998 2686 364 222 333 281 193 145 148 87 29 154 62 61 93 44 124 26 35 56 20 32 44 51 28 12 42 
ROM005 1883 4904 903 169 76 62 45 58 33 45 20 99 77 9 16 19 29 11 5 31 33 36 4 8 3 7 7 1 
ROM006 1873 16579 2296 296 255 261 161 275 25 59 97 114 58 64 114 96 55 42 15 15 31 38 47 46 41 33 9 49 
ROM007 1892 5136 798 122 68 75 60 31 24 19 35 41 26 13 57 21 21 19 14 24 18 23 3 14 5 27 18 20 
ROM008 1892 4978 473 114 26 33 12 53 14 30 15 10 19 13 25 21 12 4 4 6 11 9 19 7 9 4 1 2 
ROM009 1906 4189 412 66 43 36 21 17 32 17 24 19 16 27 28 6 10 6 4 9 3 5 3 2 0 4 5 9 
ROM010 1894 10806 1996 331 169 87 58 112 169 148 76 72 79 151 24 48 98 55 84 7 49 34 21 11 25 27 36 25 
ROM011 1872 5199 945 210 72 68 34 12 60 57 47 73 57 38 59 25 3 11 3 13 12 32 7 9 7 20 16 0 
ROM012 1887 9349 1538 337 169 98 95 60 46 108 63 41 80 43 76 37 19 62 7 49 45 20 9 24 16 17 12 5 
ROM013 1865 9011 2125 220 223 124 93 118 81 92 145 404 27 54 37 58 41 48 40 27 53 85 36 27 8 30 45 9 
ROM014 1865 3042 461 64 57 36 35 24 17 19 24 17 16 5 9 11 14 16 11 8 9 3 9 21 6 4 17 9 
ROM015 1861 3748 598 102 53 36 49 16 13 34 35 59 20 10 22 21 11 18 8 22 11 5 9 2 6 14 14 8 
ROM016 1855 6309 1276 187 132 115 76 78 52 32 67 126 44 20 42 43 20 37 22 36 29 26 18 18 7 19 21 9 
ROM017 1862 12488 2226 252 162 294 119 70 90 70 165 249 67 50 82 71 48 62 33 70 35 38 60 34 22 56 21 6 
ROM018 1864 10597 1665 239 159 157 171 66 41 39 106 86 62 38 65 56 49 76 22 65 37 18 13 19 16 35 10 20 
ROM019 1920 6545 1078 138 102 133 66 57 53 30 55 25 29 40 25 43 46 33 57 22 18 9 19 10 11 20 13 24 
ROM020 1920 6972 991 135 105 81 55 63 79 25 38 19 36 38 26 52 48 25 42 11 17 8 11 15 28 15 6 13 
ROM021 1920 4128 716 86 60 89 28 38 29 25 42 21 21 42 26 23 39 23 24 11 14 21 7 11 7 11 3 15 
ROM022 1894 5075 755 134 100 86 53 61 30 29 22 14 50 10 22 15 19 15 10 16 18 9 6 5 12 13 2 4 
ROM023 1892 3984 514 75 40 36 36 60 30 29 18 16 34 16 14 9 14 8 25 3 10 3 12 3 4 5 3 11 
ROM024 1912 18085 2205 263 259 118 133 151 108 62 87 36 111 76 124 88 61 73 133 42 75 46 15 40 46 12 6 40 
ROM025 1862 26259 4636 765 468 242 407 108 157 157 289 156 138 76 296 219 136 152 114 154 127 45 63 165 27 67 41 67 
ROM026 1899 6328 944 186 82 53 71 72 32 51 19 60 50 15 39 12 37 19 18 25 21 39 8 12 4 2 10 7 
ROM027 1896 7087 998 225 64 91 17 84 45 35 64 14 49 22 106 32 0 39 11 13 12 10 7 8 20 17 5 8 
ROM028 1898 9872 1478 262 47 91 45 34 111 102 45 41 86 137 9 37 85 36 67 56 25 70 21 18 9 35 9 0 
ROM029 1881 7962 1031 79 125 155 95 113 50 56 35 14 14 19 21 18 23 32 21 43 17 9 15 15 24 10 7 21 
ROM030 1903 7028 1365 197 119 41 108 48 97 70 64 159 37 72 6 24 47 8 48 45 46 15 12 11 16 19 41 15 
ROM031 1861 16952 2495 348 172 147 224 130 54 73 165 245 39 82 154 126 51 28 23 90 36 37 39 54 5 28 138 7 
ROM032 1890 3722 598 92 63 35 44 69 26 25 25 19 21 6 10 30 25 16 16 6 11 2 10 12 5 8 10 12 
ROM033 1920 2227 290 55 36 18 25 11 9 12 21 1 23 6 32 8 2 6 6 10 3 1 0 0 4 1 0 0 
ROM034 1855 7024 1096 140 84 149 57 20 59 51 48 24 55 27 43 42 18 21 15 58 37 42 17 11 8 37 27 6 
ROM035 1908 5163 632 82 52 60 45 37 13 55 14 21 34 28 2 12 21 23 19 2 20 36 6 6 26 8 4 6 
ROM036 1902 7668 1531 178 104 71 70 43 139 119 110 194 40 87 2 16 44 13 44 67 37 40 10 8 8 33 43 11 
ROM037 1893 8760 1117 189 77 152 46 131 21 53 60 34 58 25 46 35 40 20 4 4 9 16 12 28 22 12 5 18 
ROM038 1902 7293 799 85 55 58 36 41 42 4 33 52 27 62 15 23 4 23 92 7 19 67 2 5 9 16 9 13 
ROM039 1882 4517 599 57 38 49 35 12 19 26 34 20 2 19 19 11 39 33 5 69 19 21 10 9 9 12 19 13 
ROM040 1912 11151 1956 286 333 125 79 187 50 92 67 76 130 36 26 80 42 42 19 23 62 52 40 18 30 23 27 11 
ROM041 1873 10254 1624 262 144 99 122 76 90 76 62 128 48 93 35 55 77 25 19 36 21 17 30 20 16 23 29 21 
ROM042 1906 8063 1129 227 106 45 45 133 88 148 25 8 43 41 17 35 30 31 8 0 28 27 11 7 11 2 7 6 
ROM043 1858 7762 1158 135 84 99 103 57 52 20 39 46 72 26 84 76 29 16 20 57 26 6 7 27 1 36 12 28 
ROM044 1873 9799 1170 186 2 87 47 66 49 81 51 74 70 24 53 53 18 45 33 60 45 32 28 3 24 13 20 6 
ROM045 1863 10741 1475 240 135 160 42 29 36 25 63 47 53 33 96 80 40 47 61 79 40 15 28 32 41 27 11 15 
ROM046 1855 1812 188 23 15 20 9 25 2 4 7 6 17 5 5 5 2 9 5 0 9 3 2 4 7 0 4 0 
ROM047 1903 17599 2038 239 136 118 100 148 182 97 73 51 143 113 134 83 44 54 59 28 43 48 11 23 25 52 14 20 
ROM048 1891 8732 768 139 85 50 33 84 18 77 26 3 30 30 6 14 19 25 16 14 38 11 2 11 8 5 4 20 
ROM049 1882 1648 223 62 28 6 11 16 6 25 5 0 17 6 0 5 7 2 2 0 9 8 4 1 3 0 0 0 
ROM050 1885 4570 471 64 30 29 25 48 14 46 19 12 18 18 4 10 10 18 6 8 43 8 4 13 9 6 3 6 
ROM051 1883 6056 798 141 27 99 36 63 44 39 20 78 37 23 7 16 19 30 22 8 22 28 7 10 6 6 10 0 
ROM052 1907 5246 837 113 71 60 20 69 75 106 16 2 36 32 9 12 54 39 20 7 26 16 6 11 14 7 12 4 
ROM053 1902 7208 1278 126 105 91 82 105 111 139 46 54 51 74 14 23 52 43 41 14 22 16 18 16 2 7 10 16 
ROM054 1904 11702 949 207 61 51 32 19 107 52 15 7 103 21 18 12 11 8 69 19 32 32 2 21 10 1 19 20 
ROM055 1906 8069 951 160 51 51 41 33 107 49 21 20 90 44 26 23 22 15 51 14 31 49 1 13 4 1 15 19 
ROM056 1904 34177 4831 921 440 413 350 156 158 168 193 121 275 132 339 192 88 92 112 71 92 20 37 83 124 41 43 170 
ROM057 1912 10947 1291 288 139 108 47 30 41 73 45 28 94 24 78 45 11 26 25 19 23 5 21 23 31 14 6 47 
ROM058 1889 5759 962 98 114 68 42 10 44 35 66 70 38 36 36 41 13 31 17 88 24 19 10 25 6 17 11 3 
ROM059 1907 18642 3071 548 386 201 213 232 142 165 172 84 118 95 32 72 102 33 43 44 66 37 56 37 60 55 61 17 
ROM060 1903 23190 3806 595 271 319 291 322 245 183 270 127 103 177 44 41 113 91 75 62 74 74 84 40 41 68 66 30 
ROM061 1906 19231 3229 538 337 171 226 230 210 184 152 89 108 181 76 76 137 48 98 54 65 37 39 31 48 41 24 29 
ROM062 1887 8705 898 62 15 87 154 41 75 88 46 26 84 21 13 14 2 1 33 50 26 2 4 3 22 23 5 1 
ROM063 1898 10926 1204 163 25 170 168 123 29 70 55 33 115 20 41 29 8 4 28 25 44 3 7 5 27 2 5 5 
ROM064 1909 1876 259 37 25 21 19 11 5 2 7 12 4 11 29 15 11 3 5 3 0 9 0 0 15 6 1 8 
ROM065 1920 4456 704 57 59 33 28 26 58 28 42 52 13 45 8 49 17 35 43 26 18 12 18 9 6 4 11 7 
