textId year verbs innerVerbs волети заборавити знати надати осетити помислити разумети сумњати
SRP18520 1893 6809 248  3 20 173 13 3 18 13 5

SRP18590 1859 15519 353  21 19 272 14 4 15 2 6

SRP18620 1862 3639 149  11 7 121 3 0 0 7 0

SRP18630 1863 15118 541  68 23 400 22 2 9 13 4

SRP18631 1863 11105 414  7 58 237 17 18 52 22 3

SRP18680 1868 3257 142  1 5 95 1 10 22 7 1

SRP18690 1869 5218 157  2 13 111 6 10 12 2 1

SRP18691 1869 4735 124  16 7 87 3 1 8 2 0

SRP18730 1874 10253 179  0 11 137 7 0 22 0 2

SRP18740 1874 2360 82  5 4 59 2 3 3 5 1

SRP18741 1875 1801 42  1 9 24 0 4 2 2 0

SRP18750 1875 8003 204  20 26 144 0 3 4 3 4

SRP18751 1875 2005 46  0 2 40 1 0 2 1 0

SRP18752 1875 4654 172  6 6 119 17 3 12 6 3

SRP18760 1876 4603 182  10 14 135 8 3 3 9 0

SRP18780 1878 9110 362  6 17 245 13 5 8 68 0

SRP18790 1879 2798 41  0 3 29 4 1 2 1 1

SRP18791 1879 4632 85  4 5 54 8 5 3 6 0

SRP18792 1879 2140 52  0 6 36 6 0 2 0 2

SRP18793 1879 1706 44  2 1 30 2 3 1 0 5

SRP18800 1880 7171 267  11 16 158 16 8 12 43 3

SRP18840 1884 2986 128  10 10 71 8 4 5 18 2

SRP18860 1886 5166 106  1 9 77 13 0 4 0 2

SRP18870 1887 3195 136  20 19 64 4 5 1 19 4

SRP18871 1887 9601 351  10 14 256 4 17 14 29 7

SRP18880 1888 6939 242  3 11 180 4 9 19 16 0

SRP18881 1888 5292 219  2 9 167 3 19 7 11 1

SRP18882 1888 9185 310  17 13 235 9 12 15 9 0

SRP18883 1888 19388 661  44 30 512 23 4 11 35 2

SRP18890 1889 8288 375  44 24 216 16 1 18 47 9

SRP18891 1889 6571 218  6 4 170 6 8 4 18 2

SRP18892 1889 21760 590  32 24 399 16 50 23 38 8

SRP18910 1891 3562 59  1 5 46 1 2 3 1 0

SRP18911 1891 4889 105  3 10 65 9 4 1 13 0

SRP18921 1892 1889 40  0 6 24 0 1 2 7 0

SRP18922 1892 9667 196  0 6 164 10 0 14 0 2

SRP18923 1892 18607 393  5 15 278 26 29 13 17 10

SRP18930 1893 5673 165  2 11 107 16 8 3 14 4

SRP18932 1893 7712 141  4 8 95 2 8 16 7 1

SRP18933 1892 12237 258  7 4 202 10 11 9 11 4

SRP18934 1893 5962 199  3 13 140 5 18 8 10 2

SRP18935 1893 4726 93  8 2 65 2 1 11 2 2

SRP18940 1894 6969 280  21 11 206 5 18 10 7 2

SRP18941 1894 14989 580  41 39 439 13 11 21 15 1

SRP18942 1894 7075 163  12 11 109 2 8 6 11 4

SRP18950 1895 7165 217  3 11 184 2 3 1 13 0

SRP18951 1895 11014 253  9 15 139 6 30 22 29 3

SRP18961 1896 3484 117  10 9 85 1 5 5 2 0

SRP18963 1896 18328 596  44 20 421 18 51 27 11 4

SRP18964 1896 8003 247  6 9 183 18 19 3 7 2

SRP18965 1896 10500 132  2 7 86 11 8 1 13 4

SRP18966 1896 12622 340  24 24 197 9 42 11 32 1

SRP18970 1897 10782 422  30 12 271 32 10 14 43 10

SRP18971 1897 12070 471  8 17 333 15 28 50 15 5

SRP18980 1898 2489 121  1 2 90 2 8 5 13 0

SRP18990 1899 6968 159  6 10 113 4 8 8 10 0

SRP18991 1899 1914 53  2 2 41 1 7 0 0 0

SRP18992 1899 5155 98  9 3 70 5 4 3 0 4

SRP18993 1899 10978 419  6 20 296 4 39 22 32 0

SRP19000 1900 9617 338  8 15 223 5 31 30 22 4

SRP19001 1900 12611 402  12 18 279 10 24 8 46 5

SRP19002 1900 3175 131  28 8 82 2 1 1 7 2

SRP19010 1901 6313 241  8 18 124 7 38 27 19 0

SRP19011 1901 3021 82  0 8 58 12 0 4 0 0

SRP19012 1901 2856 62  1 1 55 1 1 3 0 0

SRP19021 1902 10144 358  8 23 221 9 27 4 62 4

SRP19023 1902 4579 224  30 9 132 4 2 24 16 7

SRP19024 1902 9073 197  8 11 120 20 14 14 3 7

SRP19025 1902 3070 113  0 6 52 2 4 7 42 0

SRP19030 1903 7123 211  9 10 175 3 1 6 7 0

SRP19031 1903 9973 191  14 10 120 11 15 9 7 5

SRP19040 1904 9388 222  6 4 134 8 28 21 8 13

SRP19041 1904 10263 217  0 12 164 19 0 20 0 2

SRP19051 1905 4730 108  0 7 94 4 0 3 0 0

SRP19060 1906 13646 325  36 24 220 4 15 6 18 2

SRP19061 1906 9813 281  8 13 166 19 23 26 21 5

SRP19062 1906 5330 105  6 2 68 5 12 3 9 0

SRP19063 1906 7857 164  0 8 146 10 0 0 0 0

SRP19070 1907 3914 101  9 10 67 1 8 3 3 0

SRP19071 1907 8195 237  13 16 173 8 5 12 6 4

SRP19080 1908 10089 197  1 12 140 14 0 21 2 7

SRP19090 1909 7979 187  0 16 119 9 0 40 0 3

SRP19091 1909 5925 150  0 7 115 4 5 2 16 1

SRP19100 1910 12591 431  59 34 189 26 56 16 49 2

SRP19101 1910 10551 455  15 20 331 18 63 4 4 0

SRP19102 1910 18168 414  55 18 264 8 18 24 26 1

SRP19120 1912 15153 544  71 31 295 7 62 55 21 2

SRP19121 1912 3540 56  0 15 34 2 0 2 0 3

SRP19130 1913 8753 272  12 13 195 8 2 17 20 5

