decada	physiology	affect	ability	moral	cognition	perception	all	verbs
1840	217	1041	2364	664	1594	2284	8164	81327
1850	659	3750	9442	2655	6617	7448	30571	246880
1860	1074	5254	12176	3085	9120	12840	43549	388652
1870	1310	6730	13547	3470	9997	13542	48596	447016
1880	904	1891	4698	976	3383	5281	17133	178291
1890	609	1923	4155	1124	3330	4734	15875	162541
1900	1786	6731	15647	3902	11985	16352	56403	561020
1910	402	1879	3444	875	2809	3604	13013	125683
1920	146	831	1315	359	1078	1552	5281	52481
1930	148	375	718	121	483	852	2697	25818
1940	170	310	1040	198	898	1436	4052	32145
