0textId year verbs innerVerbs bemerken blicken brauchen denken erkennen fühlen hören lieben meinen mögen müssen sehen sollen vergessen vermögen verstehen wissen wollen 
DEU001.xml 1845 115128 14532 237 99 153 378 312 354 666 474 621 897 2202 1713 1815 303 144 282 1380 2502 
DEU002.xml 1853 8187 1126 5 3 26 38 16 20 64 7 32 38 217 143 109 18 6 18 105 261 
DEU003.xml 1859 11103 1684 22 13 15 71 20 49 56 6 68 154 209 266 171 19 3 34 178 330 
DEU004.xml 1859 6933 961 4 12 9 51 38 29 51 14 43 60 125 139 67 25 12 12 119 151 
DEU005.xml 1855 52782 8032 178 98 168 270 90 76 248 42 396 430 1338 950 966 74 44 116 774 1774 
DEU006.xml 1847 6526 949 30 16 8 58 8 15 23 38 37 31 131 121 123 17 3 32 106 152 
DEU007.xml 1841 9715 1313 15 13 15 61 29 1 51 64 95 81 177 279 112 14 16 7 112 171 
DEU008.xml 1843 3797 566 8 5 10 27 9 7 23 16 26 22 106 65 48 2 1 15 57 119 
DEU009.xml 1859 12018 1861 17 15 22 71 35 57 48 13 74 159 210 300 214 28 8 32 215 343 
DEU010.xml 1848 7003 859 34 16 6 41 14 62 20 33 25 40 92 98 73 12 5 45 86 157 
DEU011.xml 1855 40000 5054 59 47 80 237 85 185 252 37 139 119 638 1109 538 53 53 114 492 817 
DEU012.xml 1847 3061 442 7 5 5 8 7 14 18 32 12 20 73 78 34 6 5 13 24 81 
DEU013.xml 1856 9584 1441 4 1 38 69 11 19 70 9 54 50 230 166 117 25 0 24 190 364 
DEU014.xml 1840 14263 1996 27 13 16 61 29 65 50 60 102 133 294 329 218 53 17 35 179 315 
DEU015.xml 1840 21514 3807 6 0 34 267 40 177 109 84 218 228 528 402 397 45 24 88 335 825 
DEU016.xml 1846 21701 3020 58 21 45 97 53 40 163 43 99 190 450 451 332 33 15 41 277 612 
DEU017.xml 1843 4676 647 4 20 5 32 10 6 22 38 25 26 102 160 42 9 8 5 64 69 
DEU018.xml 1845 24488 3262 60 50 10 146 52 138 98 176 130 168 414 598 228 112 164 80 268 370 
DEU019.xml 1846 6940 936 9 7 14 46 33 10 35 23 76 55 140 231 60 15 8 8 83 83 
DEU020.xml 1846 15183 2186 24 12 34 82 38 110 66 176 165 140 294 251 195 55 11 75 208 250 
DEU021.xml 1843 14191 2157 44 17 27 102 22 138 63 161 77 125 247 302 215 32 97 29 172 287 
DEU022.xml 1844 13013 2212 7 8 20 98 16 83 66 171 116 142 280 226 273 42 16 68 163 417 
DEU023.xml 1841 4924 744 5 7 3 32 7 13 18 62 44 41 109 159 54 7 9 9 68 97 
DEU024.xml 1861 192823 24999 341 364 233 694 468 534 1868 697 487 1233 4062 4117 2607 289 77 562 2292 4074 
DEU025.xml 1855 42108 4982 68 146 96 260 116 166 294 92 184 300 574 948 500 58 60 88 404 628 
DEU026.xml 1879 10505 1587 18 7 24 62 41 37 55 26 88 83 314 224 171 30 18 56 128 205 
DEU027.xml 1876 9462 1036 14 26 18 89 6 29 44 38 68 45 98 158 83 7 26 36 99 152 
DEU028.xml 1871 11426 1451 25 22 34 49 19 59 60 56 92 103 141 267 157 27 15 41 161 123 
DEU029.xml 1879 18214 2686 18 20 64 128 18 40 98 138 248 130 276 390 244 26 22 30 428 368 
DEU030.xml 1864 106872 13359 138 231 102 648 276 537 639 315 570 591 1218 2925 1287 225 258 291 1386 1722 
DEU031.xml 1870 13672 1862 11 43 38 43 13 47 48 68 76 111 221 298 186 36 9 56 307 251 
DEU032.xml 1874 17948 1542 36 66 4 38 38 26 60 22 118 74 184 220 118 30 8 20 184 296 
DEU033.xml 1855 4033 533 8 12 7 13 5 34 29 43 25 31 54 72 57 8 10 14 57 54 
DEU034.xml 1879 11264 1514 46 11 18 70 36 26 70 27 72 70 214 264 161 27 18 26 175 183 
DEU035.xml 1878 56955 7546 168 46 66 216 168 182 406 290 190 414 970 1442 662 150 8 144 858 1166 
DEU036.xml 1880 69484 8324 149 72 115 335 127 285 289 143 580 451 1054 1785 642 164 95 196 718 1124 
DEU037.xml 1872 17720 2657 21 4 30 89 14 57 120 61 264 147 346 587 180 56 21 50 267 343 
DEU038.xml 1864 17225 2006 8 36 29 87 34 77 54 58 64 103 302 369 168 50 19 26 204 318 
DEU039.xml 1861 25504 3990 71 46 38 176 41 117 158 274 147 178 489 611 344 82 37 62 424 695 
DEU040.xml 1867 13752 1940 55 25 15 81 31 62 76 53 115 129 260 318 184 39 20 30 164 283 
DEU041.xml 1868 12034 1620 9 26 16 68 12 37 60 55 90 73 230 302 175 29 32 20 151 235 
DEU042.xml 1865 51800 6482 220 132 112 228 140 238 176 306 882 388 722 580 478 120 302 170 480 808 
DEU043.xml 1869 61994 10636 109 277 229 302 99 200 386 328 765 622 1512 1499 1035 93 54 185 1356 1585 
DEU044.xml 1876 24251 2994 27 50 41 123 70 56 111 100 171 101 347 547 426 56 21 23 225 499 
