textId year verbs innerVerbs wollen müssen wissen mögen meinen denken glauben lieben fühlen verstehen
DEU001.xml 1845 115128 9699  2502 2202 1380 897 621 378 609 474 354 282

DEU002.xml 1853 8187 768  261 217 105 38 32 38 32 7 20 18

DEU003 1859 11103 1149  330 209 178 154 68 71 50 6 49 34

DEU004.xml 1859 6933 641  151 125 119 60 43 51 37 14 29 12

DEU005.xml 1855 52782 5538  1774 1338 774 430 396 270 322 42 76 116

DEU006.xml 1847 6526 631  152 131 106 31 37 58 31 38 15 32

DEU007.xml 1841 9715 789  171 177 112 81 95 61 20 64 1 7

DEU008.xml 1843 3797 410  119 106 57 22 26 27 15 16 7 15

DEU009.xml 1859 12018 1254  343 210 215 159 74 71 80 13 57 32

DEU010.xml 1848 7003 651  157 92 86 40 25 41 70 33 62 45

DEU011.xml 1855 40000 2882  817 638 492 119 139 237 104 37 185 114

DEU012.xml 1847 3061 291  81 73 24 20 12 8 14 32 14 13

DEU013.xml 1856 9584 1053  364 230 190 50 54 69 44 9 19 24

DEU014.xml 1840 14263 1326  315 294 179 133 102 61 82 60 65 35

DEU015.xml 1840 21514 2894  825 528 335 228 218 267 144 84 177 88

DEU016.xml 1846 21701 2043  612 450 277 190 99 97 194 43 40 41

DEU017.xml 1843 4676 379  69 102 64 26 25 32 12 38 6 5

DEU018.xml 1845 24488 2058  370 414 268 168 130 146 168 176 138 80

DEU019.xml 1846 6940 547  83 140 83 55 76 46 23 23 10 8

DEU020.xml 1846 15183 1615  250 294 208 140 165 82 115 176 110 75

DEU021.xml 1843 14191 1474  287 247 172 125 77 102 136 161 138 29

DEU022.xml 1844 13013 1633  417 280 163 142 116 98 95 171 83 68

DEU023.xml 1841 4924 496  97 109 68 41 44 32 21 62 13 9

DEU024.xml 1861 192823 15706  4074 4062 2292 1233 487 694 1071 697 534 562

DEU025.xml 1855 42108 2940  628 574 404 300 184 260 244 92 166 88

DEU026.xml 1879 10505 1049  205 314 128 83 88 62 50 26 37 56

DEU027.xml 1876 9462 686  152 98 99 45 68 89 32 38 29 36

DEU028.xml 1871 11426 865  123 141 161 103 92 49 40 56 59 41

DEU029.xml 1879 18214 1862  368 276 428 130 248 128 76 138 40 30

DEU030.xml 1864 106872 7524  1722 1218 1386 591 570 648 246 315 537 291

DEU031.xml 1870 13672 1230  251 221 307 111 76 43 50 68 47 56

DEU032.xml 1874 17948 1060  296 184 184 74 118 38 98 22 26 20

DEU033.xml 1855 4033 338  54 54 57 31 25 13 13 43 34 14

