textId year verbs innerVerbs denken erkennen fühlen glauben lieben meinen müssen verstehen wissen wollen 
DEU001.xml 1845 115128 9114  378 312 354 609 474 621 2202 282 1380 2502

DEU002.xml 1863 8187 746  38 16 20 32 7 32 217 18 105 261

DEU003 1859 11103 1015  71 20 49 50 6 68 209 34 178 330

DEU005.xml 1855 52782 5198  270 90 76 322 42 396 1338 116 774 1774

DEU007.xml 1841 9715 737  61 29 1 20 64 95 177 7 112 171

DEU008.xml 1863 3797 397  27 9 7 15 16 26 106 15 57 119

DEU009.xml 1859 12018 1130  71 35 57 80 13 74 210 32 215 343

DEU010.xml 1848 7003 625  41 14 62 70 33 25 92 45 86 157

DEU012.xml 1847 3061 278  8 7 14 14 32 12 73 13 24 81

DEU013.xml 1856 9584 1014  69 11 19 44 9 54 230 24 190 364

DEU014.xml 1840 14263 1222  61 29 65 82 60 102 294 35 179 315

DEU015.xml 1840 21514 2706  267 40 177 144 84 218 528 88 335 825

DEU016.xml 1846 21701 1906  97 53 40 194 43 99 450 41 277 612

DEU017.xml 1843 4676 363  32 10 6 12 38 25 102 5 64 69

DEU018.xml 1845 24488 1942  146 52 138 168 176 130 414 80 268 370

DEU019.xml 1846 6940 525  46 33 10 23 23 76 140 8 83 83

DEU020.xml 1846 15183 1513  82 38 110 115 176 165 294 75 208 250

DEU021.xml 1843 14191 1371  102 22 138 136 161 77 247 29 172 287

DEU022.xml 1844 13013 1507  98 16 83 95 171 116 280 68 163 417

DEU023.xml 1841 4924 462  32 7 13 21 62 44 109 9 68 97

DEU024.xml 1858 192823 14941  694 468 534 1071 697 487 4062 562 2292 4074

DEU025.xml 1855 42108 2756  260 116 166 244 92 184 574 88 404 628

DEU026.xml 1879 10505 1007  62 41 37 50 26 88 314 56 128 205

DEU027.xml 1876 9462 647  89 6 29 32 38 68 98 36 99 152

DEU028.xml 1918 11426 781  49 19 59 40 56 92 141 41 161 123

DEU030.xml 1864 106872 7209  648 276 537 246 315 570 1218 291 1386 1722

DEU032.xml 1874 17948 1024  38 38 26 98 22 118 184 20 184 296

DEU033.xml 1855 4033 312  13 5 34 13 43 25 54 14 57 54

DEU034.xml 1879 11264 877  70 36 26 48 27 72 214 26 175 183

DEU036.xml 1879 69484 4909  335 127 285 347 143 580 1054 196 718 1124

DEU037.xml 1871 17720 1540  89 14 57 49 61 264 346 50 267 343

DEU039.xml 1861 25504 2653  176 41 117 228 274 147 489 62 424 695

DEU040.xml 1866 13752 1125  81 31 62 46 53 115 260 30 164 283

DEU041.xml 1868 12034 931  68 12 37 33 55 90 230 20 151 235

DEU042.xml 1865 51800 4322  228 140 238 348 306 882 722 170 480 808

DEU043.xml 1869 61994 6866  302 99 200 534 328 765 1512 185 1356 1585

DEU044.xml 1876 24251 1733  123 70 56 119 100 171 347 23 225 499

DEU045.xml 1855 12444 620  21 33 0 20 20 52 174 9 104 187

DEU046.xml 1879 4523 471  32 24 9 28 17 17 80 6 101 157

DEU047.xml 1862 5804 354  23 6 30 27 22 29 69 10 64 74

DEU048.xml 1872 271205 18053  2081 1393 730 308 649 2028 2252 571 3017 5024

DEU050.xml 1867 13657 1083  65 14 56 96 34 112 184 23 249 250

DEU052.xml 1880 7798 769  56 7 6 18 33 34 236 28 112 239

