0textId year verbs innerVerbs believe feel hear know like mean see seem think want 
ENG18400 1840 37878 2705 117 265 268 593 121 74 443 245 487 92 
ENG18410 1841 31727 1978 123 241 191 263 49 48 312 441 295 15 
ENG18411 1844 5536 326 12 19 53 75 4 7 81 30 43 2 
ENG18440 1844 26732 1319 76 132 112 170 58 36 255 203 226 51 
ENG18450 1845 28087 1506 98 75 130 256 79 56 284 138 292 98 
ENG18460 1846 151331 6778 361 569 608 1559 155 299 1357 641 1025 204 
ENG18470 1847 31598 2274 155 345 123 457 72 40 238 316 506 22 
ENG18471 1847 24588 1238 46 103 151 175 59 38 292 91 224 59 
ENG18480 1848 49488 2650 82 126 222 557 137 62 696 104 563 101 
ENG18481 1848 63516 3843 199 256 278 936 88 140 833 316 689 108 
ENG18482 1848 31344 2612 99 192 230 528 77 67 590 202 542 85 
ENG18490 1849 6799 384 27 57 26 59 2 11 77 64 61 0 
ENG18500 1850 8202 396 16 18 53 61 10 14 115 48 49 12 
ENG18510 1851 15563 1276 86 86 106 255 24 58 288 118 199 56 
ENG18530 1853 66027 4716 163 242 365 1212 141 227 977 335 869 185 
ENG18531 1853 48542 3857 188 206 344 691 185 150 805 241 927 120 
ENG18540 1854 18889 1348 71 40 138 378 30 61 294 86 186 64 
ENG18551 1855 13090 785 28 77 61 190 25 30 144 25 182 23 
ENG18552 1856 9416 739 6 94 48 170 24 20 153 54 137 33 
ENG18560 1856 62131 5150 240 268 385 983 244 217 968 374 1290 181 
ENG18570 1857 15611 998 31 98 77 177 61 25 220 90 206 13 
ENG18600 1860 11761 848 48 67 60 191 40 44 147 52 162 37 
ENG18610 1861 13675 944 30 102 56 208 56 33 187 67 155 50 
ENG18621 1862 26377 1812 114 78 135 376 60 57 360 139 400 93 
ENG18630 1862 20050 1419 51 147 78 261 72 72 252 162 275 49 
ENG18632 1863 48344 2677 88 170 217 527 63 109 757 249 419 78 
ENG18640 1864 34270 2691 154 165 178 690 64 152 624 209 370 85 
ENG18641 1864 7688 502 17 65 68 105 14 10 121 30 49 23 
ENG18650 1865 64905 5154 263 326 257 1320 230 278 757 204 1279 240 
ENG18651 1865 35562 2913 163 209 202 594 111 114 577 162 686 95 
ENG18652 1865 5330 491 9 31 44 95 27 18 95 40 121 11 
ENG18660 1866 34092 2475 109 249 158 446 120 91 509 298 390 105 
ENG18661 1866 39255 3168 69 330 191 896 127 183 519 100 645 108 
ENG18670 1867 40417 2513 85 210 237 676 62 55 530 141 457 60 
ENG18700 1870 13499 1041 55 125 68 206 34 27 155 90 223 58 
ENG18702 1871 4999 224 12 8 18 43 11 14 53 16 46 3 
ENG18720 1872 6562 446 45 27 32 82 13 27 85 40 66 29 
ENG18721 1872 60965 4839 206 510 242 924 332 266 807 480 878 194 
ENG18740 1874 9425 880 26 54 49 206 25 29 212 53 165 61 
ENG18741 1874 43389 2296 112 247 233 441 47 88 435 266 361 66 
ENG18742 1874 7948 547 8 40 37 130 20 30 100 22 130 30 
ENG18760 1876 16737 1045 53 106 115 157 19 40 345 47 135 28 
ENG18770 1877 13338 1193 42 79 65 211 30 71 206 120 312 57 
ENG18800 1880 30721 2027 129 146 98 338 146 58 293 283 429 107 
ENG18820 1882 18469 1521 52 109 110 333 56 89 345 99 224 104 
ENG18830 1883 26426 1368 40 55 141 246 52 73 272 158 284 47 
ENG18831 1883 30995 1805 62 103 168 430 9 51 425 219 303 35 
ENG18840 1884 27602 2650 138 430 88 435 75 103 423 312 526 120 
ENG18850 1885 7008 437 41 29 43 102 9 15 80 38 78 2 
ENG18860 1886 21715 1342 34 79 140 230 56 47 360 151 187 58 
ENG18870 1887 43009 2840 118 179 202 618 83 114 597 394 445 90 
ENG18871 1887 24931 1496 58 91 110 294 75 103 273 114 324 54 
ENG18872 1887 2587 213 16 16 25 53 5 6 28 17 46 1 
ENG18880 1888 47852 3137 122 354 164 586 100 122 647 474 455 113 
ENG18890 1889 19092 1706 71 143 110 365 59 85 286 219 309 59 
ENG18900 1890 7805 507 12 22 54 105 14 5 144 37 97 17 
ENG18901 1890 27698 1923 62 118 142 343 65 120 449 203 376 45 
ENG18910 1891 4478 310 6 19 21 66 21 6 64 60 43 4 
ENG18911 1891 36985 2932 87 210 200 616 119 144 519 290 674 73 
ENG18920 1892 8605 617 14 68 42 96 35 31 102 64 146 19 
ENG18930 1893 18314 1807 61 212 66 374 119 71 322 105 384 93 
