0textId year verbs innerVerbs accepter aimer apercevoir attendre compter connaître craindre croire devoir engager entendre espérer essayer falloir manquer oser refuser regarder savoir sentir souffrir trouver valoir voir vouloir 
FRA00101 1860 3889 456 2 17 3 11 8 9 3 28 27 5 22 1 2 57 9 7 2 18 52 7 1 47 6 83 29 
FRA00102 1883 5499 665 4 112 4 19 3 21 10 38 38 1 16 4 17 30 5 8 4 17 55 54 23 30 8 77 67 
FRA00201 1910 7577 862 0 26 24 30 12 20 6 41 27 2 75 8 14 33 12 16 6 96 63 34 5 93 0 128 91 
FRA00301 1858 16808 1348 19 35 46 79 29 52 25 69 102 7 62 27 8 51 20 14 9 46 153 30 20 122 10 143 170 
FRA00302 1894 25832 2436 34 101 53 160 43 120 38 134 160 22 105 44 40 106 37 24 30 79 262 69 24 212 36 269 234 
FRA00401 1902 5818 529 3 15 13 13 12 44 4 43 40 9 28 0 4 25 8 10 2 7 69 8 0 47 4 76 45 
FRA00501 1853 7013 858 7 72 20 26 17 27 4 37 62 4 31 9 3 25 12 4 7 35 107 22 11 67 9 121 119 
FRA00502 1851 18918 2116 26 94 33 45 37 115 10 100 167 12 87 14 22 108 22 9 20 95 194 49 15 199 50 336 257 
FRA00503 1854 15418 1545 6 49 49 49 26 47 13 58 187 4 68 15 16 40 29 18 17 84 146 27 16 155 13 257 156 
FRA00601 1881 19582 2144 19 72 46 87 36 145 25 140 135 6 80 46 18 128 51 30 24 61 303 16 8 109 23 304 232 
FRA00602 1886 21013 2279 22 55 53 124 65 117 32 152 144 45 113 61 36 109 50 28 30 57 245 35 19 181 49 242 215 
FRA00701 1852 10877 1386 6 79 8 16 25 19 13 55 30 4 54 5 4 154 35 13 16 31 120 21 26 114 22 238 278 
FRA00801 1843 8715 1115 8 88 37 46 7 29 30 68 60 17 48 18 15 72 13 24 29 46 92 15 17 75 2 134 125 
FRA00901 1868 14870 1812 11 90 43 57 16 51 5 104 62 11 131 8 24 115 21 28 9 130 170 68 15 112 13 303 215 
FRA01002 1919 6261 632 2 36 15 20 4 19 0 22 32 0 26 3 16 41 2 10 0 57 88 47 6 32 3 96 55 
FRA01101 1890 9315 1112 9 105 20 26 9 33 10 78 63 1 44 9 8 59 14 14 10 49 141 44 29 67 5 145 120 
FRA01102 1889 4568 450 1 37 10 14 7 13 3 24 30 0 15 3 3 35 6 8 1 24 40 15 18 40 1 59 43 
