filename	xmlid	author-name	title	author-gender	au-birth	au-death	au-ids	digitalSource	pub-year-ref	firsted-yr	title-ids	language	numwords	subgenre	narr-per	sizeCat	reprintCount	time-slot
FRA40479	FRA40479	, 		U	NA	NA	viaf:79158042	NA	1872	1872	NA	fra	45825	NA	NA	short	unspecified	T2
FRA40485	FRA40485	, 		U	NA	NA	viaf:79158042	NA	1872	1872	NA	fra	45557	NA	NA	short	unspecified	T2
FRA40478	FRA40478	, 		U	NA	NA	viaf:79158042	NA	1874	1874	NA	fra	43877	NA	NA	short	unspecified	T2
FRA40484	FRA40484	, 		U	NA	NA	viaf:79158042	NA	1874	1874	NA	fra	51701	NA	NA	medium	unspecified	T2
FRA40017	FRA40017	, 	Jack    	U	NA	NA	viaf:author	NA	1875	1875	NA	fra	171531	NA	NA	long	unspecified	T2
FRA40318	FRA40318	, 		U	NA	NA	viaf:61641578	NA	1878	1878	NA	fra	31128	NA	NA	short	unspecified	T2
FRA40482	FRA40482	, 		U	NA	NA	viaf:79158042	NA	1878	1878	NA	fra	45634	NA	NA	short	unspecified	T2
FRA40315	FRA40315	, 		U	NA	NA	viaf:61641578	NA	1879	1879	NA	fra	35542	NA	NA	short	unspecified	T2
FRA40316	FRA40316	, 		U	NA	NA	viaf:61641578	NA	1879	1879	NA	fra	35743	NA	NA	short	unspecified	T2
FRA40317	FRA40317	, 		U	NA	NA	viaf:61641578	NA	1879	1879	NA	fra	35646	NA	NA	short	unspecified	T2
FRA40320	FRA40320	, 		U	NA	NA	viaf:61641578	NA	1879	1879	NA	fra	37562	NA	NA	short	unspecified	T2
FRA40477	FRA40477	, 		U	NA	NA	viaf:79158042	NA	1881	1881	NA	fra	38731	NA	NA	short	unspecified	T3
FRA40481	FRA40481	, 		U	NA	NA	viaf:79158042	NA	1881	1881	NA	fra	49413	NA	NA	short	unspecified	T3
FRA40480	FRA40480	, 		U	NA	NA	viaf:79158042	NA	1884	1884	NA	fra	48728	NA	NA	short	unspecified	T3
FRA40475	FRA40475	, 		U	NA	NA	viaf:79158042	NA	1888	1888	NA	fra	45376	NA	NA	short	unspecified	T3
FRA40424	FRA40424	, 		U	NA	NA	NA	NA	1889	1889	NA	fra	233213	NA	NA	long	unspecified	T3
FRA41003	FRA41003	, 	Double-blanc    	U	NA	NA	viaf:19720225	NA	1889	1889	NA	fra	118075	NA	NA	long	unspecified	T3
FRA40483	FRA40483	, 		U	NA	NA	viaf:79158042	NA	1892	1892	NA	fra	51075	NA	NA	medium	unspecified	T3
FRA40730	FRA40730	About, Edmond	L'homme à l'oreille cassée    	M	NA	NA	viaf:34452092	NA	1862	1862	NA	fra	56083	NA	NA	medium	unspecified	T2
FRA40302	FRA40302	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1858	1858	NA	fra	84338	NA	NA	medium	unspecified	T1
FRA40312	FRA40312	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1858	1858	NA	fra	89310	NA	NA	medium	unspecified	T1
FRA40314	FRA40314	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1858	1858	NA	fra	105642	NA	NA	long	unspecified	T1
FRA40313	FRA40313	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1859	1859	NA	fra	108859	NA	NA	long	unspecified	T1
FRA40307	FRA40307	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1861	1861	NA	fra	82543	NA	NA	medium	unspecified	T2
FRA40306	FRA40306	Aimard, Gustave	Les Bohèmes de la mer    	M	NA	NA	viaf:9841962	NA	1865	1865	NA	fra	55472	NA	NA	medium	unspecified	T2
FRA40305	FRA40305	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1868	1868	NA	fra	56917	NA	NA	medium	unspecified	T2
FRA40300	FRA40300	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1869	1869	NA	fra	72186	NA	NA	medium	unspecified	T2
FRA40311	FRA40311	Aimard, Gustave	Belle rivière    	M	NA	NA	viaf:9841962	NA	1874	1874	NA	fra	129087	NA	NA	long	unspecified	T2
FRA40303	FRA40303	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1877	1877	NA	fra	101314	NA	NA	long	unspecified	T2
FRA40304	FRA40304	Aimard, Gustave		M	NA	NA	viaf:9841962	NA	1877	1877	NA	fra	98114	NA	NA	medium	unspecified	T2
FRA40308	FRA40308	Aimard, Gustave	Le Chasseur de rats    	M	NA	NA	viaf:9841962	NA	1877	1877	NA	fra	157443	NA	NA	long	unspecified	T2
FRA00303_Aimard	FRA00303	Aimard, Gustave	Les Bandits de l'Arizona    	M	1818	1883	viaf:9841962	NA	1881	1881	viaf:307977755	fra	72134	NA	NA	medium	low	T3
FRA40301	FRA40301	Aimard, Gustave	Les Bandits d'Arizona    	M	NA	NA	viaf:9841962	NA	1881	1881	NA	fra	66933	NA	NA	medium	unspecified	T3
FRA40309	FRA40309	Aimard, Gustave 	Le grand Chef des Aucas    	M	NA	NA	NA	NA	1858	1858	NA	fra	189496	NA	NA	long	unspecified	T1
FRA40319	FRA40319	Aimard, Gustave; Auriac, Jean-Baptiste	Les Pieds fourchus    	M	NA	NA	viaf:61641578	NA	1866	1866	NA	fra	35790	NA	NA	short	unspecified	T2
FRA40010	FRA40010	Alexis Ponson du Terrail, Pierre	La baronne trépassée    	M	NA	NA	viaf:17228199	NA	1852	1852	NA	fra	63872	NA	NA	medium	unspecified	T1
FRA40011	FRA40011	Alexis Ponson du Terrail, Pierre	La femme immortelle    	M	NA	NA	viaf:17228199	NA	1852	1852	NA	fra	91378	NA	NA	medium	unspecified	T1
FRA40013	FRA40013	Alexis Ponson du Terrail, Pierre	Les nuits du quartier Breda    	M	NA	NA	viaf:17228199	NA	1866	1866	NA	fra	50175	NA	NA	medium	unspecified	T2
FRA40012	FRA40012	Alexis Ponson du Terrail, Pierre	La fée d'Auteuil    	M	NA	NA	viaf:17228199	NA	1868	1868	NA	fra	61344	NA	NA	medium	unspecified	T2
