0TextId	year	author-name	author-gender	title	verbs	innerVerbs	voir:perception	regarder:perception	sentir:perception	apercevoir:perception	vouloir:volition	oser:volition	compter:volition	essayer:volition	savoir:cognition	trouver:cognition	croire:cognition	entendre:cognition	attendre:cognition	connaître:cognition	devoir:moral	falloir:moral	espérer:moral	valoir:moral	refuser:moral	accepter:moral	engager:moral	aimer:affect	manquer:affect	souffrir:affect	craindre:affect
Nerciat_Monrose	1792	André Robert de Nerciat	M	Monrose ou le Libertin par fatalité	23028	2993	3334	32	90	41	306	182	22	18	393	247	213	97	96	186	277	164	29	51	35	8	35	90	66	37	59
Voltaire_Candide	1759	Voltaire	M	Candide, ou l'Optimisme	4987	590	687	22	8	15	63	20	4	0	54	44	39	24	18	20	23	54	11	17	2	3	6	19	9	7	5
Dorat_Sacrifices	1771	Claude-Joseph Dorat	M	Les Sacrifices de l’amour	11838	1775	1546	14	95	33	214	74	13	2	160	68	203	38	46	108	142	99	33	15	12	5	3	160	12	61	84
Crebillon_Conte	1751	Claude Prosper Jolyot de Crébillon	M	Ah quel conte !	21438	3598	3326	78	195	34	421	196	36	13	304	246	543	127	106	98	321	154	32	26	22	7	22	245	37	17	138
CastilhonJL_Zingha	1769	Jean-Louis Castilhon	M	Zingha, reine d'Angola	5665	447	484	20	28	12	60	74	6	0	10	28	39	13	26	24	44	4	7	3	15	12	8	8	12	4	11
Bernardin_Chaumiere	1791	Jacques Henri Bernardin de Saint-Pierre	M	Chaumière Indienne	1787	200	170	3	3	8	18	26	0	0	10	28	16	11	4	9	18	22	3	4	3	2	1	4	1	0	3
Mercier_An	1771	Louis-Sébastien Mercier	M	L'An deux mille quatre cent quarante	9259	998	1090	30	51	38	65	110	8	3	100	54	52	37	25	62	128	50	5	10	8	0	3	31	9	12	18
Charriere_Ruines	1799	Isabelle de Charrière	F	Les Ruines d'Yedburg	2717	408	393	7	14	1	56	14	4	2	38	30	39	8	4	7	23	46	11	5	1	1	1	28	3	7	13
Chevrier_Colporteur	1761	François-Antoine Chevrier	M	Le Colporteur	6466	840	789	3	4	13	156	62	11	7	61	63	58	27	14	77	68	46	7	14	6	7	19	19	18	6	9
Bellin_Nuit	1799	Louis François Marie Bellin de La Liborlière	M	La Nuit anglaise	6945	883	807	25	34	54	77	43	5	12	61	92	58	77	25	29	63	47	5	13	0	2	4	17	12	2	3
Fourqueux_Zely	1775	Marie-Louise Auget de Monthyon	F	Zély	4511	680	596	9	38	13	98	25	4	1	45	58	78	27	18	49	53	32	7	3	3	2	6	41	6	5	10
Anonym_Enfant	1799	Anonyme	U	L'enfant du bordel	4601	465	487	6	44	21	68	51	2	5	38	40	20	18	11	28	33	24	5	4	6	6	6	3	5	6	6
Voltaire_Amabed	1769	Voltaire	M	Les Lettres d'Amabed	2234	259	297	6	2	0	31	18	2	1	32	9	22	16	6	16	16	28	4	3	2	0	1	5	4	3	6
Voisenon_Histoire	1751	Claude-Henri de Fusée de Voisenon	M	Histoire de la Félicité	1867	300	260	4	15	12	46	7	0	2	33	29	31	7	1	25	16	9	1	2	0	2	1	18	7	2	8
Gorjy_Voyage	1791	Jean-Claude Gorgy	M	Nouveau voyage sentimental	2878	442	426	12	9	14	47	9	0	2	56	37	43	16	20	16	21	36	5	4	2	9	3	6	4	5	8
Quesne_Folies	1799	Jacques Salbigoton Quesné	M	Les folies d’un conscrit	6304	660	567	7	22	14	90	50	5	5	50	40	48	32	22	40	74	38	10	9	8	7	5	17	7	9	15
Anonym_Histoire	1757	Anonyme	U	Histoire d’un peuple nouveau	6147	689	709	19	23	17	92	56	12	3	31	54	60	22	20	65	85	47	0	10	10	0	9	24	15	5	11
Montesquieu_Arsace	1755	Montesquieu	M	Arsace et Isménie : histoire orientale	2360	413	284	7	28	5	50	18	6	0	17	34	34	18	4	26	15	10	12	2	3	1	1	46	8	1	15
PigaultLebrun_Kinglin	1799	Pigault-Lebrun	M	Monsieur de Kinglin, ou la prescience	3228	374	360	6	7	4	35	31	9	2	33	45	16	14	12	18	39	41	8	7	6	2	4	16	6	4	8
Voltaire_Taureau	1774	Voltaire	M	Le taureau blanc	1633	214	221	3	9	2	32	9	4	1	36	12	12	12	2	8	13	13	1	1	4	1	0	5	1	1	6
Lagrave_Zabeth	1798	Comtesse de Lagrave	F	Zabeth, ou la Victime de l'ambition	12173	1702	1606	48	85	14	250	68	21	0	112	135	118	77	49	70	75	86	25	12	20	14	9	88	20	36	35
Voltaire_Jenni	1775	Voltaire	M	Histoire de Jenni	2947	340	407	9	15	3	37	17	1	0	40	16	37	18	7	13	28	30	3	2	1	1	1	11	3	3	6
Diderot_Ceci	1772	Denis Diderot	M	Ceci n'est pas un conte	1018	145	125	2	7	1	15	7	1	1	28	3	8	6	5	9	4	12	3	1	1	3	0	10	2	2	5
Diderot_Religieuse	1796	Denis Diderot	M	La Religieuse	10972	1486	1286	56	74	25	157	132	8	2	212	92	106	91	55	76	43	106	24	13	20	7	12	43	14	35	35
Retif_Paysan	1776	Nicolas-Edme Rétif	M	Le Paysan perverti ou les Dangers de la ville	33684	5279	4544	105	231	63	582	205	26	4	607	271	425	220	145	265	369	418	87	54	35	14	39	234	65	69	104
Cazotte_Honneur	1788	Jacques Cazotte	M	L'Honneur perdu et recouvré	2412	269	270	2	3	3	26	32	3	3	27	19	16	11	8	29	33	22	1	3	3	0	10	4	6	5	2
PigaultLebrun_Metusko	1799	Pigault-Lebrun	M	Métusko, ou les polonais	3077	360	289	2	26	5	48	38	7	4	27	20	16	16	22	22	46	20	9	1	10	2	6	17	6	5	7
Arnaud_Batilde	1767	François-Thomas-Marie de Baculard d’Arnaud	M	Bathilde ou l’héroïsme de l’amour, anecdote historique par M. d’Arnaud	2568	334	280	5	15	5	37	23	0	1	30	7	14	13	10	21	46	21	5	1	5	2	3	46	1	7	12
Barthe_Femme	1769	Nicolas Thomas Barthe	M	La jolie femme ou la femme du jour	9649	1380	1163	18	57	28	151	61	13	4	113	90	85	77	26	60	112	122	10	31	16	1	2	109	29	10	17
Pertusier_Premiere	1799	Charles Pertusier	M	Mes premières étourderies	8245	1202	1009	15	29	27	132	62	20	0	104	73	84	65	91	66	65	121	17	6	9	6	19	50	9	10	32
Sade_Infortunes	1787	Marquis de Sade	M	Les Infortunes de la vertu	8178	990	978	9	29	22	126	69	11	11	34	87	69	48	46	52	96	66	12	15	22	13	18	9	15	13	17
Arnaud_Julie	1767	François-Thomas-Marie de Baculard d’Arnaud	M	Julie ou l’heureux repentir	2481	324	312	9	17	6	30	20	3	0	31	18	18	20	8	22	28	24	5	4	4	0	0	22	7	2	8
Rousseau_Emile	1762	Jean-Jacques Rousseau	M	Émile ou de l'éducation	41829	6728	6461	69	389	97	786	361	46	17	901	290	362	257	127	430	620	691	33	88	37	12	26	207	54	117	83
Genlis_Meres	1799	Stéphanie-Félicité Ducrest de Saint-Aubin de Genlis	F	Les mères rivales ou la calomnie	32399	4374	4950	72	177	79	460	253	46	7	479	365	361	146	129	300	375	226	65	28	51	31	37	202	42	58	64
Maistre_Voyage	1794	Xavier de Maistre	M	Voyage autour de ma chambre	2631	311	289	14	13	14	27	18	5	2	41	25	18	11	6	15	14	18	4	4	6	0	0	7	1	4	2
Constant_Laure	1787	Samuel de Constant	M	Laure, ou Lettres de quelques personnes de Suisse	44960	7885	7869	115	244	105	1323	281	70	12	789	462	665	428	232	252	568	445	146	60	48	31	26	334	57	151	202
Sade_Aline	1795	Marquis de Sade	M	Aline et Valcour ou le roman philosophique	46277	6182	5729	86	195	74	766	536	32	39	430	514	509	196	190	291	687	561	76	82	75	41	56	189	49	71	132
Retif_AntiJustine	1798	Nicolas-Edme Rétif	M	L'Anti-Justine	9818	1008	945	13	62	21	129	41	4	11	53	71	60	50	28	38	48	80	7	23	8	1	2	26	5	16	19
Reveroni_Pauliska	1798	Jacques-Antoine de Révérony Saint-Cyr	M	Pauliska ou la Perversité moderne	9946	1092	944	21	66	40	67	111	10	20	33	100	97	80	60	99	88	54	12	8	11	5	7	12	6	23	11
Arnaud_Anne	1769	François-Thomas-Marie de Baculard d’Arnaud	M	Anne Bell, histoire anglaise	2963	337	348	6	22	7	38	24	5	2	35	17	18	11	10	19	42	14	6	2	7	1	2	27	6	4	9
Abbes_Voyage	1758	Guillaume d'Abbes de Cabreroles	M	Voyage dans les espaces	827	101	122	0	4	2	9	2	0	0	4	16	3	2	0	8	10	5	1	3	0	0	0	0	4	1	2
Riccoboni_Histoire	1758	Marie Jeanne Riccoboni	F	Histoire du marquis de Cressy	4480	628	532	14	48	15	58	42	1	1	30	49	62	13	32	40	56	13	12	1	5	3	12	58	5	5	13
Arnaud_Sidney	1766	François-Thomas-Marie de Baculard d’Arnaud	M	Sidney et Volsan	2583	295	320	10	16	6	26	15	1	1	25	15	23	9	7	24	31	10	3	1	8	0	2	39	3	2	5
Voltaire_Princesse	1768	Voltaire	M	La Princesse de Babylone	3577	384	453	15	8	6	35	28	3	2	49	26	27	16	13	16	28	22	7	3	5	1	2	17	8	2	6
Arnaud_Bal	1751	François-Thomas-Marie de Baculard d’Arnaud	M	Le Bal de Venise	2818	409	301	12	26	8	56	17	4	0	1	20	22	15	18	31	26	31	2	6	7	1	8	54	5	6	9
