0textId year verbs innerVerbs akar engedelmeskedik gondol hall kell kíván lát megenged néz remél szeret tetszik tud érez ért 
HU00011 1854 8524 701 51 3 26 49 77 17 122 1 20 5 136 7 127 40 20 
HU00012 1859 7646 677 56 1 19 23 56 21 121 1 20 8 113 64 100 46 28 
HU00600 1916 7228 993 85 0 75 36 113 6 101 2 103 1 57 21 242 126 25 
HU00628 1898 8572 1064 144 4 43 25 178 9 107 1 101 3 116 16 224 60 33 
HU00642 1845 32718 3059 397 8 184 182 335 135 582 15 106 10 140 34 708 147 76 
HU00662 1901 13761 1423 67 0 107 79 144 30 352 6 203 3 49 17 236 70 60 
HU00666 1857 4327 400 63 1 11 21 48 6 44 0 37 2 21 9 107 15 15 
HU00719 1916 3238 421 42 0 14 7 96 1 37 1 43 0 7 5 106 24 38 
HU00726 1878 3609 400 40 1 8 13 47 11 109 2 21 1 47 7 56 25 12 
HU00730 1855 13711 1236 204 4 44 73 187 31 142 2 58 16 143 17 233 44 38 
HU00731 1876 3687 378 59 4 18 10 48 13 50 0 18 3 52 11 73 13 6 
HU00763 1919 2702 232 29 0 23 11 26 2 30 0 31 0 16 2 46 13 3 
HU00879 1880 1896 287 23 0 18 8 72 13 27 1 7 2 31 21 59 5 0 
HU00898 1889 4013 328 37 3 17 27 71 10 48 1 27 0 18 7 51 5 6 
HU00949 1908 23003 2306 294 2 146 128 391 40 272 9 116 6 144 73 528 73 84 
HU00954 1895 9054 856 98 1 32 41 138 5 124 0 70 2 52 35 191 40 27 
HU00977 1910 3635 366 43 0 28 18 53 6 57 0 36 0 19 11 77 6 12 
HU01009 1846 5288 659 82 0 34 44 53 14 123 3 27 17 90 19 133 10 10 
HU01115 1858 16080 1838 310 18 118 97 281 46 242 6 72 16 86 44 389 30 83 
HU01116 1856 18055 1996 280 11 111 117 240 59 333 10 135 20 72 51 465 32 60 
HU02028 1911 10514 1393 122 0 131 43 203 17 166 2 133 1 67 18 335 124 31 
HU02143 1860 11685 1180 266 10 69 39 157 0 115 5 31 22 93 15 271 27 60 
HU02204 1852 5654 501 68 0 28 38 59 20 112 2 32 0 15 13 96 4 14 
HU03130 1842 21090 2311 203 3 174 58 212 67 425 4 130 51 307 14 359 227 77 
HU04774 1847 30780 2617 371 30 140 98 344 106 494 7 148 30 154 28 464 133 70 
HU05060 1911 9586 1076 115 0 59 41 118 9 120 0 166 2 68 12 206 134 26 
HU05286 1906 25200 3211 339 10 237 128 448 51 452 19 179 35 264 91 725 177 56 
HU05572 1854 23674 2467 285 2 87 143 418 75 405 7 110 7 185 73 504 86 80 
HU05573 1873 29968 2762 347 6 82 120 498 60 380 17 121 3 160 89 678 90 111 
HU05620 1862 18270 1588 282 8 66 83 268 34 208 8 73 32 111 27 305 42 41 
HU05964 1919 27705 3232 255 0 236 179 435 32 457 7 273 10 195 36 796 263 58 
HU06784 1899 6380 535 58 3 5 46 55 8 100 5 74 1 20 13 107 14 26 
HU06982 1895 2781 291 29 0 26 13 33 6 34 3 28 3 26 9 66 12 3 
HU07119 1913 5656 616 57 1 14 5 121 5 73 2 16 1 18 15 230 42 16 
HU07551 1845 31159 2835 343 6 111 185 603 42 394 5 51 5 264 75 560 102 89 
HU07552 1846 29747 2294 365 4 59 57 390 8 347 5 190 26 144 46 531 61 61 
HU07629 1854 8217 900 120 0 28 31 34 7 131 6 34 24 136 18 196 119 16 
HU07693 1861 9486 961 130 6 37 38 112 3 178 3 49 3 99 13 205 46 39 
HU07694 1872 8226 1079 101 1 50 26 122 7 138 8 39 14 179 12 271 87 24 
HU07703 1860 10128 1121 131 1 83 62 125 1 132 3 76 7 168 26 241 50 15 
HU07718 1875 23356 2268 280 5 104 187 259 4 347 9 135 8 160 75 550 94 51 
HU07729 1887 18271 1869 261 6 91 66 264 8 247 11 174 17 138 23 385 113 65 
HU08163 1855 6641 429 33 0 17 15 43 0 91 5 9 0 46 17 115 11 27 
HU08358 1920 24229 2263 154 2 122 181 308 0 489 3 217 4 191 60 379 79 74 
HU09105 1918 15120 1803 174 1 167 99 150 8 239 5 161 5 131 63 402 158 40 
HU10230 1852 36711 3408 497 18 174 194 391 2 643 8 88 45 219 84 824 135 86 
HU10428 1920 4581 369 54 1 33 12 30 7 22 5 49 1 10 11 96 26 12 
HU11129 1918 7867 967 86 0 57 98 123 23 112 2 23 12 83 17 269 28 34 
HU11795 1912 5931 409 33 0 19 30 33 2 58 0 46 3 35 14 87 28 21 
HU11968 1894 16609 1135 152 7 13 70 191 0 229 3 77 5 46 24 232 63 23 
HU12028 1892 3972 521 76 0 31 24 41 0 58 2 60 3 46 19 110 31 20 
HU12359 1902 9888 796 124 1 46 42 63 0 144 2 88 6 59 20 137 41 23 
HU12750 1903 5785 536 58 3 23 68 60 2 84 2 37 1 11 12 124 39 12 
HU13316 1911 8826 741 138 4 27 30 141 1 55 1 34 4 39 25 167 32 43 
HU13387 1901 24435 2151 254 9 126 85 333 2 410 4 326 4 65 30 363 62 78 
HU13445 1895 5412 605 75 3 48 22 55 2 61 8 43 1 84 19 140 31 13 
HU13462 1897 5950 565 59 0 33 30 46 0 76 6 65 12 62 8 109 40 19 
HU13606 1907 21620 1870 191 8 99 85 231 0 284 13 167 11 168 34 439 87 53 
HU13802 1886 9576 1171 111 0 113 61 133 0 171 2 101 3 85 20 329 31 11 
HU14125 1892 4856 525 86 0 16 31 60 8 81 5 35 7 37 12 115 18 14 
HU14197 1888 8439 721 84 1 33 36 107 0 112 7 21 18 35 13 195 43 16 
HU14261 1895 4067 566 64 0 21 16 45 0 72 0 95 2 95 7 96 44 9 
HU14315 1898 11435 1127 143 6 26 79 116 0 230 0 91 1 122 11 209 47 46 
HU14548 1881 11487 1510 284 8 38 38 169 0 193 6 110 6 91 12 379 118 58 
HU14564 1897 4000 408 30 1 8 22 36 0 67 1 39 3 51 4 118 18 10 
HU14664 1867 8669 976 84 0 86 24 112 0 112 9 75 2 108 38 271 26 29 
HU14689 1895 5520 737 116 0 30 25 186 0 98 0 11 5 41 44 133 14 34 
HU14745 1866 11837 1471 137 0 90 41 176 0 209 9 120 21 133 15 363 142 15 
HU14769 1878 10789 1267 152 1 64 37 118 0 194 6 85 33 120 11 345 76 25 
HU16123 1896 16280 1902 286 11 93 84 231 0 251 11 184 1 118 46 393 150 43 
HU16124 1896 6608 711 88 2 28 20 86 0 91 1 59 17 98 21 137 30 33 
HU16127 1896 4715 378 71 2 15 17 75 0 37 4 32 3 22 10 52 26 12 
HU16243 1892 5685 649 91 3 33 22 84 0 95 9 34 11 124 4 96 21 22 
HU16328 1891 4519 418 71 10 15 19 40 0 55 3 32 0 16 11 122 15 9 
HU16344 1909 17961 1789 197 2 46 89 473 7 194 6 64 1 52 23 537 41 57 
HU16355 1893 3466 402 47 0 28 33 28 0 55 1 38 0 30 4 98 23 17 
HU16359 1893 6314 854 120 2 25 40 118 0 128 4 113 4 89 15 135 36 25 
HU16361 1856 2381 248 22 1 16 20 27 0 45 0 11 0 27 7 54 13 5 
HU16529 1914 9983 1241 82 2 128 38 85 0 191 2 216 2 85 14 288 84 24 
HU16600 1908 5405 507 44 3 27 20 86 0 53 3 41 8 34 25 112 20 31 
HU16672 1869 3776 291 39 0 7 12 46 5 26 5 12 0 26 3 84 18 8 
HU16824 1908 8558 1286 170 1 114 35 90 6 123 1 115 5 142 15 258 182 29 
HU17048 1908 9736 1388 167 0 65 59 170 0 148 3 114 2 158 45 314 121 22 
HU17435 1920 28225 2438 368 11 132 161 399 25 296 5 235 1 84 37 441 196 47 
HU17606 1919 9857 1239 87 0 82 89 122 4 169 11 142 19 65 24 330 50 45 
HU17653 1908 6750 764 87 4 59 26 52 0 127 2 94 0 62 13 187 36 15 
HU17694 1906 5885 774 82 0 53 14 65 0 103 2 114 5 73 13 159 63 28 
HU17873 1864 4621 496 51 1 22 27 41 0 48 0 14 10 63 15 171 27 6 
HU17910 1872 2154 269 19 1 7 12 40 0 36 3 5 6 38 4 66 23 9 
HU17960 1866 4101 286 32 2 5 14 33 1 65 0 21 5 21 12 65 6 4 
HU17999 1863 9400 1198 69 5 57 29 214 0 128 3 55 3 167 26 323 77 42 
HU18153 1848 7417 774 76 1 31 58 173 38 110 3 11 7 55 17 155 20 19 
HU18411 1860 7610 623 109 9 47 66 110 20 65 6 28 4 28 4 102 14 11 
HU18535 1882 8702 1011 145 1 35 56 80 0 129 4 114 1 88 61 213 54 30 
HU18964 1862 9981 1028 108 7 38 49 77 7 140 6 33 15 138 29 295 61 25 
HU18993 1860 11819 1541 206 2 53 66 190 9 166 6 84 1 119 52 444 102 41 
HU19000 1878 6754 966 129 3 43 23 114 0 144 2 43 11 71 16 278 68 21 
HU19006 1846 10091 928 80 7 33 45 138 21 185 1 40 15 95 20 176 59 13 
HU19018 1857 9698 956 93 0 29 34 112 44 129 1 45 21 125 8 220 68 27 
HU19040 1844 22804 2055 267 2 112 166 485 55 258 12 36 0 191 43 315 63 50 
