textId year verbs innerVerbs akar gondol hisz kíván szeret tetszik tud érez ért 
HU00011 1854 8524 477  51 26 53 17 136 7 127 40 20

HU00012 1859 7646 496  56 19 49 21 113 64 100 46 28

HU00600 1916 7228 678  85 75 41 6 57 21 242 126 25

HU00628 1898 8572 691  144 43 46 9 116 16 224 60 33

HU00642 1845 32718 2078  397 184 257 135 140 34 708 147 76

HU00662 1901 13761 652  67 107 16 30 49 17 236 70 60

HU00666 1857 4327 261  63 11 14 6 21 9 107 15 15

HU00719 1916 3238 256  42 14 19 1 7 5 106 24 38

HU00726 1878 3609 221  40 8 15 11 47 7 56 25 12

HU00730 1855 13711 848  204 44 94 31 143 17 233 44 38

HU00731 1876 3687 271  59 18 26 13 52 11 73 13 6

HU00763 1919 2702 144  29 23 10 2 16 2 46 13 3

HU00879 1880 1896 174  23 18 4 13 31 21 59 5 0

HU00898 1889 4013 164  37 17 13 10 18 7 51 5 6

HU00949 1908 23003 1496  294 146 114 40 144 73 528 73 84

HU00954 1895 9054 532  98 32 52 5 52 35 191 40 27

HU00977 1910 3635 208  43 28 6 6 19 11 77 6 12

HU01009 1846 5288 420  82 34 28 14 90 19 133 10 10

HU01115 1858 16080 1275  310 118 169 46 86 44 389 30 83

HU01116 1856 18055 1246  280 111 116 59 72 51 465 32 60

HU02028 1911 10514 914  122 131 69 17 67 18 335 124 31

HU02143 1860 11685 887  266 69 86 0 93 15 271 27 60

HU02204 1852 5654 283  68 28 25 20 15 13 96 4 14

HU03130 1842 21090 1557  203 174 129 67 307 14 359 227 77

HU04774 1847 30780 1646  371 140 180 106 154 28 464 133 70

HU05060 1911 9586 655  115 59 26 9 68 12 206 134 26

HU05286 1906 25200 2158  339 237 218 51 264 91 725 177 56

HU05572 1854 23674 1515  285 87 140 75 185 73 504 86 80

HU05573 1873 29968 1723  347 82 106 60 160 89 678 90 111

HU05620 1862 18270 1023  282 66 115 34 111 27 305 42 41

HU05964 1919 27705 1989  255 236 118 32 195 36 796 263 58

HU06784 1899 6380 262  58 5 11 8 20 13 107 14 26

HU06982 1895 2781 219  29 26 42 6 26 9 66 12 3

HU07119 1913 5656 438  57 14 41 5 18 15 230 42 16

HU07551 1845 31159 1795  343 111 209 42 264 75 560 102 89

HU07552 1846 29747 1462  365 59 187 8 144 46 531 61 61

HU07629 1854 8217 748  120 28 108 7 136 18 196 119 16

HU07693 1861 9486 621  130 37 49 3 99 13 205 46 39

HU07694 1872 8226 820  101 50 89 7 179 12 271 87 24

HU07703 1860 10128 813  131 83 98 1 168 26 241 50 15

HU07718 1875 23356 1432  280 104 114 4 160 75 550 94 51

HU07729 1887 18271 1200  261 91 116 8 138 23 385 113 65

HU08163 1855 6641 298  33 17 32 0 46 17 115 11 27

HU08358 1920 24229 1190  154 122 131 0 191 60 379 79 74

HU09105 1918 15120 1251  174 167 108 8 131 63 402 158 40

HU10230 1852 36711 2261  497 174 240 2 219 84 824 135 86

HU10428 1920 4581 288  54 33 39 7 10 11 96 26 12

HU11129 1918 7867 636  86 57 39 23 83 17 269 28 34

HU11795 1912 5931 252  33 19 13 2 35 14 87 28 21

HU11968 1894 16609 615  152 13 62 0 46 24 232 63 23

HU12028 1892 3972 381  76 31 48 0 46 19 110 31 20

HU12359 1902 9888 496  124 46 46 0 59 20 137 41 23

HU12750 1903 5785 302  58 23 21 2 11 12 124 39 12

HU13316 1911 8826 517  138 27 45 1 39 25 167 32 43

HU13387 1901 24435 1018  254 126 38 2 65 30 363 62 78

HU13445 1895 5412 437  75 48 25 2 84 19 140 31 13

HU13462 1897 5950 354  59 33 24 0 62 8 109 40 19

HU13606 1907 21620 1170  191 99 99 0 168 34 439 87 53

HU13802 1886 9576 725  111 113 25 0 85 20 329 31 11

HU14125 1892 4856 328  86 16 22 8 37 12 115 18 14

HU14197 1888 8439 458  84 33 39 0 35 13 195 43 16

HU14261 1895 4067 359  64 21 23 0 95 7 96 44 9

HU14315 1898 11435 716  143 26 112 0 122 11 209 47 46

HU14548 1881 11487 1072  284 38 92 0 91 12 379 118 58

HU14564 1897 4000 266  30 8 27 0 51 4 118 18 10

HU14664 1867 8669 720  84 86 78 0 108 38 271 26 29

HU14689 1895 5520 438  116 30 26 0 41 44 133 14 34

HU14745 1866 11837 998  137 90 103 0 133 15 363 142 15

HU14769 1878 10789 921  152 64 128 0 120 11 345 76 25

HU16123 1896 16280 1231  286 93 102 0 118 46 393 150 43

HU16124 1896 6608 459  88 28 24 0 98 21 137 30 33

HU16127 1896 4715 227  71 15 19 0 22 10 52 26 12

HU16243 1892 5685 425  91 33 34 0 124 4 96 21 22

HU16328 1891 4519 278  71 15 19 0 16 11 122 15 9

HU16344 1909 17961 1027  197 46 67 7 52 23 537 41 57

HU16355 1893 3466 256  47 28 9 0 30 4 98 23 17

HU16359 1893 6314 502  120 25 57 0 89 15 135 36 25

HU16361 1856 2381 164  22 16 20 0 27 7 54 13 5

HU16529 1914 9983 754  82 128 49 0 85 14 288 84 24

HU16600 1908 5405 333  44 27 40 0 34 25 112 20 31

HU16672 1869 3776 214  39 7 24 5 26 3 84 18 8

HU16824 1908 8558 984  170 114 68 6 142 15 258 182 29

HU17048 1908 9736 976  167 65 84 0 158 45 314 121 22

HU17435 1920 28225 1393  368 132 63 25 84 37 441 196 47

HU17606 1919 9857 767  87 82 80 4 65 24 330 50 45

HU17653 1908 6750 489  87 59 30 0 62 13 187 36 15

HU17694 1906 5885 515  82 53 44 0 73 13 159 63 28

HU17873 1864 4621 388  51 22 33 0 63 15 171 27 6

HU17910 1872 2154 196  19 7 30 0 38 4 66 23 9

HU17960 1866 4101 160  32 5 14 1 21 12 65 6 4

HU17999 1863 9400 828  69 57 67 0 167 26 323 77 42

HU18153 1848 7417 462  76 31 51 38 55 17 155 20 19

HU18411 1860 7610 368  109 47 33 20 28 4 102 14 11

HU18535 1882 8702 662  145 35 36 0 88 61 213 54 30

HU18964 1862 9981 787  108 38 86 7 138 29 295 61 25

HU18993 1860 11819 1109  206 53 83 9 119 52 444 102 41

HU19000 1878 6754 690  129 43 64 0 71 16 278 68 21

HU19006 1846 10091 541  80 33 44 21 95 20 176 59 13

HU19018 1857 9698 686  93 29 72 44 125 8 220 68 27

HU19040 1844 22804 1220  267 112 124 55 191 43 315 63 50
