textId year verbs innerVerbs 
HU00011 1854 8524 0 

HU00012 1859 7646 0 

HU00600 1916 7228 0 

HU00628 1898 8572 0 

HU00642 1845 32718 0 

HU00662 1901 13761 0 

HU00666 1857 4327 0 

HU00719 1916 3238 0 

HU00726 1878 3609 0 

HU00730 1855 13711 0 

HU00731 1876 3687 0 

HU00763 1919 2702 0 

HU00879 1880 1896 0 

HU00898 1889 4013 0 

HU00949 1908 23003 0 

HU00954 1895 9054 0 

HU00977 1910 3635 0 

HU01009 1846 5288 0 

HU01115 1858 16080 0 

HU01116 1856 18055 0 

HU02028 1911 10514 0 

HU02143 1860 11685 0 

HU02204 1852 5654 0 

HU03130 1842 21090 0 

HU04774 1847 30780 0 

HU05060 1911 9586 0 

HU05286 1906 25200 0 

HU05572 1854 23674 0 

HU05573 1873 29968 0 

HU05620 1862 18270 0 

HU05964 1919 27705 0 

HU06784 1899 6380 0 

HU06982 1895 2781 0 

HU07119 1913 5656 0 

HU07551 1845 31159 0 

HU07552 1846 29747 0 

HU07629 1854 8217 0 

HU07693 1861 9486 0 

HU07694 1872 8226 0 

HU07703 1860 10128 0 

HU07718 1875 23356 0 

HU07729 1887 18271 0 

HU08163 1855 6641 0 

HU08358 1920 24229 0 

HU09105 1918 15120 0 

HU10230 1852 36711 0 

HU10428 1920 4581 0 

HU11129 1918 7867 0 

HU11795 1912 5931 0 

HU11968 1894 16609 0 

HU12028 1892 3972 0 

HU12359 1902 9888 0 

HU12750 1903 5785 0 

HU13316 1911 8826 0 

HU13387 1901 24435 0 

HU13445 1895 5412 0 

HU13462 1897 5950 0 

HU13606 1907 21620 0 

HU13802 1886 9576 0 

HU14125 1892 4856 0 

HU14197 1888 8439 0 

HU14261 1895 4067 0 

HU14315 1898 11435 0 

HU14548 1881 11487 0 

HU14564 1897 4000 0 

HU14664 1867 8669 0 

HU14689 1895 5520 0 

HU14745 1866 11837 0 

HU14769 1878 10789 0 

HU16123 1896 16280 0 

HU16124 1896 6608 0 

HU16127 1896 4715 0 

HU16243 1892 5685 0 

HU16328 1891 4519 0 

HU16344 1909 17961 0 

HU16355 1893 3466 0 

HU16359 1893 6314 0 

HU16361 1856 2381 0 

HU16529 1914 9983 0 

HU16600 1908 5405 0 

HU16672 1869 3776 0 

HU16824 1908 8558 0 

HU17048 1908 9736 0 

HU17435 1920 28225 0 

HU17606 1919 9857 0 

HU17653 1908 6750 0 

HU17694 1906 5885 0 

HU17873 1864 4621 0 

HU17910 1872 2154 0 

HU17960 1866 4101 0 

HU17999 1863 9400 0 

HU18153 1848 7417 0 

HU18411 1860 7610 0 

HU18535 [1882] 8702 0 

HU18964 1862 9981 0 

HU18993 1860 11819 0 

HU19000 1878 6754 0 

HU19006 1846 10091 0 

HU19018 1857 9698 0 

HU19040 1844 22804 0 
