0textId year verbs innerVerbs kunne:volition se:perception skulle:moral ville:volition maatte:moral høre:perception tænke:cognition vide:cognition synes:cognition le:affect føle:affect elske:affect læse:perception sove:physiology søge:volition burde:moral vaagne:physiology skinne:physiology 
NOR0001 1880 12700 1942 351 345 242 284 129 94 83 126 78 58 55 14 15 17 16 13 4 18 
NOR0002 1892 8072 1347 214 201 255 177 110 55 66 75 55 32 28 14 13 30 10 5 6 1 
NOR0003 1918 11304 1450 190 412 297 159 121 135 0 3 14 63 0 0 0 41 0 8 0 7 
NOR0004 1883 14841 2051 545 267 498 433 169 1 0 4 2 62 1 21 3 20 0 25 0 0 
NOR0005 1855 18590 2726 652 283 379 481 153 146 101 100 108 12 71 41 35 25 89 30 15 5 
NOR0006 1883 8127 1340 236 249 221 146 136 67 65 81 29 9 24 5 28 8 9 8 7 12 
NOR0007 1907 5309 1020 186 158 161 99 67 34 82 70 59 8 41 19 11 11 1 5 8 0 
NOR0009 1886 10545 1736 320 316 299 190 137 79 88 110 51 29 44 1 25 14 11 14 5 3 
NOR0010 1860 5765 1043 147 115 197 165 94 62 69 28 22 64 15 2 39 7 7 3 6 1 
NOR0011 1919 14908 2083 321 516 426 277 210 141 1 9 59 73 0 2 0 29 0 10 0 9 
NOR0012 1892 13252 1837 406 204 552 379 167 15 3 6 1 37 7 17 5 29 1 4 0 4 
NOR0013 1886 12695 1966 514 285 468 356 180 4 9 12 5 37 1 41 1 32 0 19 2 0 
NOR0017 1887 5136 523 79 124 66 53 39 38 17 23 18 18 12 0 4 20 6 0 6 0 
NOR0018 1888 9753 1651 263 257 283 247 101 67 121 107 40 58 23 13 26 12 10 9 10 4 
NOR0019 1882 9818 1615 265 223 219 282 101 97 70 120 49 20 29 25 39 23 18 13 14 8 
NOR0020 1874 12110 1866 271 397 253 226 102 113 86 107 85 20 98 19 16 17 35 14 5 2 
NOR0021 1885 24886 4637 786 836 639 785 283 133 244 210 58 186 148 68 128 42 31 34 19 7 
NOR0022 1892 6456 1216 245 187 218 107 122 29 73 74 38 41 37 7 16 9 5 4 3 1 
NOR0023 1881 9717 1688 349 300 335 242 118 87 39 82 35 9 10 8 40 9 17 2 6 0 
NOR0024 1905 6937 1223 216 211 169 157 119 32 61 50 16 39 66 21 24 17 15 2 4 4 
NOR0025 1892 4402 491 145 122 101 65 28 0 0 0 0 20 1 0 2 3 0 2 0 2 
NOR0026 1891 4427 491 101 86 94 76 42 26 16 19 9 9 2 1 1 2 3 2 1 1 
NOR0027 1881 10870 1584 262 275 200 251 132 74 60 97 62 38 27 11 33 16 12 19 6 9 
NOR0028 1915 11413 1644 221 484 384 159 133 86 0 1 48 56 0 18 3 24 0 15 0 12 
NOR0036 1840 4241 648 132 45 98 134 78 48 10 47 22 3 7 4 4 2 6 8 0 0 
NOR0037 1858 7096 1016 125 261 175 175 79 74 0 6 36 55 13 0 0 6 0 5 0 6 
NOR0040 1867 2261 337 52 59 31 32 27 30 7 33 5 5 17 6 7 12 2 0 6 6 
NOR0041 1881 13664 1982 310 348 203 321 138 138 72 112 57 32 110 31 42 10 24 18 12 4 
NOR0042 1882 4992 668 123 90 105 117 77 26 23 38 11 4 21 1 19 3 6 3 1 0 
NOR0043 1892 13637 2277 500 255 389 373 171 72 94 118 73 52 36 31 35 18 21 23 9 7 
NOR0044 1898 8324 1185 235 177 238 109 131 71 55 45 19 25 13 13 25 9 2 5 5 8 
NOR0045 1895 7504 1116 190 217 131 152 46 73 31 65 60 25 22 12 20 25 13 0 14 20 
NOR0046 1896 587 114 13 29 6 24 3 6 4 12 7 2 1 3 0 2 1 0 1 0 
NOR0047 1898 3399 468 59 101 54 88 30 27 11 20 8 7 27 4 2 15 6 1 8 0 
NOR0048 1899 16331 3142 546 505 386 496 192 180 185 181 98 53 96 59 41 49 15 7 31 22 
NOR0049 1900 18822 2145 441 202 430 405 153 75 48 75 55 45 21 21 31 35 29 39 20 20 
NOR0051 1902 7752 1128 197 188 136 145 73 57 49 79 56 17 50 12 23 8 12 4 16 6 
NOR0053 1904 5523 535 36 127 140 116 67 9 0 11 0 1 1 6 2 10 2 5 0 2 
NOR0054 1906 8377 1274 205 240 203 156 74 74 88 75 30 34 10 23 6 11 11 18 5 11 
NOR0055 1904 4390 781 105 185 94 87 25 61 51 52 40 36 13 7 4 2 4 4 5 6 
NOR0056 1905 7211 1147 151 226 171 146 91 73 63 61 16 32 19 22 19 11 22 9 5 10 
NOR0057 1905 5226 605 125 80 105 65 56 31 22 32 13 16 11 5 11 7 8 2 2 14 
NOR0059 1894 15367 2136 310 353 569 346 197 95 22 76 47 26 22 8 10 25 13 4 3 10 
