textId year verbs innerVerbs drømme elske forstaa føle lide tro turde tænke vove ønske 
NOR0001 1880 12700 310  2 14 55 55 12 51 15 83 9 14

NOR0002 1892 8072 185  4 14 15 28 7 35 7 66 3 6

NOR0003 1918 11304 29  6 0 10 0 6 0 2 0 0 5

NOR0004 1883 14841 138  15 21 67 1 27 0 1 0 6 0

NOR0006 1883 8127 195  1 5 24 24 10 37 18 65 3 8

NOR0007 1907 5309 264  1 19 30 41 14 58 6 82 1 12

NOR0009 1886 10545 257  10 1 32 44 3 52 16 88 2 9

NOR0010 1860 5765 168  2 2 20 15 5 28 22 69 0 5

NOR0011 1919 14908 70  8 2 20 0 5 9 1 1 0 24

NOR0012 1892 13252 86  4 17 29 7 19 6 1 3 0 0

NOR0013 1886 12695 154  2 41 56 1 33 9 3 9 0 0

NOR0017 1887 5136 47  2 0 3 12 1 5 1 17 5 1

NOR0018 1888 9753 257  1 13 21 23 12 41 9 121 9 7

NOR0019 1882 9818 264  5 25 37 29 8 54 17 70 5 14

NOR0020 1874 12110 385  4 19 68 98 17 61 14 86 12 6

NOR0021 1885 24886 792  18 68 123 148 14 108 40 244 5 24

NOR0022 1892 6456 211  11 7 20 37 10 31 11 73 3 8

NOR0023 1881 9717 147  8 8 29 10 3 29 3 39 13 5

NOR0024 1905 6937 259  14 21 24 66 10 39 12 61 6 6

NOR0025 1892 4402 5  2 0 0 1 2 0 0 0 0 0

NOR0026 1891 4427 64  0 1 15 2 6 11 7 16 4 2

NOR0027 1881 10870 255  2 11 67 27 4 48 12 60 9 15

NOR0028 1915 11413 47  1 18 19 0 4 0 1 0 0 4

NOR0036 1840 4241 75  4 4 18 7 2 20 4 10 0 6

NOR0037 1858 7096 80  11 0 11 13 4 40 0 0 0 1

NOR0040 1867 2261 68  0 6 10 17 3 18 3 7 0 4

NOR0041 1881 13664 452  2 31 50 110 22 93 37 72 21 14

NOR0042 1882 4992 100  0 1 10 21 3 27 3 23 6 6

NOR0043 1892 13637 317  4 31 32 36 22 64 13 94 8 13

NOR0044 1898 8324 152  1 13 27 13 4 19 11 55 0 9

NOR0045 1895 7504 181  2 12 34 22 10 53 7 31 1 9

NOR0046 1896 587 13  0 3 3 1 1 0 1 4 0 0

NOR0047 1898 3399 75  3 4 6 27 0 14 5 11 0 5

NOR0048 1899 16331 657  9 59 92 96 17 157 20 185 5 17

NOR0049 1900 18822 230  16 21 34 21 24 26 12 48 12 16

NOR0051 1902 7752 226  9 12 23 50 14 35 14 49 12 8

NOR0053 1904 5523 34  0 6 1 1 26 0 0 0 0 0

NOR0054 1906 8377 229  9 23 20 10 7 43 10 88 7 12

NOR0055 1904 4390 131  4 7 9 13 7 23 3 51 2 12

NOR0056 1905 7211 212  2 22 31 19 3 55 5 63 1 11

NOR0057 1905 5226 69  1 5 0 11 7 14 8 22 0 1

NOR0059 1894 15367 187  10 8 16 22 23 54 11 22 13 8

NOR0060 1893 14194 409  1 81 43 88 8 66 25 82 4 11

NOR0061 1902 16213 534  2 76 36 106 12 107 15 159 3 18

NOR0063 1912 10898 452  15 85 36 77 9 61 15 135 1 18

NOR0065 1857 6951 179  3 0 8 21 7 43 16 77 4 0

NOR0066 1895 1899 51  0 3 6 13 2 6 3 15 3 0

NOR0068 1914 20811 897  7 125 103 138 11 188 25 235 10 55

NOR0069 1911 21217 879  33 123 136 114 10 220 23 182 2 36

NOR0070 1896 9139 294  6 45 55 50 5 49 7 69 0 8

NOR0071 1890 5140 102  0 5 8 13 4 29 9 30 3 1

NOR0072 1906 11048 344  2 41 64 50 5 78 13 83 4 4

NOR0073 1866 5180 151  3 39 22 18 7 15 6 29 6 6
