0textId year verbs innerVerbs amar comer conhecer desejar dever dormir esperar estremecer gostar julgar olhar ouvir pensar poder querer saber sentir ver 
POR0001 1868 29002 2871 26 17 101 29 156 37 103 16 15 86 174 193 75 284 342 449 123 645 
POR0002 1908 3151 307 14 2 15 5 15 6 6 1 2 0 8 10 13 56 32 44 29 49 
POR0003 1848 23065 1666 41 13 60 13 102 24 64 7 4 9 79 120 43 274 149 273 64 327 
POR0004 1846 11915 1313 87 11 45 14 71 17 40 10 5 7 21 61 39 176 137 234 78 260 
POR0005 1888 37868 3038 35 24 175 43 166 78 128 9 82 13 216 117 121 269 393 456 154 559 
POR0006 1855 9321 754 49 4 47 18 68 21 45 2 13 10 4 41 14 118 63 102 32 103 
POR0007 1868 23858 2557 22 8 110 27 112 24 86 29 13 91 172 150 107 331 228 453 96 498 
POR0008 1900 15018 902 12 20 75 44 31 12 62 7 40 3 50 15 73 61 95 177 60 65 
POR0009 1875 26043 2254 35 23 65 40 116 43 66 6 38 21 172 109 124 230 286 292 157 431 
POR0010 1862 9687 1044 29 11 39 5 42 5 50 5 1 8 35 78 41 147 151 195 19 183 
POR0011 1858 7765 739 33 11 34 8 34 5 29 1 4 11 12 35 8 118 116 133 14 133 
POR0012 1854 37242 4511 87 25 280 39 340 42 176 38 29 57 140 215 90 680 686 685 204 698 
POR0013 1906 8603 821 39 17 29 1 15 27 16 9 13 1 64 76 26 61 106 138 47 136 
POR0014 1906 9557 851 9 17 22 10 38 5 42 10 15 16 50 36 27 117 129 111 35 162 
POR0015 1867 28384 3461 89 20 114 43 150 38 120 30 48 96 231 164 145 432 410 545 189 597 
POR0016 1865 15925 1265 21 11 52 21 45 26 72 12 6 25 52 71 1 184 145 188 53 280 
POR0017 1874 9087 790 13 6 16 11 39 16 28 6 12 20 46 51 26 124 63 83 69 161 
POR0018 1908 9635 689 8 8 44 16 34 13 23 8 16 13 32 30 31 96 63 111 27 116 
POR0019 1914 4639 474 12 0 33 7 24 6 8 1 4 7 22 16 23 63 41 102 29 76 
POR0020 1917 11476 780 1 26 33 5 37 3 21 14 7 6 22 20 17 89 127 129 49 174 
POR0021 1888 4239 422 1 2 11 6 20 5 18 0 9 10 26 19 19 43 53 51 29 100 
POR0022 1892 6305 546 10 16 36 14 20 8 20 1 13 4 21 66 19 64 57 70 17 90 
POR0023 1844 10016 591 20 0 27 5 46 21 33 3 0 2 28 32 6 125 37 60 38 108 
POR0024 1873 5148 519 21 2 11 9 25 10 39 4 6 21 27 24 19 57 45 65 41 93 
POR0025 1870 11296 1337 111 3 37 31 55 4 57 29 9 25 51 63 31 220 164 197 54 196 
POR0026 1883 20806 1967 41 24 118 82 99 23 49 2 48 42 102 115 78 311 193 221 123 296 
POR0027 1873 9497 987 41 2 67 20 82 5 38 5 1 22 13 47 18 199 127 152 31 117 
POR0028 1875 4457 381 49 11 6 12 19 5 21 2 3 4 25 11 17 50 31 63 16 36 
POR0029 1876 3882 296 11 0 13 4 22 5 12 4 3 12 4 12 6 32 44 60 13 39 
POR0030 1861 7167 536 38 6 29 7 18 9 15 6 1 5 3 34 20 109 27 89 30 90 
POR0031 1897 8461 504 8 5 14 18 43 3 30 1 4 5 5 24 11 98 42 72 16 105 
POR0032 1899 14686 1398 18 15 40 13 52 45 69 3 35 35 54 84 65 184 197 182 92 215 
POR0033 1904 24338 2866 129 17 159 83 177 8 100 7 13 64 43 131 113 523 358 481 81 379 
POR0034 1874 11060 1111 48 27 24 42 55 11 45 12 7 20 80 41 56 155 106 168 36 178 
POR0035 1900 8267 881 71 2 42 27 65 0 29 14 2 20 11 37 43 113 66 137 34 168 
POR0036 1881 9367 835 12 15 36 26 30 8 24 3 23 7 56 31 51 107 88 108 50 160 
POR0037 1905 38965 3531 44 13 96 30 121 46 158 11 7 44 173 268 57 690 481 690 81 521 
POR0038 1843 9942 783 33 2 48 5 61 8 37 5 0 7 35 66 19 114 70 118 32 123 
POR0039 1846 3322 388 23 3 21 1 30 7 12 0 0 24 9 19 11 72 39 34 14 69 
POR0040 1857 6705 537 5 5 10 2 22 4 9 3 0 8 30 39 20 65 82 62 21 150 
POR0041 1916 10958 831 48 8 52 20 32 23 15 2 8 24 41 24 63 104 108 114 52 93 
POR0042 1904 10162 613 18 2 64 5 25 8 30 0 3 6 17 43 16 78 63 94 18 123 
POR0043 1886 6416 551 9 10 23 6 16 8 25 2 6 6 40 11 33 53 76 70 38 119 
POR0044 1877 2564 288 13 2 18 6 5 3 9 3 12 8 17 9 16 41 20 60 15 31 
POR0045 1870 14326 1330 43 6 75 23 74 6 36 2 23 27 62 57 17 247 153 231 41 207 
POR0046 1875 10222 930 15 35 34 10 47 11 36 3 17 31 44 54 26 103 134 137 23 170 
POR0047 1863 9937 770 3 2 47 9 21 7 33 4 5 31 18 34 38 173 54 103 27 161 
POR0048 1864 2284 252 13 1 12 5 14 5 11 8 2 5 13 7 6 37 13 42 25 33 
POR0049 1891 12891 1525 17 19 154 19 56 14 80 3 6 12 38 78 69 209 121 308 28 294 
POR0050 1866 15131 1424 59 14 54 64 52 14 74 23 8 54 76 101 12 180 88 213 58 280 
POR0051 1917 12058 996 4 9 9 5 16 15 35 7 2 7 55 85 22 213 146 153 69 144 
POR0052 1903 8752 833 9 31 14 3 5 11 36 14 13 3 48 104 16 123 105 102 67 129 
POR0053 1891 16804 1197 29 21 39 5 32 13 33 18 24 11 87 57 36 152 183 157 47 253 
POR0054 1901 22097 1729 21 54 58 6 64 13 26 21 13 12 139 90 49 167 274 238 55 429 
POR0055 1873 11004 1047 34 4 54 13 46 15 28 16 3 16 42 75 42 180 104 165 42 168 
POR0056 1892 3972 370 34 1 8 2 15 2 20 4 5 9 22 13 18 49 60 48 15 45 
POR0057 1849 5737 676 62 2 22 11 33 8 13 7 1 13 29 29 5 166 47 50 56 122 
POR0058 1895 12924 1146 24 6 65 17 55 13 41 3 15 25 40 66 61 200 136 163 31 185 
POR0059 1875 8797 869 21 9 113 12 39 12 37 0 1 13 9 52 13 138 78 137 20 165 
POR0060 1881 4124 382 7 17 11 2 7 21 6 1 7 2 41 16 8 22 53 60 23 78 
POR0061 1871 9428 1088 31 1 61 11 89 4 31 5 4 18 17 55 50 172 105 182 88 164 
POR0062 1908 3333 333 3 3 12 7 7 0 7 3 8 2 14 12 23 38 40 60 32 62 
POR0063 1870 12947 1234 41 11 55 9 47 35 37 18 6 10 56 70 45 143 171 186 84 210 
POR0064 1873 8129 806 4 5 86 8 49 4 44 0 3 19 9 57 7 143 72 130 16 150 
POR0065 1914 9377 1002 29 17 33 24 45 9 30 3 25 35 50 35 56 117 124 111 51 208 
POR0066 1916 2420 174 0 4 1 1 2 6 3 2 4 0 23 10 11 11 22 31 4 39 
POR0067 1867 12822 1246 58 4 39 17 39 4 47 13 7 30 40 53 47 146 169 173 42 318 
POR0068 1899 9176 779 45 11 32 10 42 6 30 9 26 28 28 35 35 112 90 85 46 109 
POR0069 1867 4233 503 36 3 23 5 26 3 11 3 7 6 9 23 28 63 92 61 11 93 
POR0070 1857 7026 664 21 2 42 28 83 9 31 4 0 10 11 32 27 141 64 52 14 93 
POR0071 1881 4515 281 2 4 19 5 12 8 12 3 0 9 7 29 14 24 12 38 14 69 
POR0072 1900 12284 933 12 6 50 37 59 4 62 2 3 16 12 69 33 145 116 109 26 172 
POR0073 1867 14607 1421 19 6 59 36 103 6 57 19 10 34 53 56 34 235 162 183 115 234 
POR0074 1900 18450 1496 36 18 12 10 49 51 59 56 17 22 130 73 92 169 153 199 84 266 
POR0075 1906 15523 1784 30 15 55 31 80 14 54 8 17 61 51 70 85 400 248 239 69 257 
POR0076 1894 8458 418 3 3 13 7 36 1 19 2 3 26 4 13 5 104 55 46 5 73 
POR0077 1857 9093 905 44 12 35 33 86 10 27 2 8 26 13 35 41 199 70 108 27 129 
POR0078 1908 12623 742 12 5 53 32 56 19 38 16 3 6 20 51 17 120 84 79 32 99 
POR0079 1879 16139 1099 14 7 24 19 35 6 29 33 18 1 80 29 56 136 84 113 192 223 
POR0080 1903 38021 4210 89 26 113 63 223 64 160 46 34 60 297 279 207 380 601 761 191 616 
POR0081 1878 10898 1022 30 1 35 13 94 4 43 10 2 16 49 68 6 159 77 187 31 197 
POR0082 1858 15767 1648 106 5 113 37 67 12 47 11 45 62 61 70 33 192 197 219 53 318 
POR0083 1908 2470 236 0 4 11 3 16 1 17 0 2 4 8 10 8 37 31 34 12 38 
POR0084 1866 8901 721 41 6 34 8 64 13 26 10 4 5 27 51 9 114 86 81 39 103 
POR0085 1863 12959 1342 44 8 42 12 74 10 44 15 7 48 56 64 50 216 166 198 54 234 
POR0086 1912 5435 642 56 1 13 25 27 13 10 18 9 17 25 23 58 75 72 66 64 70 
POR0087 1908 25837 2238 36 38 99 32 90 33 99 3 36 25 137 111 89 305 230 354 86 435 
POR0088 1864 27767 3110 99 38 186 60 130 24 117 13 19 58 138 256 66 532 314 382 81 597 
POR0089 1868 2406 240 8 3 9 2 10 0 5 6 0 6 5 6 3 37 30 53 15 42 
POR0090 1892 2127 135 0 1 6 4 11 1 0 1 0 5 2 2 5 28 7 20 10 32 
POR0091 1876 16881 1447 72 9 64 14 85 23 30 21 7 13 93 75 52 197 205 186 81 220 
POR0092 1878 10941 1004 30 11 33 11 60 8 58 4 3 19 34 68 44 115 148 142 24 192 
POR0093 1874 10800 1306 54 0 54 19 65 3 33 14 14 45 33 82 32 220 116 172 75 275 
POR0094 1862 7584 691 31 5 31 22 36 15 25 10 0 19 15 37 34 79 67 103 37 125 
POR0095 1905 9723 909 4 10 54 14 50 2 23 6 25 18 37 41 27 139 129 175 22 133 
POR0096 1858 8295 833 7 7 31 40 72 7 56 2 15 24 16 46 12 142 77 157 15 107 
POR0097 1906 26288 2728 75 50 55 28 87 42 60 9 65 10 159 186 110 274 487 465 60 506 
POR0098 1901 8321 869 20 14 55 8 43 15 30 8 2 23 32 63 12 67 114 157 21 185 
POR0099 1903 14964 1629 44 12 79 29 56 13 52 9 37 32 87 54 79 194 213 277 77 285 
POR0100 1889 16279 1423 17 19 67 15 66 51 37 6 12 11 14 67 27 308 136 211 69 290 
