textId year verbs innerVerbs ver saber querer sentir conhecer esperar pensar amar achar julgar crer desejar duvidar entender 
POR0001 1868 29002 2344  693 460 359 159 112 110 75 29 116 93 33 30 25 50

POR0002 1908 3151 241  55 45 33 46 15 7 13 15 3 2 0 5 0 2

POR0003 1848 23065 1381  388 284 152 85 71 68 44 51 96 12 57 13 20 40

POR0004 1846 11906 1153  295 242 148 96 51 42 39 108 55 9 47 14 7 0

POR0005 1888 37868 2556  630 463 416 190 196 133 121 43 194 19 53 44 27 27

POR0006 1855 9321 636  127 102 63 50 54 48 14 57 64 11 4 18 15 9

POR0007 1868 23858 2023  547 460 235 115 114 91 107 25 64 95 26 28 63 53

POR0008 1900 15018 730  65 177 95 60 75 62 73 12 21 3 21 44 10 12

POR0009 1875 26043 1840  495 303 322 205 71 70 124 42 69 26 26 42 21 24

POR0010 1862 9687 846  203 195 160 26 43 54 41 32 31 10 24 5 9 13

POR0011 1858 7765 666  143 141 117 26 39 30 8 39 20 15 35 8 6 39

POR0012 1854 37242 3688  817 717 705 267 332 192 90 122 146 76 87 42 34 61

POR0013 1906 8603 641  155 140 108 66 34 17 26 45 19 1 18 1 2 9

POR0014 1906 9557 678  188 115 141 56 27 44 27 14 7 18 12 11 9 9

POR0015 1867 28384 2804  635 553 428 235 128 124 145 100 100 102 77 44 56 77

POR0016 1865 15922 1050  307 194 145 62 58 74 1 29 69 29 26 23 14 19

POR0017 1874 9087 581  181 83 67 73 17 29 27 27 17 20 11 11 5 13

POR0018 1908 9635 588  132 114 66 41 48 33 31 8 44 18 15 17 18 3

POR0019 1914 4639 405  83 108 46 37 33 10 23 15 11 10 15 8 3 3

POR0020 1917 11476 690  201 131 129 73 43 25 17 1 24 6 18 5 5 12

POR0021 1888 4239 385  124 52 61 52 15 20 19 1 22 12 0 6 0 1

POR0022 1892 6305 418  100 76 57 29 37 21 19 10 28 5 1 14 12 9

POR0023 1844 10016 471  145 62 38 42 29 36 8 24 39 2 21 5 9 11

POR0024 1873 5148 455  107 65 49 49 13 41 19 23 10 22 17 9 29 2

POR0025 1870 11296 1142  242 207 173 73 41 62 31 157 24 31 52 32 13 4

POR0026 1883 20806 1549  343 235 202 182 132 53 79 45 51 49 21 84 16 57

POR0027 1873 9497 757  131 155 134 36 73 38 18 53 24 24 24 20 12 15

POR0028 1875 4457 311  44 65 36 24 7 23 17 57 3 5 10 12 4 4

POR0029 1876 3882 246  45 61 44 16 17 14 6 12 3 15 4 4 1 4

POR0030 1861 7167 418  99 91 31 34 34 15 20 41 9 5 9 8 10 12

POR0031 1897 8461 394  123 75 42 18 16 32 11 12 12 5 10 18 15 5

POR0032 1899 14686 1087  245 185 204 126 43 72 65 20 8 43 16 13 41 6

POR0033 1904 24331 2321  407 488 365 104 175 105 113 153 67 77 92 83 64 28

POR0034 1874 11060 837  191 172 108 44 25 48 56 53 21 27 26 42 16 8

POR0035 1900 8267 706  192 139 67 37 47 30 43 83 0 24 8 27 5 4

POR0036 1881 9367 714  186 108 89 93 46 29 51 19 24 8 7 26 13 15

POR0037 1905 38960 2557  564 711 484 106 113 178 57 46 27 47 68 31 18 107

POR0038 1843 9942 645  150 124 70 35 51 42 19 37 63 9 26 5 2 12

POR0039 1846 3322 266  71 34 39 14 22 13 11 25 6 26 2 1 2 0

POR0040 1857 6705 424  167 62 88 21 11 9 20 5 13 9 5 2 1 11

POR0041 1916 10955 696  118 116 109 70 55 17 63 51 14 32 16 22 4 9

POR0042 1904 10158 527  140 97 63 29 69 31 16 20 29 6 8 5 2 12

POR0043 1886 6416 528  135 74 78 66 26 28 34 11 29 9 10 6 3 19

POR0044 1877 2564 252  35 62 23 23 19 10 16 20 14 11 7 6 2 4

POR0045 1870 14326 965  214 240 162 52 78 38 17 47 16 27 12 24 15 23

POR0046 1875 10222 754  181 137 138 34 36 38 26 16 58 37 8 10 18 17

POR0047 1863 9937 659  178 108 56 31 49 36 38 3 56 38 10 9 16 31

POR0048 1864 2284 199  45 43 13 31 13 11 6 14 9 6 1 5 1 1

POR0049 1891 12891 1262  311 318 123 37 162 82 71 17 41 16 23 20 16 25

POR0050 1866 15131 1182  305 216 88 72 55 75 12 64 119 67 12 64 28 5

POR0051 1917 12058 727  177 159 147 99 12 36 22 9 5 10 32 5 2 12

POR0052 1903 8752 576  159 103 114 88 15 37 16 13 9 5 5 3 2 7

POR0053 1891 16804 973  293 164 201 74 49 37 37 34 38 16 12 6 1 11

POR0054 1901 22092 1378  462 250 290 74 67 29 49 21 43 17 16 6 19 35

POR0055 1873 11004 770  183 167 106 55 58 29 42 40 18 19 12 13 15 13

POR0056 1892 3972 337  58 48 62 27 8 24 18 52 20 9 3 2 4 2

POR0057 1849 5737 447  135 50 47 63 22 14 5 67 7 13 8 12 3 1

POR0058 1895 12924 877  206 167 136 48 68 42 61 27 27 31 12 17 16 19

POR0059 1875 8797 728  171 139 78 25 117 39 13 23 48 13 19 12 17 14

POR0060 1881 4124 309  98 62 53 37 13 6 8 8 9 2 2 2 0 9

POR0061 1871 9428 940  185 185 110 107 72 31 50 42 57 23 37 11 14 16

POR0062 1908 3333 295  70 62 42 35 13 7 23 4 15 5 8 7 0 4

POR0063 1870 12947 1105  264 192 175 116 65 41 45 56 92 13 25 9 6 6

POR0064 1873 8129 646  165 130 74 19 87 49 7 4 36 20 18 8 23 6

POR0065 1914 9377 834  243 113 130 65 33 32 56 36 25 37 15 24 11 14

POR0066 1916 2420 134  42 32 25 6 2 3 11 0 3 0 0 1 0 9

POR0067 1867 12822 1182  388 181 173 60 47 49 50 70 36 35 42 17 10 24

POR0068 1899 9176 634  120 89 92 69 34 33 35 50 18 33 4 10 16 31

POR0069 1867 4233 419  103 61 94 12 24 12 28 40 18 10 7 5 2 3

POR0070 1857 7026 488  110 53 65 16 42 32 28 23 68 13 2 28 7 1

POR0071 1881 4515 226  76 39 12 17 19 14 14 2 7 9 5 5 2 5

POR0072 1900 12284 768  184 113 119 30 55 67 33 14 54 17 9 37 21 15

POR0073 1867 14607 1120  279 184 162 155 61 59 35 27 13 42 31 36 31 5

POR0074 1900 18450 1089  327 199 160 125 17 63 92 40 11 25 3 11 12 4

POR0075 1906 15523 1293  292 245 252 83 62 60 85 36 25 67 16 34 6 30

POR0076 1894 8458 357  87 47 55 7 13 20 5 3 75 29 1 8 2 5

POR0077 1857 9093 705  166 109 71 29 38 29 42 51 61 28 13 33 23 12

POR0078 1908 12623 544  118 83 84 36 57 41 17 20 11 7 7 33 19 11

POR0079 1879 16136 959  255 117 91 277 29 34 58 16 28 5 6 19 13 11

POR0080 1903 38021 3307  732 776 611 232 131 178 207 96 105 61 32 64 56 26

POR0081 1878 10898 817  219 188 81 37 38 43 6 33 82 21 15 13 20 21

POR0082 1858 15767 1366  337 222 202 68 125 50 33 126 38 69 24 38 14 20

POR0083 1908 2470 188  45 36 34 12 14 17 8 0 2 4 6 3 4 3

POR0084 1866 8897 551  122 82 88 46 35 26 9 48 31 11 17 9 19 8

POR0085 1863 12959 1023  262 203 168 62 46 45 50 49 20 54 24 13 6 21

POR0086 1912 5435 606  119 68 75 91 15 12 59 70 21 18 18 28 5 7

POR0087 1908 25837 1815  503 378 232 121 107 111 90 41 55 28 37 33 60 19

POR0088 1864 27767 2322  680 384 314 90 195 121 66 110 135 62 29 60 49 27

POR0089 1868 2406 212  54 55 31 22 10 6 3 10 1 8 4 2 6 0

POR0090 1892 2127 106  35 20 7 11 8 0 5 0 3 6 3 4 1 3

POR0091 1876 16881 1153  245 189 207 97 70 32 52 89 56 16 30 14 21 35

POR0092 1878 10941 841  218 150 152 31 35 61 44 31 42 22 30 12 5 8

