textId year verbs innerVerbs amar conhecer crer desejar duvidar entender julgar pensar querer sentir 
POR0001 1868 29002 965  29 112 33 30 25 50 93 75 359 159

POR0002 1908 3151 131  15 15 0 5 0 2 2 13 33 46

POR0003 1848 23065 545  51 71 57 13 20 40 12 44 152 85

POR0004 1846 11906 519  108 51 47 14 7 0 9 39 148 96

POR0005 1888 37868 1136  43 196 53 44 27 27 19 121 416 190

POR0006 1855 9321 295  57 54 4 18 15 9 11 14 63 50

POR0007 1868 23858 861  25 114 26 28 63 53 95 107 235 115

POR0008 1900 15018 405  12 75 21 44 10 12 3 73 95 60

POR0009 1875 26043 903  42 71 26 42 21 24 26 124 322 205

POR0010 1862 9687 363  32 43 24 5 9 13 10 41 160 26

POR0011 1858 7765 332  39 39 35 8 6 39 15 8 117 26

POR0012 1854 37242 1816  122 332 87 42 34 61 76 90 705 267

POR0013 1906 8603 310  45 34 18 1 2 9 1 26 108 66

POR0014 1906 9557 324  14 27 12 11 9 9 18 27 141 56

POR0015 1867 28384 1392  100 128 77 44 56 77 102 145 428 235

POR0016 1865 15922 406  29 58 26 23 14 19 29 1 145 62

POR0017 1874 9087 271  27 17 11 11 5 13 20 27 67 73

POR0018 1908 9635 265  8 48 15 17 18 3 18 31 66 41

POR0019 1914 4639 193  15 33 15 8 3 3 10 23 46 37

POR0020 1917 11476 309  1 43 18 5 5 12 6 17 129 73

POR0021 1888 4239 167  1 15 0 6 0 1 12 19 61 52

POR0022 1892 6305 193  10 37 1 14 12 9 5 19 57 29

POR0023 1844 10016 189  24 29 21 5 9 11 2 8 38 42

POR0024 1873 5148 232  23 13 17 9 29 2 22 19 49 49

POR0025 1870 11296 607  157 41 52 32 13 4 31 31 173 73

POR0026 1883 20806 867  45 132 21 84 16 57 49 79 202 182

POR0027 1873 9497 409  53 73 24 20 12 15 24 18 134 36

POR0028 1875 4457 176  57 7 10 12 4 4 5 17 36 24

POR0029 1876 3882 123  12 17 4 4 1 4 15 6 44 16

POR0030 1861 7167 204  41 34 9 8 10 12 5 20 31 34

POR0031 1897 8461 152  12 16 10 18 15 5 5 11 42 18

POR0032 1899 14686 577  20 43 16 13 41 6 43 65 204 126

POR0033 1904 24331 1254  153 175 92 83 64 28 77 113 365 104

POR0034 1874 11060 405  53 25 26 42 16 8 27 56 108 44

POR0035 1900 8267 345  83 47 8 27 5 4 24 43 67 37

POR0036 1881 9367 367  19 46 7 26 13 15 8 51 89 93

POR0037 1905 38960 1077  46 113 68 31 18 107 47 57 484 106

POR0038 1843 9942 266  37 51 26 5 2 12 9 19 70 35

POR0039 1846 3322 142  25 22 2 1 2 0 26 11 39 14

POR0040 1857 6705 173  5 11 5 2 1 11 9 20 88 21

POR0041 1916 10955 431  51 55 16 22 4 9 32 63 109 70

POR0042 1904 10158 230  20 69 8 5 2 12 6 16 63 29

POR0043 1886 6416 262  11 26 10 6 3 19 9 34 78 66

POR0044 1877 2564 131  20 19 7 6 2 4 11 16 23 23

POR0045 1870 14326 457  47 78 12 24 15 23 27 17 162 52

POR0046 1875 10222 340  16 36 8 10 18 17 37 26 138 34

POR0047 1863 9937 281  3 49 10 9 16 31 38 38 56 31

POR0048 1864 2284 91  14 13 1 5 1 1 6 6 13 31

POR0049 1891 12891 510  17 162 23 20 16 25 16 71 123 37

POR0050 1866 15131 467  64 55 12 64 28 5 67 12 88 72

POR0051 1917 12058 350  9 12 32 5 2 12 10 22 147 99

POR0052 1903 8752 268  13 15 5 3 2 7 5 16 114 88

POR0053 1891 16804 441  34 49 12 6 1 11 16 37 201 74

POR0054 1901 22092 594  21 67 16 6 19 35 17 49 290 74

POR0055 1873 11004 373  40 58 12 13 15 13 19 42 106 55

POR0056 1892 3972 187  52 8 3 2 4 2 9 18 62 27

POR0057 1849 5737 241  67 22 8 12 3 1 13 5 47 63

POR0058 1895 12924 435  27 68 12 17 16 19 31 61 136 48

POR0059 1875 8797 331  23 117 19 12 17 14 13 13 78 25

POR0060 1881 4124 134  8 13 2 2 0 9 2 8 53 37

POR0061 1871 9428 482  42 72 37 11 14 16 23 50 110 107

POR0062 1908 3333 141  4 13 8 7 0 4 5 23 42 35

POR0063 1870 12947 516  56 65 25 9 6 6 13 45 175 116

POR0064 1873 8129 266  4 87 18 8 23 6 20 7 74 19

POR0065 1914 9377 421  36 33 15 24 11 14 37 56 130 65

POR0066 1916 2420 54  0 2 0 1 0 9 0 11 25 6

POR0067 1867 12822 528  70 47 42 17 10 24 35 50 173 60

POR0068 1899 9176 374  50 34 4 10 16 31 33 35 92 69

