0textId year verbs innerVerbs afla alege asculta auzi crede cunoaște ferici gândi hotărî iubi mulțumi plânge plăcea privi putea părea simți suferi trebui uita vedea voi vrea înțelege ști 
ROM001 1894 1599 217 10 2 11 25 4 1 1 6 4 2 4 3 1 8 19 9 5 6 14 7 24 2 31 4 14 
ROM002 1894 5745 619 76 13 16 27 16 17 1 14 26 2 22 10 5 12 19 11 11 5 22 15 163 34 18 5 59 
ROM003 1870 4939 693 5 1 11 33 24 16 12 13 0 35 6 16 11 25 48 126 20 7 22 48 112 0 29 8 65 
ROM004 1908 19998 2686 61 51 56 154 87 93 12 44 42 29 44 20 32 26 333 145 62 28 281 148 364 35 193 124 222 
ROM005 1883 4904 903 16 3 33 77 20 19 7 29 1 99 8 36 4 5 62 33 9 7 45 45 169 31 58 11 76 
ROM006 1873 16579 2296 114 41 31 58 97 96 9 55 49 114 46 38 47 15 261 25 64 33 161 59 296 15 275 42 255 
ROM007 1892 5136 798 57 5 18 26 35 21 18 21 20 41 14 23 3 14 75 24 13 27 60 19 122 24 31 19 68 
ROM008 1892 4978 473 25 9 11 19 15 21 1 12 2 10 7 9 19 4 33 14 13 4 12 30 114 6 53 4 26 
ROM009 1906 4189 412 28 0 3 16 24 6 5 10 9 19 2 5 3 4 36 32 27 4 21 17 66 9 17 6 43 
ROM010 1894 10806 1996 24 25 49 79 76 48 36 98 25 72 11 34 21 84 87 169 151 27 58 148 331 7 112 55 169 
ROM011 1872 5199 945 59 7 12 57 47 25 16 3 0 73 9 32 7 3 68 60 38 20 34 57 210 13 12 11 72 
ROM012 1887 9349 1538 76 16 45 80 63 37 12 19 5 41 24 20 9 7 98 46 43 17 95 108 337 49 60 62 169 
ROM013 1865 9011 2125 37 8 53 27 145 58 45 41 9 404 27 85 36 40 124 81 54 30 93 92 220 27 118 48 223 
ROM014 1865 3042 461 9 6 9 16 24 11 17 14 9 17 21 3 9 11 36 17 5 4 35 19 64 8 24 16 57 
ROM015 1861 3748 598 22 6 11 20 35 21 14 11 8 59 2 5 9 8 36 13 10 14 49 34 102 22 16 18 53 
ROM016 1855 6309 1276 42 7 29 44 67 43 21 20 9 126 18 26 18 22 115 52 20 19 76 32 187 36 78 37 132 
ROM017 1862 12488 2226 82 22 35 67 165 71 21 48 6 249 34 38 60 33 294 90 50 56 119 70 252 70 70 62 162 
ROM018 1864 10597 1665 65 16 37 62 106 56 10 49 20 86 19 18 13 22 157 41 38 35 171 39 239 65 66 76 159 
ROM019 1920 6545 1078 25 11 18 29 55 43 13 46 24 25 10 9 19 57 133 53 40 20 66 30 138 22 57 33 102 
ROM020 1920 6972 991 26 28 17 36 38 52 6 48 13 19 15 8 11 42 81 79 38 15 55 25 135 11 63 25 105 
ROM021 1920 4128 716 26 7 14 21 42 23 3 39 15 21 11 21 7 24 89 29 42 11 28 25 86 11 38 23 60 
ROM022 1894 5075 755 22 12 18 50 22 15 2 19 4 14 5 9 6 10 86 30 10 13 53 29 134 16 61 15 100 
ROM023 1892 3984 514 14 4 10 34 18 9 3 14 11 16 3 3 12 25 36 30 16 5 36 29 75 3 60 8 40 
ROM024 1912 18085 2205 124 46 75 111 87 88 6 61 40 36 40 46 15 133 118 108 76 12 133 62 263 42 151 73 259 
ROM025 1862 26259 4636 296 27 127 138 289 219 41 136 67 156 165 45 63 114 242 157 76 67 407 157 765 154 108 152 468 
ROM026 1899 6328 944 39 4 21 50 19 12 10 37 7 60 12 39 8 18 53 32 15 2 71 51 186 25 72 19 82 
ROM027 1896 7087 998 106 20 12 49 64 32 5 0 8 14 8 10 7 11 91 45 22 17 17 35 225 13 84 39 64 
ROM028 1898 9872 1478 9 9 25 86 45 37 9 85 0 41 18 70 21 67 91 111 137 35 45 102 262 56 34 36 47 
ROM029 1881 7962 1031 21 24 17 14 35 18 7 23 21 14 15 9 15 21 155 50 19 10 95 56 79 43 113 32 125 
ROM030 1903 7028 1365 6 16 46 37 64 24 41 47 15 159 11 15 12 48 41 97 72 19 108 70 197 45 48 8 119 
ROM031 1861 16952 2495 154 5 36 39 165 126 138 51 7 245 54 37 39 23 147 54 82 28 224 73 348 90 130 28 172 
ROM032 1890 3722 598 10 5 11 21 25 30 10 25 12 19 12 2 10 16 35 26 6 8 44 25 92 6 69 16 63 
ROM033 1920 2227 290 32 4 3 23 21 8 0 2 0 1 0 1 0 6 18 9 6 1 25 12 55 10 11 6 36 
ROM034 1855 7024 1096 43 8 37 55 48 42 27 18 6 24 11 42 17 15 149 59 27 37 57 51 140 58 20 21 84 
ROM035 1908 5163 632 2 26 20 34 14 12 4 21 6 21 6 36 6 19 60 13 28 8 45 55 82 2 37 23 52 
