textId year verbs innerVerbs aduce aștepta crede cunoaște gândi găsi intra iubi plăcea simți trece uita vedea vrea înțelege ști 
ROM001 1894 1599 133  8 0 4 1 6 16 4 2 1 5 6 7 24 31 4 14

ROM002 1894 5745 513  52 13 16 17 14 59 29 2 5 11 35 15 163 18 5 59

ROM003 1870 4939 487  14 5 24 16 13 14 33 35 11 20 40 48 112 29 8 65

ROM004 1908 19998 2060  175 60 87 93 44 164 113 29 32 62 150 148 364 193 124 222

ROM005 1883 4904 664  11 15 20 19 29 36 22 99 4 9 41 45 169 58 11 76

ROM006 1873 16579 1948  113 59 97 96 55 159 105 114 47 64 112 59 296 275 42 255

ROM007 1892 5136 544  25 16 35 21 21 35 39 41 3 13 36 19 122 31 19 68

ROM008 1882 4978 467  38 6 15 21 12 28 41 10 19 13 37 30 114 53 4 26

ROM009 1906 4189 333  19 16 24 6 10 8 11 19 3 27 41 17 66 17 6 43

ROM010 1894 10806 1618  76 48 76 48 98 65 45 72 21 151 103 148 331 112 55 169

ROM011 1872 5199 688  10 31 47 25 3 2 33 73 7 38 57 57 210 12 11 72

ROM012 1887 9349 1185  41 56 63 37 19 6 58 41 9 43 76 108 337 60 62 169

ROM013 1865 9011 1665  36 35 145 58 41 79 19 404 36 54 57 92 220 118 48 223

ROM014 1865 3042 343  9 12 24 11 14 25 15 17 9 5 22 19 64 24 16 57

ROM015 1861 3748 470  15 18 35 21 11 30 18 59 9 10 21 34 102 16 18 53

ROM016 1855 6309 941  33 24 67 43 20 25 43 126 18 20 56 32 187 78 37 132

ROM017 1862 12488 1635  70 44 165 71 48 88 74 249 60 50 100 70 252 70 62 162

ROM018 1864 10597 1249  45 28 106 56 49 51 110 86 13 38 88 39 239 66 76 159

ROM019 1920 6545 793  41 44 55 43 46 34 26 25 19 40 60 30 138 57 33 102

ROM020 1920 6972 813  66 42 38 52 48 34 48 19 11 38 64 25 135 63 25 105

ROM021 1920 4128 537  28 17 42 23 39 23 18 21 7 42 45 25 86 38 23 60

ROM022 1894 5075 651  46 27 22 15 19 57 43 14 6 10 53 29 134 61 15 100

ROM023 1892 3984 476  17 22 18 9 14 36 38 16 12 16 66 29 75 60 8 40

ROM024 1912 18085 1746  100 72 87 88 61 71 145 36 15 76 187 62 263 151 73 259

ROM025 1862 26259 3654  156 167 289 219 136 307 244 156 63 76 191 157 765 108 152 468

ROM026 1899 6328 798  73 16 19 12 37 38 52 60 8 15 58 51 186 72 19 82

ROM027 1896 7087 804  48 7 64 32 0 58 43 14 7 22 62 35 225 84 39 64

ROM028 1898 9872 1124  45 28 45 37 85 55 99 41 21 137 50 102 262 34 36 47

ROM029 1881 7962 768  49 47 35 18 23 39 44 14 15 19 60 56 79 113 32 125

ROM030 1903 7028 990  30 37 64 24 47 24 22 159 12 72 57 70 197 48 8 119

ROM031 1861 16952 1756  31 51 165 126 51 43 81 245 39 82 91 73 348 130 28 172

ROM032 1890 3722 512  27 24 25 30 25 24 22 19 10 6 35 25 92 69 16 63

ROM033 1920 2227 242  18 18 21 8 2 13 21 1 0 6 14 12 55 11 6 36

ROM034 1855 7024 692  38 47 48 42 18 63 18 24 17 27 34 51 140 20 21 84

ROM035 1908 5163 487  30 15 14 12 21 38 13 21 6 28 40 55 82 37 23 52

ROM036 1902 7668 1084  32 14 110 16 44 31 32 194 10 87 57 119 178 43 13 104

