textId year verbs innerVerbs aștepta crede cunoaște gândi iubi părea simți vrea înțelege ști 
ROM001 1894 1599 76  0 4 1 6 2 9 5 31 4 14

ROM002 1894 5745 166  13 16 17 14 2 11 11 18 5 59

ROM003 1870 4939 341  5 24 16 13 35 126 20 29 8 65

ROM004 1908 19998 1059  60 87 93 44 29 145 62 193 124 222

ROM005 1883 4904 369  15 20 19 29 99 33 9 58 11 76

ROM006 1873 16579 1082  59 97 96 55 114 25 64 275 42 255

ROM007 1892 5136 289  16 35 21 21 41 24 13 31 19 68

ROM008 1882 4978 174  6 15 21 12 10 14 13 53 4 26

ROM009 1906 4189 200  16 24 6 10 19 32 27 17 6 43

ROM010 1894 10806 998  48 76 48 98 72 169 151 112 55 169

ROM011 1872 5199 372  31 47 25 3 73 60 38 12 11 72

ROM012 1887 9349 596  56 63 37 19 41 46 43 60 62 169

ROM013 1865 9011 1207  35 145 58 41 404 81 54 118 48 223

ROM014 1865 3042 197  12 24 11 14 17 17 5 24 16 57

ROM015 1974 (1861 3748 254  18 35 21 11 59 13 10 16 18 53

ROM016 1855 6309 599  24 67 43 20 126 52 20 78 37 132

ROM017 1862 12488 1011  44 165 71 48 249 90 50 70 62 162

ROM018 1864 10597 705  28 106 56 49 86 41 38 66 76 159

ROM019 1920 6545 498  44 55 43 46 25 53 40 57 33 102

ROM020 1920 6972 509  42 38 52 48 19 79 38 63 25 105

ROM021 1920 4128 334  17 42 23 39 21 29 42 38 23 60

ROM022 1894 5075 313  27 22 15 19 14 30 10 61 15 100

ROM023 1892 3984 233  22 18 9 14 16 30 16 60 8 40

ROM024 1912 18085 1011  72 87 88 61 36 108 76 151 73 259

ROM025 1862 26259 1928  167 289 219 136 156 157 76 108 152 468

ROM026 1899 6328 364  16 19 12 37 60 32 15 72 19 82

ROM027 1896 7087 371  7 64 32 0 14 45 22 84 39 64

ROM028 1898 9872 601  28 45 37 85 41 111 137 34 36 47

ROM029 1881 7962 476  47 35 18 23 14 50 19 113 32 125

ROM030 1903 7028 675  37 64 24 47 159 97 72 48 8 119

ROM031 1861 16952 1104  51 165 126 51 245 54 82 130 28 172

ROM032 1890 3722 303  24 25 30 25 19 26 6 69 16 63

ROM033 1920 2227 118  18 21 8 2 1 9 6 11 6 36

ROM034 1855 7024 390  47 48 42 18 24 59 27 20 21 84

ROM035 1908 5163 236  15 14 12 21 21 13 28 37 23 52

ROM036 1902 7668 764  14 110 16 44 194 139 87 43 13 104

ROM037 1903 8760 456  13 60 35 40 34 21 25 131 20 77

ROM038 1902 7293 350  15 33 23 4 52 42 62 41 23 55

ROM039 1882 4517 256  31 34 11 39 20 19 19 12 33 38

ROM040 1912 11151 943  30 67 80 42 76 50 36 187 42 333

ROM041 1873 10254 809  59 62 55 77 128 90 93 76 25 144

ROM042 1906 8063 529  32 25 35 30 8 88 41 133 31 106

ROM043 1858 7762 449  24 39 76 29 46 52 26 57 16 84

ROM044 1873 9799 432  50 51 53 18 74 49 24 66 45 2

ROM045 1863 10741 540  30 63 80 40 47 36 33 29 47 135

ROM046 1855 1812 85  9 7 5 2 6 2 5 25 9 15

ROM047 1903 17599 917  33 73 83 44 51 182 113 148 54 136

ROM048 1891 8732 344  40 26 14 19 3 18 30 84 25 85

ROM049 1882 1648 83  8 5 5 7 0 6 6 16 2 28

ROM050 1885 4570 211  32 19 10 10 12 14 18 48 18 30

ROM051 1883 6056 341  21 20 16 19 78 44 23 63 30 27

ROM052 1907 5246 392  22 16 12 54 2 75 32 69 39 71

ROM053 1902 7208 656  43 46 23 52 54 111 74 105 43 105

ROM054 1904 11702 316  55 15 12 11 7 107 21 19 8 61

ROM055 1906 8069 393  57 21 23 22 20 107 44 33 15 51

ROM056 1904 34177 1757  185 193 192 88 121 158 132 156 92 440

ROM057 1912 10947 443  54 45 45 11 28 41 24 30 26 139

ROM058 0000 5759 462  37 66 41 13 70 44 36 10 31 114

ROM059 1907 18642 1389  71 172 72 102 84 142 95 232 33 386

ROM060 1903 23190 1740  83 270 41 113 127 245 177 322 91 271

ROM061 1906 19231 1562  102 152 76 137 89 210 181 230 48 337

ROM062 1887 8705 242  1 46 14 2 26 75 21 41 1 15

ROM063 1898 10926 334  8 55 29 8 33 29 20 123 4 25

ROM064 1909 1876 105  5 7 15 11 12 5 11 11 3 25

ROM065 1920 4456 401  18 42 49 17 52 58 45 26 35 59

ROM066 1913 3747 250  30 23 15 20 30 24 47 15 8 38

ROM067 0000 3597 226  16 26 16 11 16 29 7 24 18 63

ROM068 0000 17679 1321  80 128 143 85 75 146 145 100 127 292

ROM069 0000 16032 1761  93 113 57 178 147 222 97 320 77 457

ROM070 1920 9658 761  47 52 63 44 54 54 35 137 59 216

ROM071 1906 18153 1404  87 78 58 83 52 90 135 139 108 574

ROM072 1902 13444 610  54 28 22 45 19 23 67 92 56 204

ROM073 1920 12471 915  43 66 35 51 16 66 42 159 58 379

ROM074 1910 16831 926  68 94 75 60 75 72 54 92 62 274

ROM075 1914 11547 646  39 94 54 37 54 51 22 70 46 179

ROM076 1920 28129 1877  146 126 76 187 78 213 248 330 109 364

ROM077 1914 29917 2504  160 276 117 241 50 581 326 155 137 461

ROM078 1912 18240 994  53 92 96 36 106 79 65 153 63 251

ROM079 1904 9407 741  47 56 41 71 23 67 98 109 52 177

ROM080 1883 13525 800  70 133 28 41 35 135 58 69 79 152

ROM081 1916 3136 190  20 16 22 6 0 26 21 36 4 39

ROM082 1906 11161 1067  59 69 77 69 108 114 153 152 68 198

ROM083 1918 6452 432  30 28 43 32 22 53 66 74 20 64

ROM084 1899 3191 114  3 18 19 1 9 21 6 6 8 23

ROM085 1911 18207 1210  107 140 165 71 100 124 118 105 58 222

ROM086 1871 5500 350  29 46 23 20 46 41 14 25 27 79

ROM087 1916 4944 425  27 33 20 32 43 45 62 48 20 95

ROM088 1899 4509 321  3 33 7 27 74 47 45 33 18 34

ROM089 1875 4922 376  20 36 16 19 133 37 25 25 18 47

ROM090 1908 6429 365  21 35 15 12 25 52 31 76 4 94

ROM091 1920 7103 483  22 58 21 15 7 85 41 99 9 126

ROM092 1910 6964 410  23 54 6 11 13 57 36 100 5 105

ROM093 1911 5289 596  22 45 22 52 86 101 51 83 44 90

ROM094 1903 2831 195  9 23 19 11 3 26 17 17 13 57

ROM095 1862 27647 1722  43 278 84 0 153 136 83 501 135 309

ROM096 1853 3821 246  11 12 35 22 32 9 12 45 19 49

ROM097 1860 11463 697  28 63 46 3 277 89 76 26 31 58

ROM098 1871 6605 268  17 59 19 3 51 10 8 33 0 68

ROM099 1876 16359 587  12 99 43 53 92 62 18 74 0 134

ROM100 1863 11458 559  43 47 80 16 60 54 25 77 44 113
