0textId year verbs innerVerbs bati gledati hoteti ljubiti misliti morati moči pogledati pričakovati skleniti skrbeti skrbeti slišati smeti trpeti upati vedeti videti zdeti želeti 
SLV00024 1891 11957 1541 43 67 167 37 132 181 163 37 12 26 29 29 49 61 11 16 233 153 65 30 
SLV00048 1896 6766 728 17 22 89 65 37 96 108 23 5 5 10 10 8 24 9 5 81 72 20 22 
SLV00058 1883 5338 680 13 45 87 47 36 58 85 28 14 1 3 3 2 17 0 5 144 66 11 15 
SLV00072 1897 8747 960 21 29 157 52 80 117 134 32 18 16 11 11 55 18 23 14 77 87 2 6 
SLV00090 1894 6329 840 38 34 52 6 68 58 85 40 4 7 14 14 15 15 3 16 213 106 39 13 
SLV00092 1892 5228 600 11 24 75 7 80 25 70 23 4 11 8 8 7 14 4 14 127 49 26 13 
SLV00094 1881 9812 1350 30 99 227 25 94 108 105 31 52 31 22 22 69 38 18 31 176 125 14 33 
SLV00098 1883 5937 638 16 18 123 9 41 66 68 14 17 17 12 12 5 8 4 26 131 47 1 3 
SLV00099 1877 9522 1219 23 61 176 27 55 133 129 99 9 9 14 14 4 51 13 19 254 115 5 9 
SLV00103 1883 4521 570 4 20 78 30 40 76 75 17 10 6 5 5 1 21 7 10 100 61 0 4 
SLV00111 1891 10200 1101 53 77 83 12 94 115 122 35 14 30 28 28 30 33 9 19 140 91 66 22 
SLV00112 1885 6986 701 20 50 76 19 46 80 79 33 14 15 3 3 31 19 3 20 85 65 28 12 
SLV00122 1870 11889 1599 41 33 157 25 142 151 172 37 34 44 15 15 36 26 23 71 275 195 82 25 
SLV00126 1892 5749 889 38 29 160 13 57 71 102 30 17 10 15 15 29 19 17 18 126 85 23 15 
SLV00132 1895 5230 649 16 56 86 6 46 38 72 35 8 2 3 3 47 9 0 3 106 65 38 10 
SLV00135 1894 13919 1957 50 111 250 29 155 103 251 46 49 79 38 38 71 57 17 70 207 167 69 100 
SLV00136 1891 4929 445 7 40 76 2 17 55 54 11 10 6 1 1 4 38 4 2 42 63 5 7 
SLV00172 1883 10780 1608 44 110 213 66 154 150 227 36 51 13 16 16 25 33 16 31 167 160 50 30 
SLV00174 1893 12403 1450 33 126 98 15 64 193 262 30 32 3 13 13 9 109 18 6 139 192 45 50 
SLV00187 1885 3919 456 11 22 58 17 33 48 61 7 11 4 4 4 1 21 0 3 80 41 13 17 
SLV00194 1876 4881 606 13 44 59 28 39 60 62 36 8 5 7 7 9 13 4 3 121 74 9 5 
SLV00216 1881 7426 1099 29 72 136 34 79 85 120 34 5 16 4 4 47 21 0 15 229 122 36 11 
SLV00217 1886 6128 925 39 59 138 26 46 90 115 30 8 14 5 5 60 38 2 18 85 98 32 17 
SLV00227 1887 4371 640 8 52 67 63 35 73 95 11 6 0 9 9 4 14 10 8 92 61 11 12 
SLV00231 1885 6246 975 24 71 158 41 55 88 96 58 6 7 14 14 1 31 18 22 138 92 20 21 
SLV00234 1896 3771 618 20 13 64 43 32 50 84 21 3 6 6 6 0 21 16 8 83 69 40 33 
