textId year verbs innerVerbs molčati morati moči nameravati odločiti opaziti pozabiti razumeti skrbeti spoznati 
SLV00024 1891 11957 468  6 181 163 0 2 14 19 19 29 35

SLV00048 1896 6766 278  15 96 108 1 2 2 17 17 10 10

SLV00058 1883 5338 207  16 58 85 10 0 7 14 2 3 12

SLV00072 1897 8747 367  37 117 134 0 5 9 20 1 11 33

SLV00090 1894 6329 233  17 58 85 0 1 9 34 4 14 11

SLV00092 1892 5228 169  12 25 70 0 4 8 23 14 8 5

SLV00094 1881 9812 323  9 108 105 2 8 11 24 4 22 30

SLV00098 1883 5937 218  15 66 68 0 1 14 9 16 12 17

SLV00099 1877 9522 385  29 133 129 0 2 15 44 6 14 13

SLV00103 1883 4521 226  10 76 75 0 1 9 29 4 5 17

SLV00111 1891 10200 378  15 115 122 5 16 6 24 19 28 28

SLV00112 1885 6986 209  4 80 79 2 6 2 13 1 3 19

SLV00122 1870 11889 452  17 151 172 2 5 5 28 15 15 42

SLV00126 1892 5749 251  22 71 102 4 2 4 11 3 15 17

SLV00132 1895 5230 184  6 38 72 0 1 12 19 8 3 25

SLV00135 1894 13919 531  11 103 251 0 33 21 24 5 38 45

SLV00136 1891 4929 167  14 55 54 0 2 21 6 0 1 14

SLV00172 1883 10780 555  24 150 227 5 20 15 29 16 16 53

SLV00174 1893 12403 576  13 193 262 0 17 3 30 3 13 42

SLV00187 1885 3919 164  17 48 61 2 3 4 21 1 4 3

SLV00194 1876 4881 182  16 60 62 2 4 3 15 9 7 4

SLV00216 1881 7426 300  16 85 120 2 4 10 26 9 4 24

SLV00217 1886 6128 293  16 90 115 6 4 11 8 20 5 18

SLV00227 1887 4371 214  8 73 95 3 2 0 18 2 9 4

SLV00231 1885 6246 257  14 88 96 0 3 1 15 16 14 10

SLV00234 1896 3771 170  4 50 84 1 2 3 4 3 6 13

SLV00240 1897 8419 341  7 92 150 3 9 5 27 6 7 35

SLV00273 1899 6334 267  25 115 76 0 5 0 11 3 10 22

SLV00278 1897 13120 490  20 204 143 3 15 1 14 47 19 24

SLV00279 1877 8171 362  13 128 142 1 1 9 21 13 13 21

SLV00310 1903 5581 168  4 33 81 0 1 1 18 5 2 23

SLV00324 1917 4116 181  18 53 66 0 0 24 10 0 1 9

SLV00325 1916 5024 200  7 73 62 1 4 5 9 23 5 11

SLV00345 1909 6846 253  19 65 98 0 5 6 19 20 4 17

SLV00352 1910 9722 298  16 98 78 0 6 2 58 22 7 11

SLV00355 1917 10693 470  21 172 151 1 23 0 25 49 3 25

SLV00363 1882 9911 336  17 145 130 1 1 1 16 9 5 11

SLV00364 1908 7551 257  14 96 69 1 2 2 18 23 11 21

SLV00373 1900 10094 483  20 144 198 1 4 4 32 10 40 30

SLV00391 1909 11243 589  41 166 226 10 11 21 63 15 14 22

SLV00398 1906 6120 183  19 35 51 4 2 5 14 25 2 26

SLV00401 1902 9086 210  13 32 75 3 0 12 22 17 15 21

SLV00406 1905 13590 518  29 181 191 3 6 68 20 2 10 8

SLV00410 1901 5774 189  15 31 63 1 0 17 14 21 7 20

SLV00417 1915 12131 299  31 70 124 1 1 12 18 18 13 11

SLV00421 1895 4668 208  8 69 77 6 5 6 11 0 3 23

SLV00425 1901 4537 137  1 59 43 1 4 4 7 3 5 10

SLV00452 1903 8936 343  30 109 127 1 4 19 9 12 6 26

SLV00454 1904 9687 441  23 198 141 11 10 8 8 9 6 27

SLV00455 1904 9258 386  8 121 152 5 15 2 13 14 8 48

SLV00456 1910 4875 238  6 52 103 5 8 1 19 15 2 27

SLV00458 1904 9328 425  10 124 172 7 13 3 18 21 21 36

SLV00459 1907 13715 664  12 217 275 12 25 2 28 22 16 55

SLV00460 1909 7618 462  4 124 202 2 14 9 43 14 10 40

SLV00461 1909 6214 354  12 89 150 4 10 2 36 19 7 25

SLV00473 1895 8855 315  18 111 86 7 7 11 26 20 7 22

SLV00476 1917 4930 175  6 64 61 3 1 8 12 8 4 8

SLV00478 1918 6619 207  24 48 73 0 2 2 19 20 8 11

SLV00483 1913 18421 794  22 249 283 2 11 47 41 61 11 67

SLV00496 1904 9750 290  23 105 89 2 0 1 12 21 11 26

SLV00497 1903 4787 143  4 47 47 1 1 3 14 8 6 12

SLV00498 1912 8440 255  23 55 60 3 8 18 20 36 16 16

SLV00502 1905 5504 158  22 62 39 2 1 2 13 5 6 6

SLV00506 1909 16207 443  58 124 118 2 8 1 51 44 20 17

