0textId year verbs innerVerbs amar creer cumplir deber desear jurar llorar mirar morir necesitar parecer pensar poder querer saber sentir sufrir ver 
SPA1001 1844 12484 1237 34 59 17 8 6 4 12 74 56 9 184 84 8 170 145 44 28 295 
SPA1002 1852 6616 609 32 62 7 9 5 25 14 65 32 9 36 31 2 52 63 21 24 120 
SPA1003 1855 16272 1424 43 94 44 15 24 31 14 103 48 49 78 68 25 174 196 91 40 287 
SPA1004 1844 13576 2031 15 104 25 11 26 8 73 169 63 27 163 104 27 401 260 64 7 484 
SPA1005 1852 12562 1510 74 116 9 13 37 2 32 91 39 18 109 128 15 205 223 109 31 259 
SPA1006 1855 15477 1573 147 89 34 31 47 60 10 29 43 49 91 43 48 212 151 71 74 344 
SPA1007 1859 6806 929 51 66 6 5 8 6 29 56 52 9 137 19 6 132 91 55 32 169 
SPA1008 1856 28382 3225 85 318 50 25 104 37 51 153 80 51 347 230 40 381 502 100 27 644 
SPA1009 1840 1995 248 9 11 4 1 3 0 17 18 18 3 22 4 5 32 36 15 3 47 
SPA1010 1856 19296 2415 165 195 41 27 38 17 51 157 93 81 144 57 25 331 283 138 74 498 
SPA1011 1852 22474 2050 52 234 64 56 93 38 32 23 67 77 117 92 63 292 257 38 18 437 
SPA1012 1850 7093 874 37 44 12 6 3 11 21 75 47 4 59 29 7 125 97 45 21 231 
SPA1013 1842 7531 821 30 93 22 7 11 17 16 22 46 11 79 32 7 81 108 36 15 188 
SPA1014 1859 45609 5050 116 284 144 57 89 62 103 256 202 115 288 396 123 690 666 339 201 919 
SPA1015 1856 12518 1284 56 96 25 26 38 33 19 68 29 25 103 64 28 176 181 53 25 239 
SPA1016 1857 10141 1158 73 92 9 3 9 16 46 51 140 21 67 62 7 121 136 39 23 243 
SPA1017 1853 11291 1502 24 100 9 7 32 1 43 84 58 16 128 73 26 328 238 52 18 265 
SPA1018 1856 24102 2226 40 146 69 47 52 67 19 104 105 85 116 107 50 295 378 51 39 456 
SPA1021 1841 6759 931 92 57 8 12 20 6 49 45 40 19 100 38 10 91 81 49 24 190 
SPA1022 1842 10936 1432 123 154 12 21 37 16 40 57 34 39 136 82 11 174 155 75 25 241 
SPA1023 1857 2563 285 4 23 7 4 8 6 2 19 7 7 28 17 3 30 54 11 3 52 
SPA1024 1853 17930 2185 201 152 30 14 14 32 40 151 116 55 111 85 26 247 236 86 57 532 
SPA1025 1846 25457 3500 148 173 24 249 24 53 27 97 129 25 163 91 728 446 435 99 45 544 
SPA2001 1877 10480 1370 104 92 26 7 20 2 30 67 49 62 126 53 25 174 138 99 19 277 
SPA2002 1867 10360 1422 64 73 17 12 39 15 17 57 59 34 134 56 16 216 231 59 17 306 
SPA2003 1873 6742 809 3 76 9 5 6 6 7 24 29 16 134 24 15 96 100 34 8 217 
SPA2004 1875 13310 1561 55 174 12 16 32 23 46 93 88 48 100 74 20 179 227 63 12 299 
SPA2005 1874 3267 370 6 36 1 2 3 0 6 31 11 13 23 16 5 55 45 15 1 101 
SPA2006 1872 2799 453 3 32 3 1 5 1 5 47 15 4 34 19 2 66 74 16 15 111 
SPA2007 1872 5070 671 1 53 5 5 11 3 3 47 10 15 30 18 4 96 131 30 21 188 
SPA2008 1857 2695 262 4 16 2 6 4 1 2 18 16 3 19 11 4 47 21 10 3 75 
SPA2009 1878 7176 1157 11 71 2 2 8 4 20 90 30 12 143 50 11 152 137 80 6 328 
SPA2010 1874 1856 141 10 6 2 0 4 5 2 1 12 4 5 4 0 28 23 10 1 24 
SPA2011 1863 15476 1023 22 120 22 23 9 25 12 15 11 37 263 3 24 113 121 47 14 142 
SPA2012 1860 42652 5162 124 356 84 73 63 26 44 359 159 193 232 269 197 622 683 276 105 1297 
SPA2013 1862 28381 3182 83 237 85 34 56 31 22 203 63 116 229 236 53 436 457 147 117 577 
SPA2014 1875 7119 804 3 47 9 1 26 4 3 76 27 31 123 24 12 112 49 32 16 209 
SPA2015 1876 10570 1305 44 94 16 10 16 9 34 66 43 32 109 88 9 199 154 84 19 279 
SPA2016 1879 7041 827 82 67 23 9 20 1 9 38 32 10 48 64 5 108 101 60 5 145 
SPA2017 1874 6995 924 73 70 14 14 19 1 12 47 19 12 70 59 11 134 116 63 8 182 
SPA2018 1876 7437 1030 57 48 14 6 21 9 34 82 53 35 81 38 9 121 132 79 41 170 
SPA2019 1875 14718 1839 163 164 29 18 32 5 15 71 46 18 127 107 16 305 237 108 11 367 
SPA2020 1879 10925 1164 6 73 32 23 15 21 17 81 16 45 62 85 9 134 183 45 2 315 
SPA2021 1878 63088 7963 358 851 163 104 207 124 98 237 156 187 391 277 165 1016 1517 348 167 1597 
SPA2022 1865 15052 2032 150 136 17 25 65 1 58 92 72 33 131 110 31 300 266 99 37 409 
SPA3001 1887 57203 8370 36 615 65 28 105 43 95 691 176 106 812 466 98 1367 1161 428 24 2054 
SPA3002 1884 38579 5955 65 529 34 50 35 55 92 298 164 138 538 580 60 887 874 471 23 1062 
SPA3003 1890 10451 1588 41 113 9 13 11 13 27 71 47 30 154 215 11 190 232 130 6 275 
SPA3004 1886 10848 1059 6 59 13 2 17 7 19 85 20 31 136 82 13 109 123 66 11 260 
SPA3005 1887 11439 1282 5 68 10 4 9 7 21 117 34 22 155 89 14 172 174 78 9 294 
SPA3006 1881 2897 351 3 19 5 5 6 4 18 24 36 9 14 14 7 57 48 16 4 62 
SPA3007 1885 13769 1546 3 74 23 19 22 27 21 150 13 32 102 90 23 220 262 77 6 382 
SPA3008 1895 15043 1710 5 89 22 12 41 24 32 110 31 55 219 91 24 136 248 96 7 468 
SPA3009 1894 10622 1308 15 77 10 7 17 9 38 119 42 31 140 120 7 140 127 110 37 262 
SPA3010 1898 6509 721 2 36 4 2 16 5 30 57 27 7 105 36 2 66 63 66 16 181 
SPA3011 1894 2310 284 3 16 6 1 2 2 9 18 6 11 25 19 3 33 38 16 3 73 
SPA3012 1880 15741 1072 6 115 16 46 19 18 1 33 4 47 168 45 7 117 121 62 14 233 
SPA3013 1890 16568 1562 9 136 8 7 15 3 57 179 36 29 201 78 13 194 145 79 8 365 
SPA3014 1890 4919 509 19 45 12 7 10 8 8 10 7 11 52 19 12 69 71 22 5 122 
SPA3015 1885 4284 663 24 40 2 4 4 7 12 50 29 13 99 54 11 97 98 29 8 82 
SPA3016 1896 9082 1267 12 74 7 6 26 9 33 89 56 27 119 51 24 243 170 89 33 199 
SPA3017 1881 4251 616 37 32 6 0 16 1 7 37 33 8 58 21 12 69 83 69 16 111 
SPA3018 1897 9126 691 18 73 20 8 36 1 3 11 32 14 96 33 3 54 73 28 28 160 
SPA3019 1885 4176 505 13 36 2 3 9 1 8 42 8 7 51 52 4 53 73 23 13 107 
SPA3020 1887 15096 1591 17 72 19 2 22 13 48 124 47 35 85 86 14 291 272 90 14 340 
SPA3021 1891 4523 461 3 49 12 5 6 5 15 18 28 7 54 22 3 52 75 9 11 87 
SPA3022 1890 17170 1699 10 114 21 9 27 8 19 162 36 41 141 106 13 234 262 108 19 369 
SPA3023 1889 5152 640 18 31 5 3 3 1 17 43 38 15 49 36 11 89 76 27 10 168 
SPA3024 1892 5169 547 6 48 1 2 16 3 17 28 1 10 28 25 3 94 64 34 2 165 
SPA3025 1885 6049 955 29 30 4 1 10 7 47 83 20 24 50 58 12 196 147 63 27 147 
SPA3026 1886 1574 220 0 19 1 1 1 1 5 13 6 2 19 18 2 29 22 22 4 55 
SPA3027 1883 8595 962 2 32 9 12 4 7 27 96 28 12 87 42 8 159 124 14 1 298 
SPA3028 1881 13085 1259 19 93 20 9 31 4 71 66 77 21 70 40 15 183 196 47 41 256 
SPA3029 1882 8636 938 16 59 9 36 17 13 6 61 20 24 83 43 142 116 104 42 5 142 
SPA4001 1910 1961 254 2 16 4 4 2 0 14 22 9 2 17 14 0 26 46 15 9 52 
SPA4002 1910 6769 938 17 53 6 2 12 8 25 144 23 8 122 33 6 126 111 53 5 184 
SPA4003 1914 7865 1391 9 152 2 6 14 8 35 90 93 11 108 110 11 230 220 74 10 208 
SPA4004 1914 12135 1210 3 94 10 7 8 11 37 120 27 17 53 81 11 199 185 45 19 283 
SPA4005 1903 3034 288 5 14 4 0 4 4 7 32 7 3 45 3 2 36 35 36 1 50 
SPA4006 1915 1345 86 1 6 4 0 0 2 0 5 0 6 4 6 3 18 8 4 2 17 
SPA4007 1909 5249 471 9 28 6 3 11 2 18 25 25 10 57 28 4 69 34 44 10 88 
SPA4008 1905 5326 550 12 36 4 4 14 4 13 46 35 17 33 47 4 61 50 52 26 92 
SPA4009 1902 3044 382 7 24 0 1 4 3 17 36 22 1 49 12 6 54 47 30 7 62 
SPA4010 1909 3608 340 5 15 1 1 2 2 7 71 9 0 33 9 4 29 48 20 0 84 
