0textId year verbs innerVerbs ver:perception querer:volition saber:cognition parecer:perception creer:cognition mirar:perception pensar:cognition sentir:physiology morir:physiology amar:affect necesitar:volition poder:volition llorar:affect desear:affect sufrir:physiology cumplir:moral deber:moral jurar:moral 
SPA1001 1844 12484 1237 295 170 145 184 59 74 84 44 56 34 9 8 12 6 28 17 8 4 
SPA1002 1852 6616 609 120 52 63 36 62 65 31 21 32 32 9 2 14 5 24 7 9 25 
SPA1003 1855 16272 1424 287 174 196 78 94 103 68 91 48 43 49 25 14 24 40 44 15 31 
SPA1004 1844 13576 2031 484 401 260 163 104 169 104 64 63 15 27 27 73 26 7 25 11 8 
SPA1005 1852 12562 1510 259 205 223 109 116 91 128 109 39 74 18 15 32 37 31 9 13 2 
SPA1006 1855 15477 1573 344 212 151 91 89 29 43 71 43 147 49 48 10 47 74 34 31 60 
SPA1007 1859 6806 929 169 132 91 137 66 56 19 55 52 51 9 6 29 8 32 6 5 6 
SPA1008 1856 28382 3225 644 381 502 347 318 153 230 100 80 85 51 40 51 104 27 50 25 37 
SPA1009 1840 1995 248 47 32 36 22 11 18 4 15 18 9 3 5 17 3 3 4 1 0 
SPA1010 1856 19296 2415 498 331 283 144 195 157 57 138 93 165 81 25 51 38 74 41 27 17 
SPA1011 1852 22474 2050 437 292 257 117 234 23 92 38 67 52 77 63 32 93 18 64 56 38 
SPA1012 1850 7093 874 231 125 97 59 44 75 29 45 47 37 4 7 21 3 21 12 6 11 
SPA1013 1842 7531 821 188 81 108 79 93 22 32 36 46 30 11 7 16 11 15 22 7 17 
SPA1014 1859 45609 5050 919 690 666 288 284 256 396 339 202 116 115 123 103 89 201 144 57 62 
SPA1015 1856 12518 1284 239 176 181 103 96 68 64 53 29 56 25 28 19 38 25 25 26 33 
SPA1016 1857 10141 1158 243 121 136 67 92 51 62 39 140 73 21 7 46 9 23 9 3 16 
SPA1017 1853 11291 1502 265 328 238 128 100 84 73 52 58 24 16 26 43 32 18 9 7 1 
SPA1018 1856 24102 2226 456 295 378 116 146 104 107 51 105 40 85 50 19 52 39 69 47 67 
SPA1021 1841 6759 931 190 91 81 100 57 45 38 49 40 92 19 10 49 20 24 8 12 6 
SPA1022 1842 10936 1432 241 174 155 136 154 57 82 75 34 123 39 11 40 37 25 12 21 16 
SPA1023 1857 2563 285 52 30 54 28 23 19 17 11 7 4 7 3 2 8 3 7 4 6 
SPA1024 1853 17930 2185 532 247 236 111 152 151 85 86 116 201 55 26 40 14 57 30 14 32 
SPA1025 1846 25457 3500 544 446 435 163 173 97 91 99 129 148 25 728 27 24 45 24 249 53 
SPA2001 1877 10480 1370 277 174 138 126 92 67 53 99 49 104 62 25 30 20 19 26 7 2 
SPA2002 1867 10360 1422 306 216 231 134 73 57 56 59 59 64 34 16 17 39 17 17 12 15 
SPA2003 1873 6742 809 217 96 100 134 76 24 24 34 29 3 16 15 7 6 8 9 5 6 
SPA2004 1875 13310 1561 299 179 227 100 174 93 74 63 88 55 48 20 46 32 12 12 16 23 
SPA2005 1874 3267 370 101 55 45 23 36 31 16 15 11 6 13 5 6 3 1 1 2 0 
SPA2006 1872 2799 453 111 66 74 34 32 47 19 16 15 3 4 2 5 5 15 3 1 1 
SPA2007 1872 5070 671 188 96 131 30 53 47 18 30 10 1 15 4 3 11 21 5 5 3 
SPA2008 1857 2695 262 75 47 21 19 16 18 11 10 16 4 3 4 2 4 3 2 6 1 
SPA2009 1878 7176 1157 328 152 137 143 71 90 50 80 30 11 12 11 20 8 6 2 2 4 
SPA2010 1874 1856 141 24 28 23 5 6 1 4 10 12 10 4 0 2 4 1 2 0 5 
SPA2011 1863 15476 1023 142 113 121 263 120 15 3 47 11 22 37 24 12 9 14 22 23 25 
